2025-05-29 15:27:25,329 - INFO - Using device: cpu
2025-05-29 15:27:25,356 - INFO - 数据加载成功
2025-05-29 15:27:25,358 - INFO - BirdsVariety 标准化前: ['Cobb', 'SZ901Plus', 'SZ901', 'Cobb500', 'L1', 'Cobb 500', 'COBB', 'sz901', 'SZ901PLUS', 'SZ901/SZ901Plus', 'SZ901 ', '901.0']
2025-05-29 15:27:25,358 - INFO - BirdsVariety 标准化后: ['Cobb', 'SZ901 Plus']
2025-05-29 15:27:25,358 - INFO - BirdsVariety 编码: {'Cobb': 0, 'SZ901 Plus': 1}
2025-05-29 15:27:25,358 - INFO - FarmSupervisor 编码: {'丁家保': 0, '余涛': 1, '公赔河': 2, '刘乾乾': 3, '史成志': 4, '姚闯': 5, '张换吉': 6, '张明明': 7, '张玉风': 8, '戈兆康': 9, '李晓': 10, '李芳昌': 11, '李荣': 12, '李豪': 13, '杨健健': 14, '杨文杰': 15, '王勇': 16, '王志远': 17, '罗冲': 18, '薄明龙': 19, '陈智': 20, '陈铁楠': 21, '高阳阳': 22}
2025-05-29 15:27:25,368 - INFO - 训练集大小: 217, 批次数量: 4
2025-05-29 15:27:25,369 - INFO - 验证集大小: 55, 批次数量: 1
2025-05-29 15:27:25,379 - INFO - 使用 TransformerWithPostFusion 模型, hidden_dim=128, nhead=8, num_layers=3
2025-05-29 15:27:27,100 - INFO - Epoch 1/200 | Train Loss: 0.555691 | Val Loss: 3.713142 | Train R2: -0.9755 | Val R2: -1.9588 | Best Val R2: -1.9588
2025-05-29 15:27:27,393 - INFO - Epoch 2/200 | Train Loss: 0.859458 | Val Loss: 1.607792 | Train R2: -2.2488 | Val R2: -0.1674 | Best Val R2: -0.1674
2025-05-29 15:27:27,655 - INFO - Epoch 3/200 | Train Loss: 0.405770 | Val Loss: 1.350229 | Train R2: -0.4353 | Val R2: -0.0503 | Best Val R2: -0.0503
2025-05-29 15:27:27,989 - INFO - Epoch 4/200 | Train Loss: 0.398622 | Val Loss: 1.247307 | Train R2: -0.6344 | Val R2: -0.0162 | Best Val R2: -0.0162
2025-05-29 15:27:28,402 - INFO - Epoch 5/200 | Train Loss: 0.357123 | Val Loss: 1.211569 | Train R2: -0.3824 | Val R2: -0.0299 | Best Val R2: -0.0162
2025-05-29 15:27:28,824 - INFO - Epoch 6/200 | Train Loss: 0.334621 | Val Loss: 1.298805 | Train R2: -0.3693 | Val R2: -0.1095 | Best Val R2: -0.0162
2025-05-29 15:27:29,120 - INFO - Epoch 7/200 | Train Loss: 0.329694 | Val Loss: 1.310143 | Train R2: -0.3527 | Val R2: -0.1120 | Best Val R2: -0.0162
2025-05-29 15:27:29,396 - INFO - Epoch 8/200 | Train Loss: 0.323299 | Val Loss: 1.285154 | Train R2: -0.3802 | Val R2: -0.0789 | Best Val R2: -0.0162
2025-05-29 15:27:29,794 - INFO - Epoch 9/200 | Train Loss: 0.313093 | Val Loss: 1.263674 | Train R2: -0.2469 | Val R2: -0.0521 | Best Val R2: -0.0162
2025-05-29 15:27:30,065 - INFO - Epoch 10/200 | Train Loss: 0.315883 | Val Loss: 1.255045 | Train R2: -0.1890 | Val R2: -0.0422 | Best Val R2: -0.0162
2025-05-29 15:27:30,363 - INFO - Epoch 11/200 | Train Loss: 0.325364 | Val Loss: 1.254398 | Train R2: -0.2691 | Val R2: -0.0414 | Best Val R2: -0.0162
2025-05-29 15:27:30,705 - INFO - Epoch 12/200 | Train Loss: 0.316760 | Val Loss: 1.171591 | Train R2: -0.4287 | Val R2: 0.1010 | Best Val R2: 0.1010
2025-05-29 15:27:31,137 - INFO - Epoch 13/200 | Train Loss: 0.319956 | Val Loss: 1.202789 | Train R2: -0.2951 | Val R2: 0.1112 | Best Val R2: 0.1112
2025-05-29 15:27:31,593 - INFO - Epoch 14/200 | Train Loss: 0.329361 | Val Loss: 1.202201 | Train R2: -0.2395 | Val R2: 0.1444 | Best Val R2: 0.1444
2025-05-29 15:27:31,958 - INFO - Epoch 15/200 | Train Loss: 0.326909 | Val Loss: 1.186610 | Train R2: -0.2255 | Val R2: 0.1873 | Best Val R2: 0.1873
2025-05-29 15:27:32,484 - INFO - Epoch 16/200 | Train Loss: 0.306347 | Val Loss: 1.179129 | Train R2: -0.0683 | Val R2: 0.2088 | Best Val R2: 0.2088
2025-05-29 15:27:32,857 - INFO - Epoch 17/200 | Train Loss: 0.307948 | Val Loss: 1.185987 | Train R2: -0.0628 | Val R2: 0.2028 | Best Val R2: 0.2088
2025-05-29 15:27:33,265 - INFO - Epoch 18/200 | Train Loss: 0.296677 | Val Loss: 1.196099 | Train R2: 0.0386 | Val R2: 0.1835 | Best Val R2: 0.2088
2025-05-29 15:27:33,667 - INFO - Epoch 19/200 | Train Loss: 0.293046 | Val Loss: 1.202646 | Train R2: 0.0022 | Val R2: 0.1687 | Best Val R2: 0.2088
2025-05-29 15:27:34,040 - INFO - Epoch 20/200 | Train Loss: 0.293391 | Val Loss: 1.204481 | Train R2: 0.0527 | Val R2: 0.1624 | Best Val R2: 0.2088
2025-05-29 15:27:34,452 - INFO - Epoch 21/200 | Train Loss: 0.291857 | Val Loss: 1.204520 | Train R2: 0.0414 | Val R2: 0.1619 | Best Val R2: 0.2088
2025-05-29 15:27:34,825 - INFO - Epoch 22/200 | Train Loss: 0.293983 | Val Loss: 1.230884 | Train R2: -0.0251 | Val R2: -0.0586 | Best Val R2: 0.2088
2025-05-29 15:27:35,205 - INFO - Epoch 23/200 | Train Loss: 0.284397 | Val Loss: 1.253358 | Train R2: -0.2176 | Val R2: -0.2004 | Best Val R2: 0.2088
2025-05-29 15:27:35,570 - INFO - Epoch 24/200 | Train Loss: 0.286982 | Val Loss: 1.251778 | Train R2: -0.2622 | Val R2: -0.2478 | Best Val R2: 0.2088
2025-05-29 15:27:35,914 - INFO - Epoch 25/200 | Train Loss: 0.295417 | Val Loss: 1.253286 | Train R2: -0.3967 | Val R2: -0.2472 | Best Val R2: 0.2088
