2025-05-29 15:46:24,715 - INFO - Using device: cpu
2025-05-29 15:46:24,743 - INFO - 数据加载成功
2025-05-29 15:46:24,743 - INFO - BirdsVariety 标准化前: ['SZ901', 'SZ901Plus', 'Cobb', 'SZ901/SZ901Plus', 'SZ901PLUS', 'Cobb500', 'SZ904PLUS', 'SZ901plus', 'SZ901/901plus', '901plus', 'Cobb/SZ901plus', 'CObb', 'cobb', '901Plus', '901.0']
2025-05-29 15:46:24,743 - INFO - BirdsVariety 标准化后: ['SZ901 Plus', 'Cobb']
2025-05-29 15:46:24,743 - INFO - BirdsVariety 编码: {'Cobb': 0, 'SZ901 Plus': 1}
2025-05-29 15:46:24,743 - INFO - FarmSupervisor 编码: {'丁家保': 0, '姚闯': 1, '张玉风': 2, '戈兆康': 3, '李明': 4, '李晓': 5, '李芳昌': 6, '杨文杰': 7, '王勇': 8, '王志远': 9, '罗冲': 10, '薄明龙': 11, '陈智': 12}
2025-05-29 15:46:24,760 - INFO - 训练集大小: 108, 批次数量: 2
2025-05-29 15:46:24,760 - INFO - 验证集大小: 27, 批次数量: 1
2025-05-29 15:46:24,915 - INFO - 使用 TransformerWithPostFusion 模型, hidden_dim=128, nhead=8, num_layers=3
2025-05-29 15:46:27,513 - INFO - Epoch 1/200 | Train Loss: 0.388404 | Val Loss: 3.427695 | Train R2: -0.5734 | Val R2: -1.5957 | Best Val R2: -1.5957
2025-05-29 15:46:27,643 - INFO - Epoch 2/200 | Train Loss: 0.783357 | Val Loss: 1.547741 | Train R2: -2.4418 | Val R2: -0.2891 | Best Val R2: -0.2891
2025-05-29 15:46:27,773 - INFO - Epoch 3/200 | Train Loss: 0.365477 | Val Loss: 2.053972 | Train R2: -0.5612 | Val R2: -0.6622 | Best Val R2: -0.2891
2025-05-29 15:46:27,901 - INFO - Epoch 4/200 | Train Loss: 0.450013 | Val Loss: 1.801236 | Train R2: -0.6821 | Val R2: -0.4816 | Best Val R2: -0.2891
2025-05-29 15:46:28,028 - INFO - Epoch 5/200 | Train Loss: 0.388329 | Val Loss: 1.505190 | Train R2: -0.6193 | Val R2: -0.2558 | Best Val R2: -0.2558
2025-05-29 15:46:28,151 - INFO - Epoch 6/200 | Train Loss: 0.328533 | Val Loss: 1.443782 | Train R2: -0.3208 | Val R2: -0.1613 | Best Val R2: -0.1613
2025-05-29 15:46:28,293 - INFO - Epoch 7/200 | Train Loss: 0.325682 | Val Loss: 1.456970 | Train R2: -0.3572 | Val R2: -0.1584 | Best Val R2: -0.1584
2025-05-29 15:46:28,450 - INFO - Epoch 8/200 | Train Loss: 0.316200 | Val Loss: 1.449624 | Train R2: -0.2140 | Val R2: -0.1451 | Best Val R2: -0.1451
2025-05-29 15:46:28,637 - INFO - Epoch 9/200 | Train Loss: 0.322109 | Val Loss: 1.439889 | Train R2: -0.3934 | Val R2: -0.1380 | Best Val R2: -0.1380
2025-05-29 15:46:28,864 - INFO - Epoch 10/200 | Train Loss: 0.306927 | Val Loss: 1.435942 | Train R2: -0.3367 | Val R2: -0.1358 | Best Val R2: -0.1358
2025-05-29 15:46:29,006 - INFO - Epoch 11/200 | Train Loss: 0.312951 | Val Loss: 1.435364 | Train R2: -0.3731 | Val R2: -0.1355 | Best Val R2: -0.1355
2025-05-29 15:46:29,255 - INFO - Epoch 12/200 | Train Loss: 0.308060 | Val Loss: 1.558068 | Train R2: -0.3612 | Val R2: -0.2262 | Best Val R2: -0.1355
2025-05-29 15:46:29,563 - INFO - Epoch 13/200 | Train Loss: 0.302226 | Val Loss: 1.755503 | Train R2: -0.2984 | Val R2: -0.3741 | Best Val R2: -0.1355
2025-05-29 15:46:29,770 - INFO - Epoch 14/200 | Train Loss: 0.358979 | Val Loss: 1.768567 | Train R2: -0.6457 | Val R2: -0.3953 | Best Val R2: -0.1355
2025-05-29 15:46:30,012 - INFO - Epoch 15/200 | Train Loss: 0.342802 | Val Loss: 1.657760 | Train R2: -0.3421 | Val R2: -0.3230 | Best Val R2: -0.1355
2025-05-29 15:46:30,181 - INFO - Epoch 16/200 | Train Loss: 0.334160 | Val Loss: 1.540341 | Train R2: -0.6723 | Val R2: -0.2422 | Best Val R2: -0.1355
2025-05-29 15:46:30,415 - INFO - Epoch 17/200 | Train Loss: 0.300231 | Val Loss: 1.468282 | Train R2: -0.1924 | Val R2: -0.1893 | Best Val R2: -0.1355
2025-05-29 15:46:30,650 - INFO - Epoch 18/200 | Train Loss: 0.288286 | Val Loss: 1.434569 | Train R2: -0.3256 | Val R2: -0.1624 | Best Val R2: -0.1355
2025-05-29 15:46:30,885 - INFO - Epoch 19/200 | Train Loss: 0.292675 | Val Loss: 1.426049 | Train R2: -0.2184 | Val R2: -0.1538 | Best Val R2: -0.1355
2025-05-29 15:46:31,148 - INFO - Epoch 20/200 | Train Loss: 0.284471 | Val Loss: 1.424050 | Train R2: -0.2902 | Val R2: -0.1512 | Best Val R2: -0.1355
2025-05-29 15:46:31,426 - INFO - Epoch 21/200 | Train Loss: 0.296354 | Val Loss: 1.423896 | Train R2: -0.0957 | Val R2: -0.1508 | Best Val R2: -0.1355
2025-05-29 15:46:31,663 - INFO - Epoch 22/200 | Train Loss: 0.284524 | Val Loss: 1.410853 | Train R2: -0.1205 | Val R2: -0.0818 | Best Val R2: -0.0818
2025-05-29 15:46:31,937 - INFO - Epoch 23/200 | Train Loss: 0.289568 | Val Loss: 1.420883 | Train R2: -0.1731 | Val R2: -0.0444 | Best Val R2: -0.0444
2025-05-29 15:46:32,153 - INFO - Epoch 24/200 | Train Loss: 0.288583 | Val Loss: 1.431566 | Train R2: -0.0523 | Val R2: -0.0216 | Best Val R2: -0.0216
2025-05-29 15:46:32,402 - INFO - Epoch 25/200 | Train Loss: 0.292787 | Val Loss: 1.428419 | Train R2: -0.2248 | Val R2: -0.0149 | Best Val R2: -0.0149
2025-05-29 15:46:32,665 - INFO - Epoch 26/200 | Train Loss: 0.290702 | Val Loss: 1.419960 | Train R2: -0.1217 | Val R2: -0.0179 | Best Val R2: -0.0149
2025-05-29 15:46:32,941 - INFO - Epoch 27/200 | Train Loss: 0.276701 | Val Loss: 1.414082 | Train R2: 0.0186 | Val R2: -0.0268 | Best Val R2: -0.0149
2025-05-29 15:46:33,191 - INFO - Epoch 28/200 | Train Loss: 0.277652 | Val Loss: 1.412262 | Train R2: -0.0950 | Val R2: -0.0354 | Best Val R2: -0.0149
2025-05-29 15:46:33,405 - INFO - Epoch 29/200 | Train Loss: 0.277416 | Val Loss: 1.412389 | Train R2: -0.1219 | Val R2: -0.0412 | Best Val R2: -0.0149
2025-05-29 15:46:33,605 - INFO - Epoch 30/200 | Train Loss: 0.289912 | Val Loss: 1.412613 | Train R2: -0.1856 | Val R2: -0.0437 | Best Val R2: -0.0149
2025-05-29 15:46:33,852 - INFO - Epoch 31/200 | Train Loss: 0.288112 | Val Loss: 1.412635 | Train R2: -0.1134 | Val R2: -0.0441 | Best Val R2: -0.0149
2025-05-29 15:46:34,084 - INFO - Epoch 32/200 | Train Loss: 0.279339 | Val Loss: 1.427098 | Train R2: -0.1521 | Val R2: -0.0892 | Best Val R2: -0.0149
2025-05-29 15:46:34,291 - INFO - Epoch 33/200 | Train Loss: 0.277915 | Val Loss: 1.444325 | Train R2: -0.2135 | Val R2: -0.1200 | Best Val R2: -0.0149
2025-05-29 15:46:34,563 - INFO - Epoch 34/200 | Train Loss: 0.288465 | Val Loss: 1.455199 | Train R2: -0.2427 | Val R2: -0.1265 | Best Val R2: -0.0149
2025-05-29 15:46:34,867 - INFO - Epoch 35/200 | Train Loss: 0.274656 | Val Loss: 1.457025 | Train R2: -0.1771 | Val R2: -0.1200 | Best Val R2: -0.0149
2025-05-29 15:46:35,077 - INFO - Epoch 36/200 | Train Loss: 0.272402 | Val Loss: 1.448679 | Train R2: -0.0276 | Val R2: -0.1050 | Best Val R2: -0.0149
2025-05-29 15:46:35,305 - INFO - Epoch 37/200 | Train Loss: 0.277563 | Val Loss: 1.445169 | Train R2: -0.0571 | Val R2: -0.0930 | Best Val R2: -0.0149
2025-05-29 15:46:35,521 - INFO - Epoch 38/200 | Train Loss: 0.283225 | Val Loss: 1.441170 | Train R2: -0.2356 | Val R2: -0.0817 | Best Val R2: -0.0149
2025-05-29 15:46:35,720 - INFO - Epoch 39/200 | Train Loss: 0.269392 | Val Loss: 1.439840 | Train R2: -0.1536 | Val R2: -0.0767 | Best Val R2: -0.0149
2025-05-29 15:46:35,944 - INFO - Epoch 40/200 | Train Loss: 0.273965 | Val Loss: 1.438741 | Train R2: -0.1418 | Val R2: -0.0743 | Best Val R2: -0.0149
2025-05-29 15:46:36,206 - INFO - Epoch 41/200 | Train Loss: 0.275494 | Val Loss: 1.438580 | Train R2: -0.2329 | Val R2: -0.0740 | Best Val R2: -0.0149
2025-05-29 15:46:36,456 - INFO - Epoch 42/200 | Train Loss: 0.273746 | Val Loss: 1.419670 | Train R2: -0.0854 | Val R2: -0.0357 | Best Val R2: -0.0149
2025-05-29 15:46:36,670 - INFO - Epoch 43/200 | Train Loss: 0.265804 | Val Loss: 1.409821 | Train R2: -0.0154 | Val R2: -0.0137 | Best Val R2: -0.0137
2025-05-29 15:46:36,819 - INFO - Epoch 44/200 | Train Loss: 0.267885 | Val Loss: 1.409030 | Train R2: -0.0336 | Val R2: -0.0110 | Best Val R2: -0.0110
2025-05-29 15:46:36,964 - INFO - Epoch 45/200 | Train Loss: 0.276306 | Val Loss: 1.409224 | Train R2: -0.1332 | Val R2: -0.0176 | Best Val R2: -0.0110
2025-05-29 15:46:37,144 - INFO - Epoch 46/200 | Train Loss: 0.263495 | Val Loss: 1.412938 | Train R2: -0.0715 | Val R2: -0.0261 | Best Val R2: -0.0110
2025-05-29 15:46:37,285 - INFO - Epoch 47/200 | Train Loss: 0.263544 | Val Loss: 1.415082 | Train R2: -0.0017 | Val R2: -0.0330 | Best Val R2: -0.0110
2025-05-29 15:46:37,431 - INFO - Epoch 48/200 | Train Loss: 0.269916 | Val Loss: 1.416946 | Train R2: -0.1035 | Val R2: -0.0395 | Best Val R2: -0.0110
2025-05-29 15:46:37,567 - INFO - Epoch 49/200 | Train Loss: 0.270540 | Val Loss: 1.417114 | Train R2: -0.0879 | Val R2: -0.0430 | Best Val R2: -0.0110
2025-05-29 15:46:37,693 - INFO - Epoch 50/200 | Train Loss: 0.266222 | Val Loss: 1.417262 | Train R2: -0.0306 | Val R2: -0.0445 | Best Val R2: -0.0110
2025-05-29 15:46:37,843 - INFO - Epoch 51/200 | Train Loss: 0.267854 | Val Loss: 1.417245 | Train R2: -0.0693 | Val R2: -0.0447 | Best Val R2: -0.0110
2025-05-29 15:46:37,985 - INFO - Epoch 52/200 | Train Loss: 0.272130 | Val Loss: 1.418290 | Train R2: 0.0529 | Val R2: -0.0766 | Best Val R2: -0.0110
2025-05-29 15:46:38,151 - INFO - Epoch 53/200 | Train Loss: 0.268325 | Val Loss: 1.426945 | Train R2: -0.0337 | Val R2: -0.1091 | Best Val R2: -0.0110
2025-05-29 15:46:38,299 - INFO - Epoch 54/200 | Train Loss: 0.268757 | Val Loss: 1.427909 | Train R2: -0.0884 | Val R2: -0.1218 | Best Val R2: -0.0110
2025-05-29 15:46:38,443 - INFO - Epoch 55/200 | Train Loss: 0.269273 | Val Loss: 1.431236 | Train R2: -0.0513 | Val R2: -0.1282 | Best Val R2: -0.0110
2025-05-29 15:46:38,610 - INFO - Epoch 56/200 | Train Loss: 0.269709 | Val Loss: 1.436685 | Train R2: -0.0761 | Val R2: -0.1303 | Best Val R2: -0.0110
2025-05-29 15:46:38,787 - INFO - Epoch 57/200 | Train Loss: 0.265447 | Val Loss: 1.438869 | Train R2: -0.1103 | Val R2: -0.1259 | Best Val R2: -0.0110
2025-05-29 15:46:39,008 - INFO - Epoch 58/200 | Train Loss: 0.268569 | Val Loss: 1.436017 | Train R2: -0.1037 | Val R2: -0.1186 | Best Val R2: -0.0110
2025-05-29 15:46:39,279 - INFO - Epoch 59/200 | Train Loss: 0.265709 | Val Loss: 1.433981 | Train R2: -0.0894 | Val R2: -0.1134 | Best Val R2: -0.0110
2025-05-29 15:46:39,487 - INFO - Epoch 60/200 | Train Loss: 0.263539 | Val Loss: 1.433518 | Train R2: -0.0296 | Val R2: -0.1116 | Best Val R2: -0.0110
2025-05-29 15:46:39,690 - INFO - Epoch 61/200 | Train Loss: 0.264564 | Val Loss: 1.433392 | Train R2: -0.0486 | Val R2: -0.1113 | Best Val R2: -0.0110
2025-05-29 15:46:39,861 - INFO - Epoch 62/200 | Train Loss: 0.267560 | Val Loss: 1.418295 | Train R2: -0.0466 | Val R2: -0.0648 | Best Val R2: -0.0110
2025-05-29 15:46:40,044 - INFO - Epoch 63/200 | Train Loss: 0.264642 | Val Loss: 1.409960 | Train R2: -0.1446 | Val R2: -0.0263 | Best Val R2: -0.0110
2025-05-29 15:46:40,201 - INFO - Epoch 64/200 | Train Loss: 0.259972 | Val Loss: 1.404670 | Train R2: 0.0273 | Val R2: 0.0032 | Best Val R2: 0.0032
2025-05-29 15:46:40,365 - INFO - Epoch 65/200 | Train Loss: 0.260355 | Val Loss: 1.404266 | Train R2: -0.0699 | Val R2: 0.0212 | Best Val R2: 0.0212
2025-05-29 15:46:40,520 - INFO - Epoch 66/200 | Train Loss: 0.263945 | Val Loss: 1.406145 | Train R2: -0.0181 | Val R2: 0.0280 | Best Val R2: 0.0280
2025-05-29 15:46:40,712 - INFO - Epoch 67/200 | Train Loss: 0.265238 | Val Loss: 1.406895 | Train R2: -0.0296 | Val R2: 0.0296 | Best Val R2: 0.0296
