2025-05-30 10:29:24,381 - INFO - Using device: cpu
2025-05-30 10:29:24,439 - INFO - 数据加载成功
2025-05-30 10:29:24,447 - INFO - BirdsVariety 标准化前: ['Cobb', 'SZ901Plus', 'SZ901PLUS', 'SZ901/\nSZ901PLUS', 'SZ901', 'SZ901Plus/SZ901', 'Cobb500', 'SZ901plus', 'SZ901\nSZ901plus', 'SZ901 PIUS', 'SZ901\nSZ901Plus', 'Cobb 500', '901.0', 'SZ901/901plus', '901plus', 'CObb', 'cobb', 'SZ901 Plus', 'SZ901 PLUS', '901Plus']
2025-05-30 10:29:24,449 - INFO - BirdsVariety 标准化后: ['Cobb', 'SZ901 Plus']
2025-05-30 10:29:24,449 - INFO - BirdsVariety 编码: {'Cobb': 0, 'SZ901 Plus': 1}
2025-05-30 10:29:24,449 - INFO - FarmSupervisor 编码: {'丁家宝': 0, '余涛': 1, '公赔河': 2, '刘乾乾': 3, '史成志': 4, '姚闯': 5, '张换吉': 6, '张明明': 7, '张玉风': 8, '戈兆康': 9, '李明': 10, '李芳昌': 11, '李荣': 12, '李豪': 13, '杨健健': 14, '杨文杰': 15, '王勇': 16, '王志远': 17, '罗冲': 18, '薄明龙': 19, '陈智': 20, '陈铁楠': 21, '高阳阳': 22}
2025-05-30 10:29:24,460 - INFO - 训练集大小: 323, 批次数量: 6
2025-05-30 10:29:24,460 - INFO - 验证集大小: 81, 批次数量: 2
2025-05-30 10:29:24,567 - INFO - 使用 TransformerWithPostFusion 模型, hidden_dim=128, nhead=8, num_layers=3
2025-05-30 10:29:26,641 - INFO - Epoch 1/200 | Train Loss: 0.387693 | Val Loss: 1.136617 | Train R2: -0.5498 | Val R2: -0.2783 | Best Val R2: -0.2783
2025-05-30 10:29:27,240 - INFO - Epoch 2/200 | Train Loss: 0.382011 | Val Loss: 0.893788 | Train R2: -0.5311 | Val R2: -0.1324 | Best Val R2: -0.1324
2025-05-30 10:29:27,570 - INFO - Epoch 3/200 | Train Loss: 0.301146 | Val Loss: 0.875305 | Train R2: -0.2531 | Val R2: -0.1927 | Best Val R2: -0.1324
2025-05-30 10:29:28,029 - INFO - Epoch 4/200 | Train Loss: 0.289504 | Val Loss: 0.830972 | Train R2: -0.2301 | Val R2: -0.0817 | Best Val R2: -0.0817
2025-05-30 10:29:28,682 - INFO - Epoch 5/200 | Train Loss: 0.280894 | Val Loss: 0.834971 | Train R2: -0.1326 | Val R2: -0.0445 | Best Val R2: -0.0445
2025-05-30 10:29:29,398 - INFO - Epoch 6/200 | Train Loss: 0.283022 | Val Loss: 0.850192 | Train R2: -0.1193 | Val R2: -0.0879 | Best Val R2: -0.0445
2025-05-30 10:29:30,072 - INFO - Epoch 7/200 | Train Loss: 0.274232 | Val Loss: 0.854510 | Train R2: -0.1349 | Val R2: -0.1089 | Best Val R2: -0.0445
2025-05-30 10:29:30,753 - INFO - Epoch 8/200 | Train Loss: 0.279180 | Val Loss: 0.841273 | Train R2: -0.0954 | Val R2: -0.0938 | Best Val R2: -0.0445
2025-05-30 10:29:31,240 - INFO - Epoch 9/200 | Train Loss: 0.270513 | Val Loss: 0.834335 | Train R2: -0.1437 | Val R2: -0.0835 | Best Val R2: -0.0445
2025-05-30 10:29:31,772 - INFO - Epoch 10/200 | Train Loss: 0.270877 | Val Loss: 0.833678 | Train R2: -0.1088 | Val R2: -0.0819 | Best Val R2: -0.0445
2025-05-30 10:29:32,373 - INFO - Epoch 11/200 | Train Loss: 0.273260 | Val Loss: 0.820853 | Train R2: -0.0990 | Val R2: -0.0534 | Best Val R2: -0.0445
