Farm_Name,House_Amount,Farm_Supervisor,Batch,House_No,DOC_date,DOC_Amount,House_Area,Density,Gender,Birds_Variety,HE_Source,HE_Age(W),Age,Harvest_status,Building_Code,Building_Name,Eggs_on_the_Ground,Estimated_Harvest_Date
GTF,3.0,罗冲,71.0,H1,2024-10-29,28400.0,1920.0,14.791666666666666,M&F,Cobb,L5,48.0,38.0,2024-12-06,230001.0,Growout Farm_TF试验农场第一栋 ,\,2024-12-06
GTF,3.0,罗冲,71.0,H2,2024-10-29,23900.0,1920.0,12.447916666666666,M&F,SZ901Plus,L6,38.0,38.0,2024-12-06,230002.0,Growout Farm_TF试验农场第二栋 ,\,2024-12-06
GTF,3.0,罗冲,71.0,H3,2024-10-29,28300.0,1920.0,14.739583333333334,M&F,Cobb,L5,48.0,38.0,2024-12-06,230003.0,Growout Farm_TF试验农场第三栋 ,\,2024-12-06
G1A,20.0,史成志,62.0,H1,2024-11-20,25500.0,1670.0,15.269461077844312,M&F,Cobb,L3,26.0,38.0,2024-12-28,230101.0,Growout  Farm _01肉鸡一场第一栋,,2024-12-28
G1A,20.0,史成志,62.0,H2,2024-11-20,25700.0,1680.0,15.297619047619047,M&F,Cobb,L4,45.0,37.0,2024-12-27,230102.0,Growout  Farm _01肉鸡一场第二栋,,2024-12-28
G1A,20.0,史成志,62.0,H3,2024-11-20,25700.0,1670.0,15.389221556886227,M&F,Cobb,L4,45.0,36.0,2024-12-26,230103.0,Growout  Farm _01肉鸡一场第三栋,,2024-12-28
G1A,20.0,史成志,62.0,H4,2024-11-20,25900.0,1680.0,15.416666666666666,M&F,Cobb,L4,45.0,38.0,2024-12-28,230104.0,Growout  Farm _01肉鸡一场第四栋,,2024-12-28
G1A,20.0,史成志,62.0,H5,2024-11-20,25500.0,1670.0,15.269461077844312,M&F,Cobb,L5,51.0,37.0,2024-12-27,230105.0,Growout  Farm _01肉鸡一场第五栋,,2024-12-28
G1A,20.0,史成志,62.0,H6,2024-11-20,25700.0,1680.0,15.297619047619047,M&F,Cobb,L5,51.0,36.0,2024-12-26,230106.0,Growout  Farm _01肉鸡一场第六栋,,2024-12-28
G1A,20.0,史成志,62.0,H7,2024-11-19,26400.0,1670.0,15.808383233532934,M&F,SZ901PLUS,L7,29.0,38.0,2024-12-27,230107.0,Growout  Farm _01肉鸡一场第七栋,,2024-12-27
G1A,20.0,史成志,62.0,H8,2024-11-20,25700.0,1680.0,15.297619047619047,M&F,Cobb,L5,51.0,38.0,2024-12-28,230108.0,Growout  Farm _01肉鸡一场第八栋,,2024-12-28
G1A,20.0,史成志,62.0,H9,2024-11-19,26400.0,1670.0,15.808383233532934,M&F,SZ901PLUS,L7,29.0,37.0,2024-12-26,230109.0,Growout  Farm _01肉鸡一场第九栋,,2024-12-27
G1A,20.0,史成志,62.0,H10,2024-11-19,26700.0,1680.0,15.892857142857142,M&F,"SZ901/
SZ901PLUS",L6,41.0,38.0,2024-12-27,230110.0,Growout  Farm _01肉鸡一场第十栋,,2024-12-27
G1A,20.0,史成志,62.0,H11,2024-11-19,26000.0,1670.0,15.568862275449101,M&F,SZ901PLUS,L7,29.0,38.0,2024-12-27,230111.0,Growout  Farm _01肉鸡一场第十一栋,,2024-12-27
G1A,20.0,史成志,62.0,H12,2024-11-19,26700.0,1680.0,15.892857142857142,M&F,SZ901,L6,41.0,38.0,2024-12-27,230112.0,Growout  Farm _01肉鸡一场第十二栋,,2024-12-27
G1A,20.0,史成志,62.0,H13,2024-11-19,26000.0,1670.0,15.568862275449101,M&F,SZ901PLUS,L7,29.0,38.0,2024-12-27,230113.0,Growout  Farm _01肉鸡一场第十三栋,,2024-12-27
G1A,20.0,史成志,62.0,H14,2024-11-19,26800.0,1680.0,15.952380952380953,M&F,SZ901,L6,41.0,37.0,2024-12-26,230114.0,Growout  Farm _01肉鸡一场第十四栋,,2024-12-27
G1A,20.0,史成志,62.0,H15,2024-11-19,26000.0,1670.0,15.568862275449101,M&F,SZ901PLUS,L7,29.0,38.0,2024-12-27,230115.0,Growout  Farm _01肉鸡一场第十五栋,,2024-12-27
G1A,20.0,史成志,62.0,H16,2024-11-19,26700.0,1680.0,15.892857142857142,M&F,SZ901PLUS,L6,41.0,38.0,2024-12-27,230116.0,Growout  Farm _01肉鸡一场第十六栋,,2024-12-27
G1A,20.0,史成志,62.0,H17,2024-11-18,25800.0,1670.0,15.449101796407186,M&F,Cobb,L5,51.0,38.0,2024-12-26,230117.0,Growout  Farm _01肉鸡一场第十七栋,,2024-12-26
G1A,20.0,史成志,62.0,H18,2024-11-18,25900.0,1680.0,15.416666666666666,M&F,SZ901,天河坑,49.0,38.0,2024-12-26,230118.0,Growout  Farm _01肉鸡一场第十八栋,,2024-12-26
G1A,20.0,史成志,62.0,H19,2024-11-18,25900.0,1670.0,15.508982035928144,M&F,SZ901,L6/大岭头/天河坑,41/45/49,38.0,2024-12-26,230119.0,Growout  Farm _01肉鸡一场第十九栋,,2024-12-26
G1A,20.0,史成志,62.0,H20,2024-11-18,25900.0,1680.0,15.416666666666666,M&F,SZ901,大岭头,45.0,38.0,2024-12-26,230120.0,Growout  Farm _01肉鸡一场第二十栋,,2024-12-26
G03,10.0,公赔河,66.0,H1,2024-11-23,29800.0,1920.0,15.520833333333334,M&F,SZ901PLUS,L7,29-30,37.0,2024-12-30,230301.0,Growout Farm 03 肉鸡三场第一栋,\,2024-12-30
G03,10.0,公赔河,66.0,H2,2024-11-23,29800.0,1920.0,15.520833333333334,M&F,SZ901PLUS,L7,29-30,37.0,2024-12-30,230302.0,Growout Farm 03 肉鸡三场第二栋,\,2024-12-30
G03,10.0,公赔河,66.0,H3,2024-11-23,29800.0,1920.0,15.520833333333334,M&F,SZ901PLUS,L7,29-30,37.0,2024-12-30,230303.0,Growout Farm 03 肉鸡三场第三栋,\,2024-12-30
G03,10.0,公赔河,66.0,H4,2024-11-23,29600.0,1920.0,15.416666666666666,M&F,SZ901PLUS,L7,29-30,37.0,2024-12-30,230304.0,Growout Farm 03 肉鸡三场第四栋,\,2024-12-30
G03,10.0,公赔河,66.0,H5,2024-11-23,26000.0,1685.92,15.421846825472144,M&F,SZ901PLUS,L7,29-30,37.0,2024-12-30,230305.0,Growout Farm 03 肉鸡三场第五栋,\,2024-12-31
G03,10.0,公赔河,66.0,H6,2024-11-23,30500.0,1920.0,15.885416666666666,M&F,SZ901PLUS,L6,42.0,37.0,2024-12-30,230306.0,Growout Farm 03 肉鸡三场第六栋,\,2024-12-30
G03,10.0,公赔河,66.0,H7,2024-11-23,30300.0,1920.0,15.78125,M&F,SZ901,L6,42.0,37.0,2024-12-30,230307.0,Growout Farm 03 肉鸡三场第七栋,\,2024-12-30
G03,10.0,公赔河,66.0,H8,2024-11-23,30300.0,1920.0,15.78125,M&F,SZ901,L6,42.0,37.0,2024-12-30,230308.0,Growout Farm 03 肉鸡三场第八栋,\,2024-12-30
G03,10.0,公赔河,66.0,H9,2024-11-24,27900.0,1802.88,15.475239616613418,M&F,Cobb,L4,46.0,37.0,2024-12-31,230309.0,Growout Farm 03 肉鸡三场第九栋,\,2024-12-31
G03,10.0,公赔河,66.0,H10,2024-11-24,28100.0,1802.88,15.586173233936812,M&F,Cobb,L4,46.0,37.0,2024-12-31,230310.0,Growout Farm 03 肉鸡三场第十栋,\,2024-12-31
G1B,8.0,余涛,50.0,H1,2024-11-20,32100.0,2065.0,15.544794188861985,M&F,Cobb,L4,45.0,38.0,2024-12-28,230101.0,Growout Farm_01B肉鸡一场B区第一栋,\,2024-12-28
G1B,8.0,余涛,50.0,H2,2024-11-22,31400.0,2080.0,15.096153846153847,M&F,SZ901,L6,42.0,37.0,2024-12-29,230102.0,Growout Farm_01B肉鸡一场B区第二栋,\,2024-12-29
G1B,8.0,余涛,50.0,H3,2024-11-22,31400.0,2065.0,15.205811138014528,M&F,SZ901,L6,42.0,36.0,2024-12-28,230103.0,Growout Farm_01B肉鸡一场B区第三栋,\,2024-12-29
G1B,8.0,余涛,50.0,H4,2024-11-22,31400.0,2080.0,15.096153846153847,M&F,SZ901,L6,42.0,37.0,2024-12-29,230104.0,Growout Farm_01B肉鸡一场B区第四栋,\,2024-12-29
