GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,30.2        ,34.1        ,36.6        ,
1        ,32.5        ,32.9        ,36.1        ,
2        ,31.4        ,31.4        ,36.3        ,
3        ,31.0        ,31.0        ,37.0        ,
4        ,30.6        ,30.6        ,36.8        ,
5        ,29.6        ,29.7        ,36.2        ,
6        ,29.1        ,29.3        ,35.7        ,
7        ,28.9        ,30.0        ,35.1        ,
8        ,28.9        ,29.3        ,33.7        ,
9        ,28.8        ,30.2        ,35.2        ,
10       ,29.6        ,30.5        ,35.1        ,
11       ,29.5        ,29.6        ,35.0        ,
12       ,28.7        ,29.8        ,34.8        ,
13       ,28.9        ,29.2        ,34.8        ,
14       ,28.7        ,29.2        ,32.8        ,
15       ,28.6        ,29.2        ,33.6        ,
16       ,28.5        ,29.4        ,33.4        ,
17       ,28.5        ,29.1        ,33.7        ,
18       ,28.4        ,29.1        ,33.6        ,
19       ,28.0        ,28.3        ,32.5        ,
20       ,27.8        ,28.7        ,32.3        ,
21       ,27.9        ,28.2        ,30.9        ,
22       ,27.3        ,28.5        ,32.8        ,
23       ,27.7        ,28.3        ,32.7        ,
24       ,27.5        ,29.6        ,32.5        ,
25       ,28.3        ,28.5        ,32.2        ,
26       ,27.9        ,29.4        ,32.1        ,
27       ,26.1        ,26.5        ,30.1        ,
28       ,26.0        ,27.4        ,31.4        ,
29       ,26.3        ,27.9        ,30.9        ,
30       ,26.9        ,28.7        ,30.8        ,
31       ,27.6        ,28.8        ,30.4        ,
32       ,26.9        ,29.0        ,30.8        ,
33       ,24.9        ,25.0        ,29.4        ,
34       ,23.9        ,25.5        ,29.3        ,
35       ,23.9        ,27.1        ,28.9        ,
36       ,26.2        ,27.0        ,28.9        ,
37       ,24.7        ,25.3        ,28.2        ,
