GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,1           ,1           ,1           ,
-1       ,1           ,84          ,89          ,
0        ,65          ,85          ,88          ,
1        ,65          ,81          ,86          ,
2        ,72          ,86          ,87          ,
3        ,69          ,90          ,91          ,
4        ,71          ,92          ,93          ,
5        ,71          ,89          ,93          ,
6        ,72          ,85          ,93          ,
7        ,76          ,87          ,90          ,
8        ,80          ,93          ,94          ,
9        ,83          ,90          ,94          ,
10       ,74          ,92          ,94          ,
11       ,74          ,90          ,95          ,
12       ,66          ,89          ,93          ,
13       ,64          ,86          ,90          ,
14       ,69          ,91          ,92          ,
15       ,76          ,93          ,95          ,
16       ,74          ,92          ,96          ,
17       ,72          ,93          ,96          ,
18       ,74          ,92          ,96          ,
19       ,74          ,92          ,96          ,
20       ,83          ,95          ,96          ,
21       ,82          ,95          ,97          ,
22       ,84          ,96          ,98          ,
23       ,79          ,98          ,99          ,
24       ,86          ,97          ,99          ,
25       ,85          ,95          ,99          ,
26       ,81          ,96          ,100         ,
27       ,89          ,96          ,99          ,
28       ,86          ,96          ,98          ,
29       ,86          ,98          ,99          ,
30       ,90          ,98          ,100         ,
31       ,92          ,97          ,100         ,
32       ,94          ,98          ,100         ,
33       ,96          ,100         ,100         ,
34       ,90          ,94          ,100         ,
35       ,79          ,96          ,98          ,
36       ,89          ,100         ,100         ,
37       ,95          ,96          ,100         ,
38       ,1           ,1           ,99          ,
39       ,1           ,1           ,1           ,
40       ,1           ,1           ,1           ,
41       ,1           ,1           ,1           ,
42       ,1           ,1           ,1           ,
43       ,1           ,1           ,1           ,
44       ,1           ,1           ,1           ,
