GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,30.4        ,30.4        ,36.3        ,
-1       ,27.4        ,32.5        ,36.2        ,
0        ,32.3        ,33.3        ,38.0        ,
1        ,32.8        ,33.0        ,37.1        ,
2        ,31.2        ,31.5        ,35.7        ,
3        ,30.6        ,30.6        ,36.3        ,
4        ,30.3        ,30.5        ,36.7        ,
5        ,29.7        ,30.4        ,37.3        ,
6        ,29.3        ,29.4        ,35.7        ,
7        ,28.8        ,29.1        ,35.0        ,
8        ,28.5        ,29.7        ,34.8        ,
9        ,29.0        ,29.3        ,34.1        ,
10       ,28.7        ,30.3        ,35.0        ,
11       ,29.6        ,30.7        ,35.0        ,
12       ,29.6        ,30.0        ,35.3        ,
13       ,28.8        ,30.0        ,35.3        ,
14       ,28.9        ,29.0        ,34.9        ,
15       ,28.5        ,28.5        ,33.3        ,
16       ,28.3        ,28.9        ,33.9        ,
17       ,28.2        ,28.8        ,33.7        ,
18       ,28.2        ,29.1        ,33.7        ,
19       ,28.2        ,28.9        ,33.5        ,
20       ,27.7        ,28.0        ,32.7        ,
21       ,27.4        ,28.5        ,32.6        ,
22       ,27.8        ,28.1        ,31.1        ,
23       ,27.2        ,28.7        ,32.5        ,
24       ,27.6        ,28.6        ,32.6        ,
25       ,27.4        ,29.7        ,32.2        ,
26       ,28.2        ,28.9        ,32.2        ,
27       ,28.1        ,29.6        ,31.7        ,
28       ,25.9        ,26.0        ,30.3        ,
29       ,25.9        ,27.4        ,31.2        ,
30       ,26.5        ,27.9        ,30.8        ,
31       ,26.9        ,28.8        ,30.6        ,
32       ,27.7        ,28.9        ,30.4        ,
33       ,27.1        ,29.2        ,30.9        ,
34       ,25.0        ,25.0        ,29.2        ,
35       ,24.0        ,25.4        ,29.0        ,
36       ,23.8        ,27.1        ,29.2        ,
37       ,26.3        ,29.3        ,30.9        ,
38       ,26.2        ,26.9        ,31.2        ,
39       ,24.8        ,26.8        ,33.8        ,
40       ,25.8        ,28.9        ,34.5        ,
41       ,28.2        ,29.8        ,34.0        ,
42       ,26.8        ,32.4        ,33.4        ,
43       ,26.3        ,29.0        ,30.2        ,
