GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,1012           ,不详              ,1012        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1012      ,0      ,0     ,0       ,
1        ,1140           ,12              ,1140        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1140      ,0      ,0     ,0       ,
2        ,976            ,-15             ,976         ,-15          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,976       ,0      ,0     ,0       ,
3        ,1310           ,34              ,1310        ,34           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1310      ,0      ,0     ,0       ,
4        ,1594           ,21              ,1594        ,21           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1594      ,0      ,0     ,0       ,
5        ,1922           ,20              ,1922        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1922      ,0      ,0     ,0       ,
6        ,2385           ,24              ,2385        ,24           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2385      ,0      ,0     ,0       ,
7        ,2475           ,3               ,2475        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2475      ,0      ,0     ,0       ,
8        ,2730           ,10              ,2730        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2730      ,0      ,0     ,0       ,
9        ,2337           ,-15             ,2337        ,-15          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2337      ,0      ,0     ,0       ,
10       ,3307           ,41              ,3307        ,41           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3307      ,0      ,0     ,0       ,
11       ,3794           ,14              ,3794        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3794      ,0      ,0     ,0       ,
12       ,4058           ,6               ,4058        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4058      ,0      ,0     ,0       ,
13       ,4553           ,12              ,4553        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4553      ,0      ,0     ,0       ,
14       ,4794           ,5               ,4794        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4794      ,0      ,0     ,0       ,
15       ,5339           ,11              ,5339        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5339      ,0      ,0     ,0       ,
16       ,5549           ,3               ,5549        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5549      ,0      ,0     ,0       ,
17       ,6071           ,9               ,6071        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6071      ,0      ,0     ,0       ,
18       ,6352           ,4               ,6352        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6352      ,0      ,0     ,0       ,
19       ,6507           ,2               ,6507        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6507      ,0      ,0     ,0       ,
20       ,6688           ,2               ,6688        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6688      ,0      ,0     ,0       ,
21       ,6952           ,3               ,6952        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6952      ,0      ,0     ,0       ,
22       ,7501           ,7               ,7501        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7501      ,0      ,0     ,0       ,
23       ,7693           ,2               ,7693        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7693      ,0      ,0     ,0       ,
24       ,7606           ,-2              ,7606        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7606      ,0      ,0     ,0       ,
25       ,8572           ,12              ,8572        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8572      ,0      ,0     ,0       ,
26       ,8506           ,不详              ,8506        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8506      ,0      ,0     ,0       ,
27       ,8537           ,0               ,8537        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8537      ,0      ,0     ,0       ,
28       ,8675           ,1               ,8675        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8675      ,0      ,0     ,0       ,
29       ,9573           ,10              ,9573        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9573      ,0      ,0     ,0       ,
30       ,9800           ,2               ,9800        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9800      ,0      ,0     ,0       ,
31       ,10341          ,5               ,10341       ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10341     ,0      ,0     ,0       ,
32       ,9982           ,-4              ,9982        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9982      ,0      ,0     ,0       ,
33       ,10002          ,0               ,10002       ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10002     ,0      ,0     ,0       ,
34       ,9563           ,-5              ,9563        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9563      ,0      ,0     ,0       ,
35       ,11505          ,20              ,11505       ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11505     ,0      ,0     ,0       ,
36       ,10974          ,-5              ,10974       ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10974     ,0      ,0     ,0       ,
37       ,4663           ,-58             ,4663        ,-58          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4663      ,0      ,0     ,0       ,
38       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
39       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
40       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
41       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
42       ,115            ,不详              ,115         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,115       ,0      ,0     ,0       ,
43       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
