Message,GrowthDay,Time,
报警测试   ,11       ,11:00:00,
备用设置提醒 ,11       ,11:31:16,
报警测试   ,12       ,11:00:00,
管理员登陆  ,12       ,13:09:24,
系统锁定   ,12       ,13:14:28,
管理员登陆  ,12       ,13:35:00,
系统锁定   ,12       ,13:40:05,
管理员登陆  ,12       ,15:59:10,
系统锁定   ,12       ,16:13:02,
管理员登陆  ,12       ,17:59:10,
系统锁定   ,12       ,18:04:23,
管理员登陆  ,13       ,01:10:03,
系统锁定   ,13       ,01:15:23,
报警测试   ,13       ,11:00:00,
管理员登陆  ,13       ,11:03:00,
系统锁定   ,13       ,11:08:08,
报警测试   ,14       ,11:00:00,
备用设置提醒 ,14       ,13:46:25,
管理员登陆  ,14       ,18:06:18,
系统锁定   ,14       ,18:11:22,
管理员登陆  ,15       ,00:43:00,
系统锁定   ,15       ,00:48:14,
报警测试   ,15       ,11:00:00,
管理员登陆  ,15       ,19:18:29,
系统锁定   ,15       ,19:24:07,
报警测试   ,16       ,11:00:00,
报警测试   ,17       ,11:00:00,
管理员登陆  ,17       ,11:46:04,
系统锁定   ,17       ,11:51:09,
报警测试   ,18       ,11:00:00,
管理员登陆  ,18       ,13:27:20,
系统锁定   ,18       ,13:33:00,
管理员登陆  ,19       ,01:22:16,
系统锁定   ,19       ,01:27:21,
报警测试   ,19       ,11:00:00,
管理员登陆  ,20       ,00:55:01,
系统锁定   ,20       ,01:00:18,
报警测试   ,20       ,11:00:00,
备用设置提醒 ,21       ,10:02:20,
报警测试   ,21       ,11:00:00,
管理员登陆  ,21       ,12:44:28,
系统锁定   ,21       ,12:50:01,
报警测试   ,22       ,11:00:00,
报警测试   ,23       ,11:00:00,
报警测试   ,24       ,11:00:00,
报警测试   ,25       ,11:00:00,
报警测试   ,26       ,11:00:00,
报警测试   ,27       ,11:00:00,
报警测试   ,28       ,11:00:00,
管理员登陆  ,28       ,13:23:22,
系统锁定   ,28       ,13:29:29,
管理员登陆  ,28       ,13:44:07,
系统锁定   ,28       ,13:49:10,
管理员登陆  ,28       ,15:29:07,
备用设置提醒 ,28       ,15:29:11,
系统锁定   ,28       ,15:34:18,
报警测试   ,29       ,11:00:00,
管理员登陆  ,29       ,15:01:29,
系统锁定   ,29       ,15:07:02,
管理员登陆  ,29       ,15:11:20,
系统锁定   ,29       ,15:17:20,
管理员登陆  ,29       ,19:16:00,
系统锁定   ,29       ,19:21:02,
管理员登陆  ,29       ,19:26:26,
系统锁定   ,29       ,19:31:29,
报警测试   ,30       ,11:00:00,
报警测试   ,31       ,11:00:00,
报警测试   ,32       ,11:00:00,
备用设置提醒 ,33       ,10:56:11,
报警测试   ,33       ,11:00:00,
管理员登陆  ,33       ,13:08:02,
系统锁定   ,33       ,13:13:06,
报警测试   ,34       ,11:00:00,
报警测试   ,35       ,11:00:00,
报警测试   ,36       ,11:00:00,
管理员登陆  ,36       ,13:20:08,
系统锁定   ,36       ,13:25:12,
管理员登陆  ,36       ,15:02:03,
系统锁定   ,36       ,15:07:06,
备用设置提醒 ,37       ,01:16:24,
报警测试   ,37       ,11:00:00,
报警测试   ,38       ,11:00:00,
重置报警   ,38       ,12:15:18,
管理员登陆  ,38       ,12:17:18,
重置报警   ,38       ,12:17:23,
重置报警   ,38       ,12:19:01,
空鸡舍模式  ,38       ,12:19:08,
更改开关   ,38       ,12:20:00,
更改开关   ,38       ,12:20:08,
更改开关   ,38       ,12:20:15,
更改开关   ,38       ,12:23:03,
更改开关   ,38       ,12:24:00,
更改开关   ,38       ,12:24:12,
系统锁定   ,38       ,12:30:03,
系统锁定   ,38       ,12:39:23,
报警测试   ,39       ,11:00:00,
电源关闭   ,40       ,06:26:03,
电源开启   ,40       ,08:13:27,
报警测试   ,41       ,11:00:00,
系统锁定   ,42       ,09:30:17,
系统锁定   ,42       ,09:41:29,
报警测试   ,42       ,11:00:00,
管理员登陆  ,42       ,13:28:02,
系统锁定   ,42       ,13:38:29,
管理员登陆  ,42       ,15:36:05,
系统锁定   ,42       ,15:41:04,
管理员登陆  ,42       ,16:04:00,
系统锁定   ,42       ,16:10:29,
报警测试   ,43       ,11:00:00,
系统锁定   ,43       ,15:31:24,
报警测试   ,44       ,11:00:00,
报警测试   ,45       ,11:00:00,
报警测试   ,46       ,11:00:00,
报警测试   ,47       ,11:00:00,
报警测试   ,48       ,11:00:00,
报警测试   ,49       ,11:00:00,
报警测试   ,50       ,11:00:00,
报警测试   ,51       ,11:00:00,
报警测试   ,52       ,11:00:00,
报警测试   ,53       ,11:00:00,
新的鸡群   ,-2       ,09:33:21,
系统锁定   ,-2       ,10:24:10,
报警测试   ,-2       ,11:00:00,
管理员登陆  ,-2       ,16:25:25,
更改开关   ,-2       ,16:26:05,
系统锁定   ,-2       ,16:31:14,
电源关闭   ,-1       ,10:20:10,
电源开启   ,-1       ,10:20:21,
报警测试   ,-1       ,11:00:00,
管理员登陆  ,-1       ,13:00:21,
更改开关   ,-1       ,13:00:25,
更改开关   ,-1       ,13:01:12,
更改开关   ,-1       ,13:01:29,
系统锁定   ,-1       ,13:07:00,
报警测试   ,0        ,11:00:00,
普通鸡舍模式 ,0        ,16:52:19,
备用设置提醒 ,0        ,16:52:20,
报警测试   ,1        ,11:00:00,
报警测试   ,2        ,11:00:00,
备用设置提醒 ,2        ,16:43:26,
报警测试   ,3        ,11:00:00,
报警测试   ,4        ,11:00:00,
备用设置提醒 ,4        ,13:34:18,
