Message,GrowthDay,Time,
报警测试   ,48       ,11:00:00,
报警测试   ,49       ,11:00:00,
报警测试   ,50       ,11:00:00,
报警测试   ,51       ,11:00:00,
报警测试   ,52       ,11:00:00,
报警测试   ,53       ,11:00:00,
报警测试   ,54       ,11:00:00,
新的鸡群   ,-2       ,09:46:27,
管理员登陆  ,-2       ,10:39:00,
更改开关   ,-2       ,10:39:03,
系统锁定   ,-2       ,10:44:03,
报警测试   ,-2       ,11:00:00,
管理员登陆  ,-2       ,16:51:19,
更改开关   ,-2       ,16:51:26,
系统锁定   ,-2       ,16:56:26,
管理员登陆  ,-2       ,18:23:21,
系统锁定   ,-2       ,18:28:24,
电源关闭   ,-1       ,10:32:22,
电源开启   ,-1       ,10:33:04,
报警测试   ,-1       ,11:00:00,
管理员登陆  ,-1       ,12:53:04,
更改开关   ,-1       ,12:53:07,
更改开关   ,-1       ,12:53:23,
更改开关   ,-1       ,12:54:15,
系统锁定   ,-1       ,12:59:16,
管理员登陆  ,-1       ,20:18:13,
系统锁定   ,-1       ,20:24:00,
管理员登陆  ,-1       ,21:04:08,
系统锁定   ,-1       ,21:10:16,
管理员登陆  ,0        ,08:32:05,
系统锁定   ,0        ,08:37:11,
管理员登陆  ,0        ,08:47:05,
系统锁定   ,0        ,08:57:05,
管理员登陆  ,0        ,09:18:06,
系统锁定   ,0        ,09:27:12,
管理员登陆  ,0        ,09:54:25,
系统锁定   ,0        ,09:59:26,
报警测试   ,0        ,11:00:00,
管理员登陆  ,0        ,11:28:15,
系统锁定   ,0        ,11:34:19,
管理员登陆  ,0        ,14:13:09,
普通鸡舍模式 ,0        ,14:13:15,
备用设置提醒 ,0        ,14:13:16,
系统锁定   ,0        ,14:18:25,
管理员登陆  ,0        ,16:39:25,
重置报警   ,0        ,16:46:12,
系统锁定   ,0        ,16:52:25,
管理员登陆  ,0        ,16:58:12,
系统锁定   ,0        ,17:03:17,
管理员登陆  ,0        ,19:02:28,
重置报警   ,0        ,19:03:02,
系统锁定   ,0        ,19:08:03,
管理员登陆  ,0        ,19:10:28,
系统锁定   ,0        ,19:16:21,
报警测试   ,1        ,11:00:00,
管理员登陆  ,1        ,22:51:27,
系统锁定   ,1        ,22:57:14,
报警测试   ,2        ,11:00:00,
备用设置提醒 ,2        ,16:43:26,
管理员登陆  ,3        ,01:31:11,
系统锁定   ,3        ,01:36:19,
重置报警   ,3        ,03:31:01,
报警测试   ,3        ,11:00:00,
管理员登陆  ,4        ,07:47:22,
系统锁定   ,4        ,07:54:24,
报警测试   ,4        ,11:00:00,
管理员登陆  ,4        ,15:13:05,
系统锁定   ,4        ,15:18:26,
管理员登陆  ,4        ,16:28:15,
系统锁定   ,4        ,16:33:24,
备用设置提醒 ,5        ,01:04:03,
报警测试   ,5        ,11:00:00,
报警测试   ,6        ,11:00:00,
备用设置提醒 ,6        ,21:56:17,
报警测试   ,7        ,11:00:00,
报警测试   ,8        ,11:00:00,
重置报警   ,8        ,12:26:17,
管理员登陆  ,8        ,14:44:06,
系统锁定   ,8        ,14:49:11,
报警测试   ,9        ,11:00:00,
报警测试   ,10       ,11:00:00,
备用设置提醒 ,10       ,12:50:12,
管理员登陆  ,10       ,18:43:05,
系统锁定   ,10       ,18:48:15,
管理员登陆  ,11       ,10:13:08,
系统锁定   ,11       ,10:18:13,
报警测试   ,11       ,11:00:00,
报警测试   ,12       ,11:00:00,
管理员登陆  ,12       ,12:57:13,
更改开关   ,12       ,12:59:04,
更改开关   ,12       ,12:59:10,
系统锁定   ,12       ,13:04:10,
管理员登陆  ,12       ,15:04:05,
系统锁定   ,12       ,15:09:10,
管理员登陆  ,12       ,17:00:09,
系统锁定   ,12       ,17:05:21,
报警测试   ,13       ,11:00:00,
管理员登陆  ,13       ,15:26:08,
系统锁定   ,13       ,15:31:19,
报警测试   ,14       ,11:00:00,
备用设置提醒 ,15       ,07:04:24,
报警测试   ,15       ,11:00:00,
报警测试   ,16       ,11:00:00,
报警测试   ,17       ,11:00:00,
管理员登陆  ,17       ,18:15:03,
系统锁定   ,17       ,18:20:08,
报警测试   ,18       ,11:00:00,
报警测试   ,19       ,11:00:00,
管理员登陆  ,19       ,14:21:13,
系统锁定   ,19       ,14:26:18,
管理员登陆  ,19       ,18:13:05,
系统锁定   ,19       ,18:18:07,
备用设置提醒 ,19       ,23:38:12,
报警测试   ,20       ,11:00:00,
管理员登陆  ,20       ,15:35:15,
系统锁定   ,20       ,15:41:11,
报警测试   ,21       ,11:00:00,
管理员登陆  ,21       ,13:28:09,
系统锁定   ,21       ,13:33:16,
报警测试   ,22       ,11:00:00,
报警测试   ,23       ,11:00:00,
管理员登陆  ,23       ,13:46:29,
系统锁定   ,23       ,13:54:09,
管理员登陆  ,23       ,14:14:27,
系统锁定   ,23       ,14:20:03,
管理员登陆  ,24       ,07:36:19,
系统锁定   ,24       ,07:41:27,
报警测试   ,24       ,11:00:00,
备用设置提醒 ,24       ,11:19:05,
管理员登陆  ,25       ,10:56:27,
报警测试   ,25       ,11:00:00,
系统锁定   ,25       ,11:02:09,
管理员登陆  ,26       ,10:07:11,
系统锁定   ,26       ,10:12:19,
报警测试   ,26       ,11:00:00,
管理员登陆  ,26       ,15:00:15,
系统锁定   ,26       ,15:05:27,
管理员登陆  ,26       ,15:28:05,
系统锁定   ,26       ,15:33:15,
管理员登陆  ,27       ,10:20:00,
系统锁定   ,27       ,10:25:05,
报警测试   ,27       ,11:00:00,
管理员登陆  ,27       ,12:57:04,
系统锁定   ,27       ,13:02:09,
报警测试   ,28       ,11:00:00,
管理员登陆  ,29       ,03:15:08,
更改开关   ,29       ,03:15:14,
更改开关   ,29       ,03:15:15,
系统锁定   ,29       ,03:20:15,
管理员登陆  ,29       ,09:48:05,
系统锁定   ,29       ,09:53:09,
报警测试   ,29       ,11:00:00,
备用设置提醒 ,29       ,21:21:18,
管理员登陆  ,30       ,07:25:11,
系统锁定   ,30       ,07:30:17,
报警测试   ,30       ,11:00:00,
管理员登陆  ,30       ,12:57:24,
系统锁定   ,30       ,13:04:18,
管理员登陆  ,30       ,19:37:07,
系统锁定   ,30       ,19:43:19,
管理员登陆  ,31       ,07:32:21,
系统锁定   ,31       ,07:37:27,
报警测试   ,31       ,11:00:00,
管理员登陆  ,32       ,07:33:11,
系统锁定   ,32       ,07:38:15,
报警测试   ,32       ,11:00:00,
管理员登陆  ,33       ,07:27:09,
系统锁定   ,33       ,07:32:13,
报警测试   ,33       ,11:00:00,
管理员登陆  ,33       ,14:22:06,
更改开关   ,33       ,14:22:09,
系统锁定   ,33       ,14:27:09,
管理员登陆  ,33       ,15:29:22,
系统锁定   ,33       ,15:35:15,
管理员登陆  ,33       ,19:02:25,
更改开关   ,33       ,19:02:27,
系统锁定   ,33       ,19:08:14,
备用设置提醒 ,34       ,05:31:06,
管理员登陆  ,34       ,07:15:18,
系统锁定   ,34       ,07:20:23,
管理员登陆  ,34       ,09:25:13,
系统锁定   ,34       ,09:30:19,
管理员登陆  ,34       ,10:04:27,
系统锁定   ,34       ,10:10:11,
管理员登陆  ,34       ,10:25:25,
更改开关   ,34       ,10:25:27,
系统锁定   ,34       ,10:30:27,
报警测试   ,34       ,11:00:00,
管理员登陆  ,34       ,11:38:02,
系统锁定   ,34       ,11:43:15,
管理员登陆  ,34       ,18:18:06,
系统锁定   ,34       ,18:23:17,
管理员登陆  ,35       ,07:09:27,
系统锁定   ,35       ,07:15:04,
报警测试   ,35       ,11:00:00,
管理员登陆  ,35       ,14:55:12,
系统锁定   ,35       ,15:00:12,
管理员登陆  ,35       ,15:05:07,
