Message,GrowthDay,Time,
系统锁定   ,37       ,18:43:20,
备用设置提醒 ,37       ,20:19:06,
报警测试   ,38       ,11:00:00,
重置报警   ,38       ,12:55:00,
管理员登陆  ,38       ,13:00:28,
重置报警   ,38       ,13:01:04,
重置报警   ,38       ,13:02:20,
更改开关   ,38       ,13:05:14,
更改开关   ,38       ,13:05:16,
系统锁定   ,38       ,13:10:21,
重置报警   ,38       ,13:15:03,
管理员登陆  ,38       ,18:57:12,
空鸡舍模式  ,38       ,18:57:15,
更改开关   ,38       ,18:57:19,
更改开关   ,38       ,18:58:01,
更改开关   ,38       ,18:58:08,
更改开关   ,38       ,18:58:20,
系统锁定   ,38       ,19:03:20,
报警测试   ,39       ,11:00:00,
电源关闭   ,40       ,06:34:00,
电源开启   ,40       ,09:22:00,
报警测试   ,41       ,11:00:00,
电源关闭   ,42       ,09:16:15,
电源开启   ,42       ,09:16:14,
报警测试   ,42       ,11:00:00,
报警测试   ,43       ,11:00:00,
系统锁定   ,43       ,11:40:10,
系统锁定   ,43       ,13:10:04,
系统锁定   ,43       ,13:28:14,
系统锁定   ,43       ,13:52:28,
系统锁定   ,43       ,16:55:03,
系统锁定   ,44       ,08:36:13,
系统锁定   ,44       ,09:25:15,
系统锁定   ,44       ,09:45:23,
报警测试   ,44       ,11:00:00,
系统锁定   ,44       ,15:37:13,
报警测试   ,45       ,11:00:00,
报警测试   ,46       ,11:00:00,
报警测试   ,47       ,11:00:00,
报警测试   ,48       ,11:00:00,
报警测试   ,49       ,11:00:00,
报警测试   ,50       ,11:00:00,
报警测试   ,51       ,11:00:00,
报警测试   ,52       ,11:00:00,
报警测试   ,53       ,11:00:00,
报警测试   ,54       ,11:00:00,
报警测试   ,55       ,11:00:00,
电源关闭   ,56       ,10:27:00,
电源开启   ,56       ,10:27:11,
报警测试   ,56       ,11:00:00,
报警测试   ,57       ,11:00:00,
更改开关   ,57       ,18:45:29,
新的鸡群   ,-2       ,18:46:11,
更改的日龄  ,-2       ,18:46:12,
系统锁定   ,-2       ,18:51:18,
管理员登陆  ,-1       ,07:47:24,
更改开关   ,-1       ,07:47:26,
更改开关   ,-1       ,07:48:28,
更改开关   ,-1       ,07:49:10,
系统锁定   ,-1       ,07:55:05,
报警测试   ,-1       ,11:00:00,
管理员登陆  ,-1       ,13:11:15,
系统锁定   ,-1       ,13:22:11,
报警测试   ,0        ,11:00:00,
管理员登陆  ,0        ,14:17:22,
普通鸡舍模式 ,0        ,14:18:00,
备用设置提醒 ,0        ,14:18:00,
系统锁定   ,0        ,14:23:01,
管理员登陆  ,0        ,20:06:11,
系统锁定   ,0        ,20:11:12,
重置报警   ,1        ,04:54:07,
重置报警   ,1        ,04:55:12,
报警测试   ,1        ,11:00:00,
报警测试   ,2        ,11:00:00,
管理员登陆  ,2        ,12:29:11,
系统锁定   ,2        ,12:34:11,
备用设置提醒 ,3        ,10:57:09,
报警测试   ,3        ,11:00:00,
报警测试   ,4        ,11:00:00,
重置报警   ,4        ,14:17:07,
报警测试   ,5        ,11:00:00,
备用设置提醒 ,5        ,20:01:11,
报警测试   ,6        ,11:00:00,
报警测试   ,7        ,11:00:00,
备用设置提醒 ,7        ,11:04:24,
报警测试   ,8        ,11:00:00,
报警测试   ,9        ,11:00:00,
报警测试   ,10       ,11:00:00,
重置报警   ,10       ,16:55:00,
重置报警   ,11       ,02:57:25,
报警测试   ,11       ,11:00:00,
备用设置提醒 ,11       ,14:52:03,
重置报警   ,12       ,08:18:01,
报警测试   ,12       ,11:00:00,
管理员登陆  ,12       ,12:31:04,
重置报警   ,12       ,12:31:12,
更改开关   ,12       ,12:35:05,
更改开关   ,12       ,12:35:11,
系统锁定   ,12       ,12:40:11,
报警测试   ,13       ,11:00:00,
管理员登陆  ,13       ,14:57:11,
系统锁定   ,13       ,15:03:00,
重置报警   ,14       ,03:34:03,
报警测试   ,14       ,11:00:00,
重置报警   ,14       ,13:05:07,
管理员登陆  ,15       ,02:15:03,
系统锁定   ,15       ,02:20:13,
报警测试   ,15       ,11:00:00,
备用设置提醒 ,15       ,11:16:24,
报警测试   ,16       ,11:00:00,
报警测试   ,17       ,11:00:00,
报警测试   ,18       ,11:00:00,
报警测试   ,19       ,11:00:00,
报警测试   ,20       ,11:00:00,
报警测试   ,21       ,11:00:00,
备用设置提醒 ,21       ,15:27:22,
报警测试   ,22       ,11:00:00,
报警测试   ,23       ,11:00:00,
管理员登陆  ,23       ,12:55:27,
系统锁定   ,23       ,13:06:12,
管理员登陆  ,23       ,18:29:27,
系统锁定   ,23       ,18:35:04,
访客登陆   ,24       ,07:24:28,
系统锁定   ,24       ,07:30:08,
管理员登陆  ,24       ,10:45:29,
系统锁定   ,24       ,10:56:04,
报警测试   ,24       ,11:00:00,
管理员登陆  ,24       ,14:55:18,
系统锁定   ,24       ,15:01:03,
访客登陆   ,25       ,09:07:11,
系统锁定   ,25       ,09:12:15,
报警测试   ,25       ,11:00:00,
管理员登陆  ,26       ,07:34:11,
系统锁定   ,26       ,07:39:18,
报警测试   ,26       ,11:00:00,
管理员登陆  ,26       ,14:57:02,
系统锁定   ,26       ,15:02:08,
备用设置提醒 ,26       ,21:24:04,
管理员登陆  ,27       ,03:19:26,
更改开关   ,27       ,03:20:00,
更改开关   ,27       ,03:20:01,
系统锁定   ,27       ,03:25:01,
访客登陆   ,27       ,08:20:23,
系统锁定   ,27       ,08:25:27,
报警测试   ,27       ,11:00:00,
管理员登陆  ,27       ,11:59:26,
系统锁定   ,27       ,12:05:21,
管理员登陆  ,27       ,12:17:11,
系统锁定   ,27       ,12:24:04,
管理员登陆  ,27       ,19:24:12,
系统锁定   ,27       ,19:31:20,
访客登陆   ,28       ,07:26:10,
系统锁定   ,28       ,07:31:22,
报警测试   ,28       ,11:00:00,
管理员登陆  ,28       ,15:00:09,
系统锁定   ,28       ,15:05:17,
管理员登陆  ,28       ,15:24:10,
系统锁定   ,28       ,15:30:02,
管理员登陆  ,29       ,04:27:11,
系统锁定   ,29       ,04:32:12,
访客登陆   ,29       ,07:55:25,
系统锁定   ,29       ,08:01:00,
报警测试   ,29       ,11:00:00,
报警测试   ,30       ,11:00:00,
管理员登陆  ,30       ,17:20:28,
系统锁定   ,30       ,17:27:19,
管理员登陆  ,30       ,18:14:23,
系统锁定   ,30       ,18:19:28,
访客登陆   ,31       ,08:30:17,
系统锁定   ,31       ,08:35:26,
报警测试   ,31       ,11:00:00,
管理员登陆  ,31       ,14:13:17,
更改开关   ,31       ,14:13:19,
系统锁定   ,31       ,14:18:19,
管理员登陆  ,31       ,18:59:13,
更改开关   ,31       ,18:59:16,
系统锁定   ,31       ,19:04:16,
管理员登陆  ,32       ,10:22:17,
更改开关   ,32       ,10:22:19,
系统锁定   ,32       ,10:29:03,
报警测试   ,32       ,11:00:00,
备用设置提醒 ,33       ,01:30:21,
管理员登陆  ,33       ,01:31:11,
系统锁定   ,33       ,01:36:22,
管理员登陆  ,33       ,02:26:08,
系统锁定   ,33       ,02:31:16,
访客登陆   ,33       ,07:17:12,
系统锁定   ,33       ,07:22:17,
报警测试   ,33       ,11:00:00,
报警测试   ,34       ,11:00:00,
报警测试   ,35       ,11:00:00,
报警测试   ,36       ,11:00:00,
管理员登陆  ,36       ,18:36:20,
系统锁定   ,36       ,18:41:29,
备用设置提醒 ,36       ,19:33:27,
报警测试   ,37       ,11:00:00,
访客登陆   ,37       ,13:28:14,
系统锁定   ,37       ,13:35:22,
访客登陆   ,37       ,14:06:15,
系统锁定   ,37       ,14:11:25,
管理员登陆  ,37       ,21:03:10,
系统锁定   ,37       ,21:13:20,
管理员登陆  ,38       ,01:42:00,
空鸡舍模式  ,38       ,01:42:03,
更改开关   ,38       ,01:42:12,
更改开关   ,38       ,01:42:17,
系统锁定   ,38       ,01:47:18,
报警测试   ,38       ,11:00:00,
电源关闭   ,39       ,06:51:23,
电源开启   ,39       ,12:43:11,
电源关闭   ,40       ,13:09:02,
电源开启   ,40       ,09:10:09,
报警测试   ,41       ,11:00:00,
报警测试   ,42       ,11:00:00,
报警测试   ,43       ,11:00:00,
报警测试   ,44       ,11:00:00,
报警测试   ,45       ,11:00:00,
系统锁定   ,45       ,12:27:13,
管理员登陆  ,45       ,12:31:26,
系统锁定   ,45       ,12:37:14,
系统锁定   ,45       ,16:50:22,
系统锁定   ,46       ,10:32:03,
报警测试   ,46       ,11:00:00,
报警测试   ,47       ,11:00:00,
报警测试   ,48       ,11:00:00,
报警测试   ,49       ,11:00:00,
报警测试   ,50       ,11:00:00,
管理员登陆  ,50       ,15:09:08,
系统锁定   ,50       ,15:14:29,
电源关闭   ,51       ,07:24:15,
电源开启   ,51       ,07:51:21,
电源关闭   ,51       ,07:51:21,
电源开启   ,51       ,07:52:10,
电源关闭   ,51       ,07:52:10,
电源开启   ,51       ,07:56:22,
电源关闭   ,51       ,08:17:28,
电源开启   ,51       ,08:29:26,
电源关闭   ,51       ,08:51:02,
电源开启   ,51       ,10:00:20,
报警测试   ,51       ,11:00:00,
电源关闭   ,52       ,10:16:27,
电源开启   ,52       ,10:23:02,
报警测试   ,52       ,11:00:00,
报警测试   ,53       ,11:00:00,
电源关闭   ,54       ,09:30:09,
电源开启   ,54       ,09:30:21,
管理员登陆  ,54       ,10:55:01,
更改开关   ,54       ,10:56:20,
报警测试   ,54       ,11:00:00,
