GrowthDay,Heaters,Fans,Lights,Others,ToalPerDay,ChangeRate,
0        ,0      ,0   ,0     ,0     ,0         ,不详        ,
1        ,0      ,0   ,0     ,0     ,0         ,不详        ,
2        ,0      ,0   ,0     ,0     ,0         ,不详        ,
3        ,0      ,0   ,0     ,0     ,0         ,不详        ,
4        ,0      ,0   ,0     ,0     ,0         ,不详        ,
5        ,0      ,0   ,0     ,0     ,0         ,不详        ,
6        ,0      ,0   ,0     ,0     ,0         ,不详        ,
7        ,0      ,0   ,0     ,0     ,0         ,不详        ,
8        ,0      ,0   ,0     ,0     ,0         ,不详        ,
9        ,0      ,0   ,0     ,0     ,0         ,不详        ,
10       ,0      ,0   ,0     ,0     ,0         ,不详        ,
11       ,0      ,0   ,0     ,0     ,0         ,不详        ,
12       ,0      ,0   ,0     ,0     ,0         ,不详        ,
13       ,0      ,0   ,0     ,0     ,0         ,不详        ,
14       ,0      ,0   ,0     ,0     ,0         ,不详        ,
15       ,0      ,0   ,0     ,0     ,0         ,不详        ,
16       ,0      ,0   ,0     ,0     ,0         ,不详        ,
17       ,0      ,0   ,0     ,0     ,0         ,不详        ,
18       ,0      ,0   ,0     ,0     ,0         ,不详        ,
19       ,0      ,0   ,0     ,0     ,0         ,不详        ,
20       ,0      ,0   ,0     ,0     ,0         ,不详        ,
21       ,0      ,0   ,0     ,0     ,0         ,不详        ,
22       ,0      ,0   ,0     ,0     ,0         ,不详        ,
23       ,0      ,0   ,0     ,0     ,0         ,不详        ,
24       ,0      ,0   ,0     ,0     ,0         ,不详        ,
25       ,0      ,0   ,0     ,0     ,0         ,不详        ,
26       ,0      ,0   ,0     ,0     ,0         ,不详        ,
27       ,0      ,0   ,0     ,0     ,0         ,不详        ,
28       ,0      ,0   ,0     ,0     ,0         ,不详        ,
29       ,0      ,0   ,0     ,0     ,0         ,不详        ,
30       ,0      ,0   ,0     ,0     ,0         ,不详        ,
31       ,0      ,0   ,0     ,0     ,0         ,不详        ,
32       ,0      ,0   ,0     ,0     ,0         ,不详        ,
33       ,0      ,0   ,0     ,0     ,0         ,不详        ,
34       ,0      ,0   ,0     ,0     ,0         ,不详        ,
35       ,0      ,0   ,0     ,0     ,0         ,不详        ,
36       ,0      ,0   ,0     ,0     ,0         ,不详        ,
37       ,0      ,0   ,0     ,0     ,0         ,不详        ,
38       ,0      ,0   ,0     ,0     ,0         ,不详        ,
39       ,0      ,0   ,0     ,0     ,0         ,不详        ,
40       ,0      ,0   ,0     ,0     ,0         ,不详        ,
41       ,0      ,0   ,0     ,0     ,0         ,不详        ,
42       ,0      ,0   ,0     ,0     ,0         ,不详        ,
43       ,0      ,0   ,0     ,0     ,0         ,不详        ,
44       ,0      ,0   ,0     ,0     ,0         ,不详        ,
45       ,0      ,0   ,0     ,0     ,0         ,不详        ,
