GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
0        ,1520           ,不详              ,1520        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1520      ,0      ,0     ,0       ,
1        ,1100           ,-28             ,1100        ,-28          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1100      ,0      ,0     ,0       ,
2        ,1070           ,-3              ,1070        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1070      ,0      ,0     ,0       ,
3        ,1270           ,18              ,1270        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1270      ,0      ,0     ,0       ,
4        ,1470           ,15              ,1470        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1470      ,0      ,0     ,0       ,
5        ,1700           ,15              ,1700        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1700      ,0      ,0     ,0       ,
6        ,1950           ,14              ,1950        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1950      ,0      ,0     ,0       ,
7        ,2320           ,18              ,2320        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2320      ,0      ,0     ,0       ,
8        ,2490           ,7               ,2490        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2490      ,0      ,0     ,0       ,
9        ,2810           ,12              ,2810        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2810      ,0      ,0     ,0       ,
10       ,3480           ,23              ,3480        ,23           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3480      ,0      ,0     ,0       ,
11       ,3780           ,8               ,3780        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3780      ,0      ,0     ,0       ,
12       ,3950           ,4               ,3950        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3950      ,0      ,0     ,0       ,
