GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,30.2        ,30.2        ,36.7        ,
-1       ,28.6        ,30.4        ,36.5        ,
0        ,28.9        ,34.1        ,37.4        ,
1        ,33.0        ,33.0        ,37.2        ,
2        ,31.5        ,32.1        ,36.1        ,
3        ,30.9        ,31.2        ,36.3        ,
4        ,30.6        ,30.6        ,36.9        ,
5        ,29.9        ,30.5        ,36.3        ,
6        ,29.3        ,29.4        ,35.6        ,
7        ,29.0        ,29.3        ,35.3        ,
8        ,28.7        ,30.0        ,34.9        ,
9        ,28.9        ,29.4        ,33.8        ,
10       ,28.8        ,30.3        ,35.0        ,
11       ,29.6        ,30.7        ,35.1        ,
12       ,29.4        ,29.5        ,35.1        ,
13       ,28.7        ,30.0        ,34.7        ,
14       ,29.0        ,29.1        ,34.5        ,
15       ,28.7        ,29.0        ,33.4        ,
16       ,28.5        ,28.9        ,33.5        ,
17       ,28.3        ,29.4        ,33.2        ,
18       ,28.2        ,29.1        ,33.6        ,
19       ,28.3        ,29.4        ,33.6        ,
20       ,28.0        ,28.0        ,32.6        ,
21       ,27.8        ,28.5        ,32.5        ,
22       ,28.1        ,28.1        ,31.1        ,
23       ,27.6        ,28.8        ,32.6        ,
24       ,28.0        ,28.3        ,32.3        ,
25       ,27.5        ,29.6        ,32.4        ,
26       ,28.1        ,29.1        ,31.9        ,
27       ,27.9        ,29.8        ,31.6        ,
28       ,26.0        ,26.2        ,30.1        ,
29       ,26.1        ,27.4        ,30.7        ,
30       ,26.4        ,27.7        ,30.6        ,
31       ,27.0        ,28.5        ,31.0        ,
32       ,27.6        ,28.8        ,30.3        ,
33       ,27.2        ,29.1        ,30.7        ,
34       ,24.8        ,24.9        ,29.1        ,
35       ,23.9        ,25.2        ,28.9        ,
36       ,23.9        ,27.0        ,29.0        ,
37       ,26.1        ,27.1        ,28.9        ,
38       ,25.7        ,28.9        ,29.1        ,
39       ,25.8        ,27.3        ,32.3        ,
40       ,26.0        ,28.3        ,32.4        ,
41       ,28.0        ,29.2        ,33.0        ,
42       ,27.6        ,29.6        ,29.9        ,
43       ,25.9        ,28.6        ,28.7        ,
