GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,30.2        ,30.2        ,35.1        ,
-1       ,28.2        ,30.6        ,36.6        ,
0        ,28.9        ,34.9        ,37.7        ,
1        ,33.4        ,33.4        ,37.5        ,
2        ,31.9        ,32.1        ,36.1        ,
3        ,31.2        ,31.5        ,36.5        ,
4        ,30.8        ,30.8        ,37.1        ,
5        ,30.4        ,30.8        ,36.8        ,
6        ,29.4        ,29.5        ,36.0        ,
7        ,29.3        ,29.5        ,35.5        ,
8        ,29.3        ,30.0        ,35.2        ,
9        ,29.1        ,29.5        ,34.0        ,
10       ,29.0        ,30.4        ,35.2        ,
11       ,29.8        ,30.6        ,35.1        ,
12       ,29.6        ,29.6        ,35.3        ,
13       ,28.7        ,29.8        ,35.0        ,
14       ,28.8        ,29.1        ,34.6        ,
15       ,28.6        ,28.9        ,33.3        ,
16       ,28.3        ,29.1        ,33.6        ,
17       ,28.4        ,29.2        ,33.3        ,
18       ,28.2        ,29.3        ,33.7        ,
19       ,28.1        ,29.1        ,33.4        ,
20       ,27.9        ,28.2        ,32.5        ,
21       ,27.6        ,28.3        ,32.1        ,
22       ,27.7        ,28.0        ,30.7        ,
23       ,27.4        ,28.4        ,32.5        ,
24       ,27.9        ,28.0        ,32.5        ,
25       ,27.1        ,29.2        ,32.5        ,
26       ,27.7        ,29.0        ,31.8        ,
27       ,27.6        ,29.7        ,31.7        ,
28       ,26.1        ,26.5        ,29.9        ,
29       ,26.0        ,27.1        ,31.0        ,
30       ,26.4        ,27.6        ,30.7        ,
31       ,26.8        ,28.2        ,31.1        ,
32       ,27.4        ,28.3        ,30.5        ,
33       ,27.1        ,28.8        ,30.6        ,
34       ,24.8        ,24.9        ,29.2        ,
35       ,23.9        ,24.7        ,28.9        ,
36       ,23.8        ,26.8        ,29.0        ,
37       ,25.7        ,27.1        ,29.1        ,
38       ,25.9        ,27.5        ,30.8        ,
39       ,24.7        ,27.1        ,33.7        ,
40       ,26.4        ,30.0        ,33.8        ,
41       ,29.4        ,30.4        ,33.8        ,
42       ,28.7        ,32.5        ,33.4        ,
43       ,28.0        ,28.0        ,32.2        ,
44       ,25.3        ,28.9        ,28.9        ,
