GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,1439           ,不详              ,1439        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1439      ,0      ,0     ,0       ,
1        ,1374           ,-5              ,1374        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1374      ,0      ,0     ,0       ,
2        ,780            ,-44             ,780         ,-44          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,780       ,0      ,0     ,0       ,
3        ,966            ,23              ,966         ,23           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,966       ,0      ,0     ,0       ,
4        ,1328           ,37              ,1328        ,37           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1328      ,0      ,0     ,0       ,
5        ,1735           ,30              ,1735        ,30           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1735      ,0      ,0     ,0       ,
6        ,1902           ,9               ,1902        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1902      ,0      ,0     ,0       ,
7        ,2208           ,16              ,2208        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2208      ,0      ,0     ,0       ,
8        ,2304           ,4               ,2304        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2304      ,0      ,0     ,0       ,
9        ,2754           ,19              ,2754        ,19           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2754      ,0      ,0     ,0       ,
10       ,2989           ,8               ,2989        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2989      ,0      ,0     ,0       ,
11       ,3638           ,21              ,3638        ,21           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3638      ,0      ,0     ,0       ,
12       ,3752           ,3               ,3752        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3752      ,0      ,0     ,0       ,
13       ,4096           ,9               ,4096        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4096      ,0      ,0     ,0       ,
14       ,4500           ,9               ,4500        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4500      ,0      ,0     ,0       ,
15       ,4960           ,10              ,4960        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4960      ,0      ,0     ,0       ,
16       ,5176           ,4               ,5176        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5176      ,0      ,0     ,0       ,
17       ,5593           ,8               ,5593        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5593      ,0      ,0     ,0       ,
18       ,6108           ,9               ,6108        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6108      ,0      ,0     ,0       ,
19       ,6060           ,不详              ,6060        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6060      ,0      ,0     ,0       ,
20       ,6336           ,4               ,6336        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6336      ,0      ,0     ,0       ,
21       ,6821           ,7               ,6821        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6821      ,0      ,0     ,0       ,
22       ,7446           ,9               ,7446        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7446      ,0      ,0     ,0       ,
23       ,7307           ,-2              ,7307        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7307      ,0      ,0     ,0       ,
24       ,7466           ,2               ,7466        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7466      ,0      ,0     ,0       ,
25       ,8086           ,8               ,8086        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8086      ,0      ,0     ,0       ,
26       ,8032           ,不详              ,8032        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8032      ,0      ,0     ,0       ,
27       ,8568           ,6               ,8568        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8568      ,0      ,0     ,0       ,
28       ,8719           ,1               ,8719        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8719      ,0      ,0     ,0       ,
29       ,8788           ,0               ,8788        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8788      ,0      ,0     ,0       ,
30       ,9511           ,8               ,9511        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9511      ,0      ,0     ,0       ,
31       ,9139           ,-4              ,9139        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9139      ,0      ,0     ,0       ,
32       ,9782           ,7               ,9782        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9782      ,0      ,0     ,0       ,
33       ,9658           ,-2              ,9658        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9658      ,0      ,0     ,0       ,
34       ,9755           ,1               ,9755        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9755      ,0      ,0     ,0       ,
35       ,10791          ,10              ,10791       ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10791     ,0      ,0     ,0       ,
36       ,11076          ,2               ,11076       ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11076     ,0      ,0     ,0       ,
37       ,10679          ,-4              ,10679       ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10679     ,0      ,0     ,0       ,
38       ,1554           ,-86             ,1554        ,-86          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1554      ,0      ,0     ,0       ,
39       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
40       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
41       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
42       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
43       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
44       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
