GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,1           ,84          ,84          ,
-1       ,62          ,80          ,89          ,
0        ,66          ,77          ,84          ,
1        ,66          ,81          ,81          ,
2        ,73          ,85          ,86          ,
3        ,72          ,89          ,89          ,
4        ,70          ,89          ,89          ,
5        ,68          ,87          ,89          ,
6        ,71          ,84          ,89          ,
7        ,76          ,87          ,89          ,
8        ,81          ,91          ,91          ,
9        ,84          ,90          ,92          ,
10       ,71          ,90          ,92          ,
11       ,73          ,89          ,92          ,
12       ,65          ,88          ,90          ,
13       ,65          ,86          ,89          ,
14       ,69          ,89          ,90          ,
15       ,77          ,91          ,93          ,
16       ,76          ,91          ,93          ,
17       ,74          ,91          ,94          ,
18       ,75          ,91          ,93          ,
19       ,73          ,90          ,93          ,
20       ,82          ,92          ,94          ,
21       ,83          ,93          ,94          ,
22       ,85          ,94          ,95          ,
23       ,80          ,95          ,97          ,
24       ,85          ,95          ,97          ,
25       ,86          ,94          ,97          ,
26       ,81          ,94          ,97          ,
27       ,87          ,94          ,96          ,
28       ,85          ,94          ,95          ,
29       ,85          ,97          ,97          ,
30       ,90          ,96          ,97          ,
31       ,90          ,96          ,97          ,
32       ,93          ,96          ,99          ,
33       ,94          ,100         ,100         ,
34       ,89          ,94          ,100         ,
35       ,78          ,94          ,96          ,
36       ,88          ,98          ,99          ,
37       ,97          ,100         ,100         ,
38       ,1           ,1           ,100         ,
39       ,1           ,1           ,1           ,
40       ,1           ,1           ,1           ,
41       ,1           ,1           ,1           ,
42       ,1           ,1           ,1           ,
43       ,1           ,1           ,1           ,
