GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,30             ,不详              ,30          ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,30        ,0      ,0     ,0       ,
-1       ,125            ,316             ,125         ,316          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,125       ,0      ,0     ,0       ,
0        ,4107           ,3185            ,4107        ,3185         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4107      ,0      ,0     ,0       ,
1        ,2006           ,-52             ,2006        ,-52          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2006      ,0      ,0     ,0       ,
2        ,853            ,-58             ,853         ,-58          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,853       ,0      ,0     ,0       ,
3        ,1022           ,19              ,1022        ,19           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1022      ,0      ,0     ,0       ,
4        ,1360           ,33              ,1360        ,33           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1360      ,0      ,0     ,0       ,
5        ,1800           ,32              ,1800        ,32           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1800      ,0      ,0     ,0       ,
6        ,1996           ,10              ,1996        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1996      ,0      ,0     ,0       ,
7        ,2756           ,38              ,2756        ,38           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2756      ,0      ,0     ,0       ,
8        ,2406           ,-13             ,2406        ,-13          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2406      ,0      ,0     ,0       ,
9        ,2799           ,16              ,2799        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2799      ,0      ,0     ,0       ,
10       ,3142           ,12              ,3142        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3142      ,0      ,0     ,0       ,
11       ,3616           ,15              ,3616        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3616      ,0      ,0     ,0       ,
12       ,3755           ,3               ,3755        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3755      ,0      ,0     ,0       ,
13       ,3970           ,5               ,3970        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3970      ,0      ,0     ,0       ,
