GrowthDay,Heater_1,Heater_2,Heater_3,Heater_4,Heater_5,Heater_6,Heater_7,Heater_8,Heater_9,Heater_10,Heater_11,Heater_12,Heater_13,Heater_14,Heater_15,Heater_16,
-2       ,02:35   ,04:38   ,03:12   ,02:14   ,03:04   ,06:59   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
-1       ,07:29   ,11:05   ,08:15   ,06:14   ,06:58   ,12:59   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
0        ,08:28   ,07:48   ,06:10   ,05:46   ,03:23   ,13:21   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
1        ,07:38   ,05:31   ,04:36   ,07:43   ,03:39   ,16:53   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
2        ,07:52   ,05:08   ,06:04   ,09:35   ,08:34   ,10:32   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
3        ,07:15   ,04:53   ,06:53   ,08:51   ,07:39   ,08:41   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
4        ,03:18   ,02:24   ,06:59   ,08:43   ,07:23   ,06:44   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
5        ,03:05   ,01:24   ,06:04   ,07:02   ,06:43   ,04:01   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
6        ,03:45   ,02:12   ,02:30   ,07:07   ,07:20   ,02:11   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
7        ,03:59   ,05:49   ,02:31   ,08:12   ,08:08   ,00:48   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
8        ,03:09   ,04:14   ,04:12   ,07:24   ,08:12   ,01:13   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
9        ,03:41   ,04:11   ,04:30   ,08:15   ,07:25   ,02:46   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
10       ,04:24   ,03:31   ,05:13   ,08:41   ,07:13   ,02:44   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
11       ,04:29   ,03:18   ,05:06   ,09:34   ,06:56   ,04:04   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
12       ,03:50   ,02:44   ,06:01   ,06:41   ,06:40   ,04:00   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
13       ,04:49   ,05:43   ,08:05   ,10:16   ,10:14   ,06:06   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
14       ,07:00   ,05:25   ,06:33   ,10:38   ,09:32   ,05:46   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
15       ,05:09   ,03:56   ,04:09   ,08:16   ,08:06   ,03:20   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
16       ,03:01   ,04:02   ,03:40   ,05:13   ,05:56   ,03:53   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
17       ,02:16   ,02:37   ,02:57   ,02:17   ,05:27   ,02:38   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
18       ,02:20   ,02:25   ,02:08   ,01:21   ,04:16   ,02:35   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
19       ,02:20   ,02:50   ,02:53   ,02:20   ,04:25   ,03:05   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
20       ,02:13   ,01:42   ,02:06   ,01:00   ,03:10   ,02:27   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
21       ,01:20   ,00:07   ,00:44   ,00:00   ,01:03   ,01:35   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
22       ,00:37   ,00:09   ,00:23   ,00:00   ,00:19   ,01:29   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
23       ,00:51   ,00:49   ,00:46   ,00:02   ,01:15   ,03:12   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
24       ,02:02   ,00:34   ,00:47   ,00:23   ,01:52   ,02:20   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
25       ,04:02   ,00:40   ,00:44   ,00:22   ,02:20   ,01:23   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
26       ,03:25   ,00:18   ,00:07   ,00:22   ,01:12   ,01:10   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
27       ,03:00   ,00:05   ,00:00   ,00:01   ,00:09   ,00:31   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
28       ,02:37   ,00:00   ,00:00   ,00:00   ,00:02   ,00:12   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
29       ,03:52   ,00:26   ,00:36   ,00:50   ,01:02   ,01:07   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
30       ,03:48   ,01:01   ,01:16   ,02:15   ,01:57   ,02:13   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
