GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-2       ,0.000  ,0          ,不详         ,0       ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
-1       ,0.000  ,1613       ,不详         ,1613    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
0        ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
1        ,0.000  ,564        ,不详         ,564     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,511        ,-10        ,511     ,-10           ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,555        ,8          ,555     ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,878        ,58         ,878     ,58            ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,179        ,-80        ,179     ,-80           ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,412        ,130        ,412     ,130           ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,941        ,128        ,941     ,128           ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,1030       ,9          ,1030    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1371       ,33         ,1371    ,33            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1424       ,3          ,1424    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1684       ,18         ,1684    ,18            ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1828       ,8          ,1828    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,1899       ,3          ,1899    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2061       ,8          ,2061    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2096       ,1          ,2096    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,2258       ,7          ,2258    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2365       ,4          ,2365    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2607       ,10         ,2607    ,10            ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,2697       ,3          ,2697    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,2992       ,10         ,2992    ,10            ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,3656       ,22         ,3656    ,22            ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,2912       ,-21        ,2912    ,-21           ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,2903       ,不详         ,2903    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3727       ,28         ,3727    ,28            ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,3279       ,-13        ,3279    ,-13           ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3270       ,不详         ,3270    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3235       ,-2         ,3235    ,-2            ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,3011       ,-7         ,3011    ,-7            ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,3727       ,23         ,3727    ,23            ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,2966       ,-21        ,2966    ,-21           ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,2383       ,-20        ,2383    ,-20           ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,2473       ,3          ,2473    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,2186       ,-12        ,2186    ,-12           ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,2204       ,0          ,2204    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,4148       ,88         ,4148    ,88            ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,4776       ,15         ,4776    ,15            ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
