GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,244            ,不详              ,0           ,不详           ,244         ,不详           ,0           ,不详           ,0           ,不详           ,244       ,0      ,0     ,0       ,
1        ,519            ,112             ,0           ,不详           ,519         ,112          ,0           ,不详           ,0           ,不详           ,519       ,0      ,0     ,0       ,
2        ,949            ,82              ,0           ,不详           ,949         ,82           ,0           ,不详           ,0           ,不详           ,949       ,0      ,0     ,0       ,
3        ,1063           ,12              ,0           ,不详           ,1063        ,12           ,0           ,不详           ,0           ,不详           ,1063      ,0      ,0     ,0       ,
4        ,1446           ,36              ,0           ,不详           ,1446        ,36           ,0           ,不详           ,0           ,不详           ,1446      ,0      ,0     ,0       ,
5        ,1741           ,20              ,0           ,不详           ,1741        ,20           ,0           ,不详           ,0           ,不详           ,1741      ,0      ,0     ,0       ,
6        ,1925           ,10              ,0           ,不详           ,1925        ,10           ,0           ,不详           ,0           ,不详           ,1925      ,0      ,0     ,0       ,
7        ,2298           ,19              ,0           ,不详           ,2298        ,19           ,0           ,不详           ,0           ,不详           ,2298      ,0      ,0     ,0       ,
8        ,2132           ,-8              ,0           ,不详           ,2132        ,-8           ,0           ,不详           ,0           ,不详           ,2132      ,0      ,0     ,0       ,
9        ,3001           ,40              ,0           ,不详           ,3001        ,40           ,0           ,不详           ,0           ,不详           ,3001      ,0      ,0     ,0       ,
10       ,3134           ,4               ,0           ,不详           ,3134        ,4            ,0           ,不详           ,0           ,不详           ,3134      ,0      ,0     ,0       ,
11       ,3442           ,9               ,0           ,不详           ,3442        ,9            ,0           ,不详           ,0           ,不详           ,3442      ,0      ,0     ,0       ,
12       ,3596           ,4               ,0           ,不详           ,3596        ,4            ,0           ,不详           ,0           ,不详           ,3596      ,0      ,0     ,0       ,
13       ,3886           ,8               ,0           ,不详           ,3886        ,8            ,0           ,不详           ,0           ,不详           ,3886      ,0      ,0     ,0       ,
14       ,4099           ,5               ,0           ,不详           ,4099        ,5            ,0           ,不详           ,0           ,不详           ,4099      ,0      ,0     ,0       ,
15       ,4662           ,13              ,0           ,不详           ,4662        ,13           ,0           ,不详           ,0           ,不详           ,4662      ,0      ,0     ,0       ,
16       ,5149           ,10              ,0           ,不详           ,5149        ,10           ,0           ,不详           ,0           ,不详           ,5149      ,0      ,0     ,0       ,
17       ,5259           ,2               ,0           ,不详           ,5259        ,2            ,0           ,不详           ,0           ,不详           ,5259      ,0      ,0     ,0       ,
18       ,5617           ,6               ,0           ,不详           ,5617        ,6            ,0           ,不详           ,0           ,不详           ,5617      ,0      ,0     ,0       ,
19       ,5386           ,-5              ,0           ,不详           ,5386        ,-5           ,0           ,不详           ,0           ,不详           ,5386      ,0      ,0     ,0       ,
20       ,5908           ,9               ,0           ,不详           ,5908        ,9            ,0           ,不详           ,0           ,不详           ,5908      ,0      ,0     ,0       ,
