Message,GrowthDay,Time,
系统锁定   ,17       ,07:07:22,
报警测试   ,17       ,11:10:00,
备用设置提醒 ,17       ,16:01:27,
管理员登陆  ,18       ,06:16:19,
系统锁定   ,18       ,06:21:28,
管理员登陆  ,18       ,08:52:27,
系统锁定   ,18       ,08:58:04,
管理员登陆  ,18       ,10:16:18,
系统锁定   ,18       ,10:21:26,
报警测试   ,18       ,11:10:00,
报警测试   ,19       ,11:10:00,
管理员登陆  ,19       ,13:25:12,
系统锁定   ,19       ,13:34:12,
报警测试   ,20       ,11:10:00,
管理员登陆  ,20       ,21:15:09,
系统锁定   ,20       ,21:21:23,
管理员登陆  ,21       ,03:13:28,
系统锁定   ,21       ,03:19:03,
报警测试   ,21       ,11:10:00,
报警测试   ,22       ,11:10:00,
报警测试   ,23       ,11:10:00,
系统锁定   ,23       ,11:29:01,
报警测试   ,24       ,11:10:00,
备用设置提醒 ,24       ,18:43:06,
报警测试   ,25       ,11:10:00,
系统锁定   ,25       ,15:45:00,
系统锁定   ,25       ,16:33:18,
管理员登陆  ,26       ,07:33:06,
系统锁定   ,26       ,07:41:19,
报警测试   ,26       ,11:10:00,
报警测试   ,27       ,11:10:00,
管理员登陆  ,28       ,04:57:01,
系统锁定   ,28       ,05:02:19,
管理员登陆  ,28       ,05:43:01,
系统锁定   ,28       ,05:48:18,
报警测试   ,28       ,11:10:00,
管理员登陆  ,28       ,13:55:11,
系统锁定   ,28       ,14:00:13,
管理员登陆  ,29       ,05:01:19,
更改开关   ,29       ,05:02:01,
更改开关   ,29       ,05:02:15,
系统锁定   ,29       ,05:07:15,
管理员登陆  ,29       ,06:30:20,
系统锁定   ,29       ,06:35:29,
报警测试   ,29       ,11:10:00,
系统锁定   ,30       ,03:23:05,
管理员登陆  ,30       ,06:04:23,
系统锁定   ,30       ,06:10:07,
报警测试   ,30       ,11:10:00,
报警测试   ,31       ,11:10:00,
备用设置提醒 ,31       ,23:45:18,
报警测试   ,32       ,11:10:00,
系统锁定   ,32       ,15:38:02,
管理员登陆  ,33       ,09:53:25,
系统锁定   ,33       ,09:59:11,
报警测试   ,33       ,11:10:00,
管理员登陆  ,34       ,06:11:29,
系统锁定   ,34       ,06:17:13,
报警测试   ,34       ,11:10:00,
系统锁定   ,35       ,06:33:05,
报警测试   ,35       ,11:10:00,
系统锁定   ,35       ,16:40:22,
管理员登陆  ,36       ,01:04:19,
系统锁定   ,36       ,01:09:22,
报警测试   ,36       ,11:10:00,
备用设置提醒 ,36       ,23:36:00,
管理员登陆  ,37       ,06:07:24,
系统锁定   ,37       ,06:13:01,
报警测试   ,37       ,11:10:00,
管理员登陆  ,37       ,15:14:27,
更改开关   ,37       ,15:14:29,
更改开关   ,37       ,15:15:03,
系统锁定   ,37       ,15:20:03,
系统锁定   ,37       ,16:39:26,
重置报警   ,37       ,23:08:20,
重置报警   ,37       ,23:18:01,
重置报警   ,37       ,23:27:28,
管理员登陆  ,38       ,10:23:05,
空鸡舍模式  ,38       ,10:23:08,
更改开关   ,38       ,10:23:19,
