GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,76          ,80          ,90          ,
0        ,64          ,78          ,84          ,
1        ,60          ,74          ,82          ,
2        ,55          ,71          ,79          ,
3        ,69          ,78          ,82          ,
4        ,73          ,85          ,85          ,
5        ,75          ,83          ,86          ,
6        ,61          ,84          ,86          ,
7        ,60          ,80          ,86          ,
8        ,48          ,72          ,82          ,
9        ,47          ,75          ,78          ,
10       ,53          ,83          ,84          ,
11       ,71          ,85          ,87          ,
12       ,66          ,86          ,88          ,
13       ,65          ,87          ,89          ,
14       ,64          ,87          ,89          ,
15       ,65          ,85          ,90          ,
16       ,74          ,90          ,91          ,
17       ,75          ,91          ,92          ,
18       ,80          ,93          ,93          ,
19       ,73          ,94          ,96          ,
20       ,75          ,91          ,96          ,
21       ,71          ,92          ,94          ,
22       ,65          ,96          ,98          ,
23       ,70          ,88          ,98          ,
24       ,82          ,91          ,92          ,
25       ,75          ,92          ,93          ,
26       ,74          ,91          ,93          ,
27       ,73          ,88          ,93          ,
28       ,80          ,89          ,92          ,
29       ,74          ,94          ,94          ,
30       ,84          ,86          ,95          ,
31       ,57          ,85          ,88          ,
32       ,76          ,92          ,92          ,
33       ,85          ,93          ,95          ,
34       ,87          ,92          ,94          ,
35       ,91          ,95          ,96          ,
36       ,90          ,95          ,96          ,
37       ,95          ,95          ,97          ,
38       ,59          ,96          ,100         ,
39       ,83          ,94          ,100         ,
