GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,205            ,不详              ,205         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,205       ,0      ,0     ,0       ,
1        ,415            ,102             ,415         ,102          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,415       ,0      ,0     ,0       ,
2        ,834            ,100             ,834         ,100          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,834       ,0      ,0     ,0       ,
3        ,1111           ,33              ,1111        ,33           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1111      ,0      ,0     ,0       ,
4        ,1392           ,25              ,1392        ,25           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1392      ,0      ,0     ,0       ,
5        ,1671           ,20              ,1671        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1671      ,0      ,0     ,0       ,
6        ,1822           ,9               ,1822        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1822      ,0      ,0     ,0       ,
7        ,2165           ,18              ,2165        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2165      ,0      ,0     ,0       ,
8        ,2029           ,-7              ,2029        ,-7           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2029      ,0      ,0     ,0       ,
9        ,2532           ,24              ,2532        ,24           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2532      ,0      ,0     ,0       ,
10       ,2980           ,17              ,2980        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2980      ,0      ,0     ,0       ,
11       ,3352           ,12              ,3352        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3352      ,0      ,0     ,0       ,
12       ,3625           ,8               ,3625        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3625      ,0      ,0     ,0       ,
13       ,3879           ,7               ,3879        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3879      ,0      ,0     ,0       ,
14       ,4155           ,7               ,4155        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4155      ,0      ,0     ,0       ,
15       ,4654           ,12              ,4654        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4654      ,0      ,0     ,0       ,
16       ,5015           ,7               ,5015        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5015      ,0      ,0     ,0       ,
17       ,5276           ,5               ,5276        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5276      ,0      ,0     ,0       ,
18       ,5639           ,6               ,5639        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5639      ,0      ,0     ,0       ,
19       ,5566           ,-2              ,5566        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5566      ,0      ,0     ,0       ,
20       ,5874           ,5               ,5874        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5874      ,0      ,0     ,0       ,
21       ,6224           ,5               ,6224        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6224      ,0      ,0     ,0       ,
22       ,6515           ,4               ,6515        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6515      ,0      ,0     ,0       ,
23       ,6435           ,-2              ,6435        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6435      ,0      ,0     ,0       ,
24       ,7010           ,8               ,7010        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7010      ,0      ,0     ,0       ,
25       ,7413           ,5               ,7413        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7413      ,0      ,0     ,0       ,
26       ,7345           ,不详              ,7345        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7345      ,0      ,0     ,0       ,
27       ,7348           ,0               ,7348        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7348      ,0      ,0     ,0       ,
28       ,7721           ,5               ,7721        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7721      ,0      ,0     ,0       ,
29       ,8231           ,6               ,8231        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8231      ,0      ,0     ,0       ,
30       ,8665           ,5               ,8665        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8665      ,0      ,0     ,0       ,
31       ,8522           ,-2              ,8522        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8522      ,0      ,0     ,0       ,
32       ,9290           ,9               ,9290        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9290      ,0      ,0     ,0       ,
33       ,8448           ,-10             ,8448        ,-10          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8448      ,0      ,0     ,0       ,
34       ,9898           ,17              ,9898        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9898      ,0      ,0     ,0       ,
35       ,10428          ,5               ,10428       ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10428     ,0      ,0     ,0       ,
36       ,10332          ,不详              ,10332       ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10332     ,0      ,0     ,0       ,
37       ,10378          ,0               ,10378       ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10378     ,0      ,0     ,0       ,
38       ,2249           ,-79             ,2249        ,-79          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2249      ,0      ,0     ,0       ,
39       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
40       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
41       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
42       ,14             ,不详              ,14          ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,14        ,0      ,0     ,0       ,
