GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,70             ,不详              ,70          ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,70        ,0      ,0     ,0       ,
1        ,610            ,771             ,610         ,771          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,610       ,0      ,0     ,0       ,
2        ,1060           ,73              ,1060        ,73           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1060      ,0      ,0     ,0       ,
3        ,1020           ,-4              ,1020        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1020      ,0      ,0     ,0       ,
4        ,1620           ,58              ,1620        ,58           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1620      ,0      ,0     ,0       ,
5        ,1820           ,12              ,1820        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1820      ,0      ,0     ,0       ,
6        ,2080           ,14              ,2080        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2080      ,0      ,0     ,0       ,
7        ,2090           ,0               ,2090        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2090      ,0      ,0     ,0       ,
8        ,2150           ,2               ,2150        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2150      ,0      ,0     ,0       ,
9        ,2380           ,10              ,2380        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2380      ,0      ,0     ,0       ,
10       ,2700           ,13              ,2700        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2700      ,0      ,0     ,0       ,
11       ,3030           ,12              ,3030        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3030      ,0      ,0     ,0       ,
12       ,3620           ,19              ,3620        ,19           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3620      ,0      ,0     ,0       ,
13       ,4000           ,10              ,4000        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4000      ,0      ,0     ,0       ,
14       ,4500           ,12              ,4500        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4500      ,0      ,0     ,0       ,
15       ,4840           ,7               ,4840        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4840      ,0      ,0     ,0       ,
16       ,5020           ,3               ,5020        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5020      ,0      ,0     ,0       ,
17       ,5440           ,8               ,5440        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5440      ,0      ,0     ,0       ,
18       ,5790           ,6               ,5790        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5790      ,0      ,0     ,0       ,
19       ,5810           ,0               ,5810        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5810      ,0      ,0     ,0       ,
20       ,6150           ,5               ,6150        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6150      ,0      ,0     ,0       ,
21       ,6510           ,5               ,6510        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6510      ,0      ,0     ,0       ,
22       ,6600           ,1               ,6600        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6600      ,0      ,0     ,0       ,
23       ,6750           ,2               ,6750        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6750      ,0      ,0     ,0       ,
24       ,6270           ,-8              ,6270        ,-8           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6270      ,0      ,0     ,0       ,
25       ,6730           ,7               ,6730        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6730      ,0      ,0     ,0       ,
26       ,7290           ,8               ,7290        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7290      ,0      ,0     ,0       ,
27       ,7370           ,1               ,7370        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7370      ,0      ,0     ,0       ,
28       ,7430           ,0               ,7430        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7430      ,0      ,0     ,0       ,
29       ,7740           ,4               ,7740        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7740      ,0      ,0     ,0       ,
30       ,7610           ,-2              ,7610        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7610      ,0      ,0     ,0       ,
