Message,GrowthDay,Time,
系统锁定   ,35       ,16:09:05,
报警测试   ,36       ,11:10:00,
访客登陆   ,37       ,07:55:18,
系统锁定   ,37       ,08:00:23,
报警测试   ,37       ,11:10:00,
管理员登陆  ,38       ,04:56:13,
空鸡舍模式  ,38       ,04:56:16,
更改开关   ,38       ,04:56:26,
系统锁定   ,38       ,05:01:26,
系统锁定   ,38       ,09:30:26,
报警测试   ,38       ,11:10:00,
报警测试   ,39       ,11:10:00,
报警测试   ,40       ,11:10:00,
报警测试   ,41       ,11:10:00,
报警测试   ,42       ,11:10:00,
报警测试   ,43       ,11:10:00,
报警测试   ,44       ,11:10:00,
报警测试   ,45       ,11:10:00,
报警测试   ,46       ,11:10:00,
系统锁定   ,46       ,14:40:15,
最小通风   ,47       ,02:19:08,
隧道通风   ,47       ,07:19:22,
报警测试   ,47       ,11:10:00,
最小通风   ,48       ,00:12:09,
隧道通风   ,48       ,06:57:13,
系统锁定   ,48       ,09:45:29,
报警测试   ,48       ,11:10:00,
系统锁定   ,48       ,13:27:00,
报警测试   ,49       ,11:10:00,
报警测试   ,50       ,11:10:00,
最小通风   ,51       ,02:14:07,
报警测试   ,51       ,11:10:00,
隧道通风   ,52       ,09:02:12,
报警测试   ,52       ,11:10:00,
最小通风   ,53       ,04:24:08,
隧道通风   ,53       ,08:27:27,
报警测试   ,53       ,11:10:00,
最小通风   ,54       ,03:38:16,
隧道通风   ,54       ,08:21:23,
报警测试   ,54       ,11:10:00,
最小通风   ,55       ,02:42:23,
隧道通风   ,55       ,08:08:13,
系统锁定   ,55       ,09:47:00,
系统锁定   ,55       ,10:51:02,
报警测试   ,55       ,11:10:00,
更改开关   ,55       ,16:22:07,
更改开关   ,55       ,16:22:16,
系统锁定   ,55       ,16:27:15,
报警测试   ,56       ,11:10:00,
管理员登陆  ,56       ,11:53:19,
更改开关   ,56       ,11:53:28,
最小通风   ,56       ,11:54:01,
新的鸡群   ,-1       ,11:56:13,
系统锁定   ,-1       ,12:00:00,
管理员登陆  ,0        ,10:05:15,
