GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,32.7        ,32.8        ,38.3        ,
0        ,32.4        ,33.3        ,38.1        ,
1        ,32.0        ,32.7        ,37.3        ,
2        ,31.5        ,32.1        ,36.1        ,
3        ,31.0        ,31.1        ,36.8        ,
4        ,30.9        ,31.1        ,36.4        ,
5        ,29.9        ,29.9        ,36.1        ,
6        ,29.2        ,29.4        ,34.5        ,
7        ,29.0        ,30.1        ,34.2        ,
8        ,29.1        ,29.1        ,33.7        ,
9        ,28.8        ,30.5        ,34.9        ,
10       ,29.5        ,30.8        ,35.1        ,
11       ,29.2        ,30.1        ,35.3        ,
12       ,29.0        ,29.7        ,35.2        ,
13       ,28.4        ,28.4        ,35.0        ,
14       ,28.1        ,28.7        ,32.0        ,
15       ,28.2        ,28.7        ,33.6        ,
16       ,28.2        ,28.6        ,33.8        ,
17       ,28.0        ,28.5        ,34.0        ,
18       ,27.8        ,28.7        ,33.8        ,
19       ,27.1        ,27.2        ,32.7        ,
20       ,26.6        ,28.1        ,32.0        ,
21       ,27.4        ,27.8        ,30.9        ,
22       ,26.9        ,29.0        ,32.7        ,
23       ,27.3        ,27.9        ,32.7        ,
24       ,27.7        ,29.9        ,32.9        ,
25       ,28.3        ,28.5        ,32.3        ,
26       ,27.2        ,29.8        ,32.7        ,
27       ,25.1        ,25.4        ,30.4        ,
28       ,25.1        ,27.1        ,31.6        ,
29       ,26.2        ,27.3        ,31.6        ,
30       ,26.5        ,28.7        ,31.3        ,
31       ,27.1        ,28.9        ,30.6        ,
32       ,26.8        ,29.6        ,31.3        ,
33       ,24.3        ,24.4        ,29.9        ,
34       ,23.7        ,25.0        ,29.0        ,
35       ,23.9        ,27.6        ,28.9        ,
36       ,26.7        ,28.0        ,29.3        ,
37       ,25.6        ,25.8        ,28.0        ,
38       ,25.2        ,37.2        ,37.2        ,
39       ,27.8        ,27.8        ,47.7        ,
40       ,26.7        ,26.9        ,33.2        ,
41       ,25.4        ,28.5        ,33.1        ,
42       ,26.7        ,27.0        ,28.5        ,
