GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,32.4        ,32.8        ,33.4        ,
0        ,32.3        ,33.2        ,33.9        ,
1        ,33.0        ,33.6        ,35.3        ,
2        ,33.0        ,33.0        ,36.9        ,
3        ,32.0        ,32.2        ,37.0        ,
4        ,31.1        ,31.1        ,35.2        ,
5        ,30.9        ,31.3        ,34.8        ,
6        ,30.4        ,30.4        ,33.7        ,
7        ,30.2        ,31.4        ,35.6        ,
8        ,30.5        ,31.4        ,36.2        ,
9        ,30.3        ,30.8        ,36.0        ,
10       ,29.9        ,30.5        ,35.7        ,
11       ,29.0        ,29.1        ,35.5        ,
12       ,28.9        ,29.3        ,32.2        ,
13       ,29.0        ,29.6        ,33.5        ,
14       ,29.0        ,29.6        ,33.8        ,
15       ,29.2        ,29.8        ,34.0        ,
16       ,29.0        ,29.5        ,34.0        ,
17       ,28.2        ,28.2        ,32.8        ,
18       ,28.0        ,29.0        ,32.0        ,
19       ,28.2        ,28.6        ,31.0        ,
20       ,28.1        ,29.5        ,33.7        ,
21       ,28.2        ,28.5        ,33.7        ,
22       ,28.3        ,30.5        ,33.6        ,
23       ,29.2        ,29.3        ,33.1        ,
24       ,28.3        ,30.4        ,33.4        ,
25       ,26.3        ,26.8        ,30.9        ,
26       ,26.5        ,28.2        ,31.6        ,
27       ,27.6        ,28.4        ,32.5        ,
28       ,27.5        ,29.6        ,32.6        ,
29       ,28.0        ,29.6        ,31.5        ,
30       ,27.4        ,30.1        ,32.0        ,
31       ,26.3        ,26.3        ,30.5        ,
32       ,25.3        ,26.2        ,30.8        ,
33       ,25.5        ,28.7        ,30.8        ,
34       ,27.5        ,28.8        ,30.3        ,
35       ,27.0        ,27.1        ,29.0        ,
36       ,26.4        ,29.4        ,30.9        ,
37       ,27.2        ,33.3        ,35.8        ,
38       ,33.1        ,34.8        ,38.8        ,
39       ,28.2        ,28.2        ,34.8        ,
40       ,26.3        ,27.9        ,28.2        ,
