GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,31.9        ,32.6        ,37.2        ,
0        ,32.2        ,33.8        ,36.4        ,
1        ,33.6        ,34.2        ,37.1        ,
2        ,32.8        ,32.9        ,35.3        ,
3        ,32.0        ,32.2        ,38.4        ,
4        ,30.9        ,31.5        ,35.7        ,
5        ,29.4        ,30.4        ,34.2        ,
6        ,29.3        ,29.5        ,33.9        ,
7        ,29.0        ,29.5        ,33.6        ,
8        ,29.0        ,29.3        ,31.4        ,
9        ,28.9        ,29.5        ,33.3        ,
10       ,28.8        ,29.5        ,33.3        ,
11       ,28.5        ,29.0        ,33.6        ,
12       ,28.2        ,28.5        ,33.1        ,
13       ,27.6        ,27.8        ,32.6        ,
14       ,27.4        ,27.9        ,32.1        ,
15       ,27.4        ,28.4        ,31.0        ,
16       ,27.2        ,27.8        ,32.9        ,
17       ,26.8        ,27.4        ,32.9        ,
18       ,26.9        ,28.7        ,32.7        ,
19       ,27.7        ,29.0        ,33.0        ,
20       ,26.8        ,30.4        ,33.1        ,
21       ,26.3        ,26.8        ,30.8        ,
22       ,26.3        ,28.0        ,31.8        ,
23       ,27.2        ,28.1        ,32.1        ,
24       ,27.2        ,27.7        ,32.1        ,
25       ,27.4        ,28.1        ,31.9        ,
26       ,26.9        ,28.8        ,32.2        ,
27       ,25.3        ,25.3        ,30.1        ,
28       ,24.4        ,25.1        ,30.7        ,
29       ,24.2        ,26.9        ,32.2        ,
30       ,26.5        ,28.5        ,31.7        ,
31       ,26.5        ,26.5        ,30.8        ,
32       ,25.9        ,27.7        ,30.5        ,
33       ,27.2        ,27.5        ,29.6        ,
34       ,26.8        ,28.3        ,29.5        ,
35       ,26.3        ,26.3        ,28.6        ,
36       ,25.8        ,27.1        ,27.7        ,
37       ,26.9        ,27.6        ,29.4        ,
38       ,26.9        ,26.9        ,32.3        ,
39       ,26.0        ,27.4        ,32.5        ,
40       ,24.2        ,26.6        ,28.4        ,
41       ,25.5        ,27.2        ,28.6        ,
42       ,26.1        ,26.9        ,29.7        ,
43       ,25.9        ,28.0        ,30.2        ,
