GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,78          ,78          ,82          ,
0        ,77          ,78          ,81          ,
1        ,77          ,79          ,80          ,
2        ,78          ,79          ,80          ,
3        ,56          ,73          ,100         ,
4        ,61          ,73          ,74          ,
5        ,58          ,71          ,75          ,
6        ,58          ,74          ,74          ,
7        ,64          ,73          ,77          ,
8        ,65          ,70          ,79          ,
9        ,69          ,78          ,80          ,
10       ,69          ,87          ,87          ,
11       ,67          ,89          ,90          ,
12       ,68          ,88          ,90          ,
13       ,77          ,89          ,92          ,
14       ,77          ,92          ,92          ,
15       ,76          ,89          ,93          ,
16       ,70          ,91          ,92          ,
17       ,78          ,90          ,93          ,
18       ,81          ,91          ,92          ,
19       ,73          ,89          ,92          ,
20       ,78          ,87          ,91          ,
21       ,79          ,87          ,89          ,
22       ,73          ,88          ,88          ,
23       ,77          ,89          ,89          ,
24       ,78          ,89          ,90          ,
25       ,82          ,90          ,91          ,
26       ,78          ,92          ,93          ,
27       ,81          ,84          ,92          ,
28       ,55          ,85          ,86          ,
29       ,72          ,90          ,90          ,
30       ,76          ,88          ,92          ,
31       ,81          ,86          ,88          ,
32       ,83          ,90          ,91          ,
33       ,81          ,88          ,91          ,
34       ,84          ,88          ,92          ,
35       ,84          ,91          ,92          ,
36       ,89          ,91          ,92          ,
37       ,91          ,92          ,96          ,
38       ,74          ,89          ,95          ,
39       ,73          ,86          ,89          ,
40       ,80          ,82          ,92          ,
41       ,78          ,88          ,90          ,
42       ,87          ,90          ,92          ,
43       ,79          ,93          ,93          ,
44       ,95          ,96          ,98          ,
