Message,GrowthDay,Time,
冷启动    ,1        ,00:14:00,
更改开关   ,1        ,00:14:25,
从数据存储卡读取数据,1        ,00:15:20,
电源关闭   ,1        ,00:15:20,
电源开启   ,1        ,00:15:27,
备用设置提醒 ,1        ,00:16:00,
管理员登陆  ,1        ,00:16:05,
更改的日龄  ,20       ,00:16:22,
备用设置提醒 ,20       ,00:16:22,
更改开关   ,20       ,00:16:29,
系统锁定   ,20       ,00:23:06,
隧道通风   ,20       ,08:16:14,
报警测试   ,20       ,12:00:00,
报警测试   ,21       ,12:00:00,
最小通风   ,22       ,01:51:20,
隧道通风   ,22       ,04:06:15,
报警测试   ,22       ,12:00:00,
管理员登陆  ,22       ,22:17:17,
系统锁定   ,22       ,22:22:27,
报警测试   ,23       ,12:00:00,
管理员登陆  ,23       ,21:04:12,
更改开关   ,23       ,21:04:16,
更改开关   ,23       ,21:05:10,
系统锁定   ,23       ,21:10:10,
报警测试   ,24       ,12:00:00,
最小通风   ,24       ,16:34:12,
重置报警   ,24       ,16:41:10,
管理员登陆  ,24       ,16:44:21,
重置报警   ,24       ,16:44:24,
更改开关   ,24       ,16:45:08,
更改开关   ,24       ,16:45:10,
更改开关   ,24       ,16:45:14,
更改开关   ,24       ,16:45:20,
更改开关   ,24       ,16:46:01,
更改开关   ,24       ,16:46:12,
更改开关   ,24       ,16:47:21,
更改开关   ,24       ,16:47:28,
更改开关   ,24       ,16:48:01,
更改开关   ,24       ,16:48:28,
更改开关   ,24       ,16:49:06,
更改开关   ,24       ,16:49:24,
更改开关   ,24       ,16:51:09,
更改开关   ,24       ,16:53:29,
更改开关   ,24       ,16:54:28,
更改开关   ,24       ,16:57:22,
更改开关   ,24       ,16:58:13,
更改开关   ,24       ,16:58:16,
更改开关   ,24       ,17:01:11,
系统锁定   ,24       ,17:15:04,
隧道通风   ,24       ,19:13:22,
最小通风   ,24       ,20:05:23,
报警测试   ,25       ,12:00:00,
隧道通风   ,25       ,12:06:03,
最小通风   ,25       ,12:21:18,
管理员登陆  ,26       ,06:32:02,
系统锁定   ,26       ,06:37:10,
报警测试   ,26       ,12:00:00,
管理员登陆  ,26       ,13:40:05,
系统锁定   ,26       ,13:45:12,
报警测试   ,27       ,12:00:00,
隧道通风   ,27       ,12:49:07,
最小通风   ,27       ,16:52:16,
备用设置提醒 ,27       ,20:40:21,
管理员登陆  ,27       ,21:12:28,
系统锁定   ,27       ,21:18:05,
隧道通风   ,28       ,09:47:28,
报警测试   ,28       ,12:00:00,
最小通风   ,28       ,20:20:22,
隧道通风   ,29       ,08:49:19,
最小通风   ,29       ,09:51:02,
报警测试   ,29       ,12:00:00,
备用设置提醒 ,29       ,12:45:01,
隧道通风   ,29       ,15:27:26,
最小通风   ,29       ,16:57:07,
隧道通风   ,30       ,10:09:08,
报警测试   ,30       ,12:00:00,
报警测试   ,31       ,12:00:00,
备用设置提醒 ,31       ,20:10:14,
报警测试   ,32       ,12:00:00,
报警测试   ,33       ,12:00:00,
报警测试   ,34       ,12:00:00,
备用设置提醒 ,34       ,15:15:25,
报警测试   ,35       ,12:00:00,
报警测试   ,36       ,12:00:00,
备用设置提醒 ,37       ,06:43:06,
报警测试   ,37       ,12:00:00,
管理员登陆  ,38       ,02:14:14,
空鸡舍模式  ,38       ,02:18:03,
更改开关   ,38       ,02:18:15,
系统锁定   ,38       ,02:29:20,
报警测试   ,38       ,12:00:00,
报警测试   ,39       ,12:00:00,
系统锁定   ,39       ,18:46:20,
报警测试   ,40       ,12:00:00,
报警测试   ,41       ,12:00:00,
报警测试   ,42       ,12:00:00,
电源关闭   ,42       ,15:08:09,
电源开启   ,42       ,06:38:11,
电源关闭   ,43       ,07:02:00,
电源开启   ,43       ,08:00:24,
报警测试   ,43       ,12:00:00,
报警测试   ,44       ,12:00:00,
报警测试   ,45       ,12:00:00,
报警测试   ,46       ,12:00:00,
管理员登陆  ,46       ,15:55:05,
系统锁定   ,46       ,16:09:04,
最小通风   ,46       ,16:27:08,
报警测试   ,47       ,12:00:00,
电源关闭   ,47       ,16:46:09,
电源开启   ,47       ,17:33:06,
管理员登陆  ,48       ,11:59:13,
报警测试   ,48       ,12:00:00,
更改开关   ,48       ,12:05:14,
更改开关   ,48       ,12:05:27,
系统锁定   ,48       ,12:10:27,
报警测试   ,49       ,12:00:00,
系统锁定   ,49       ,19:32:03,
报警测试   ,50       ,12:00:00,
管理员登陆  ,51       ,08:28:23,
系统锁定   ,51       ,08:34:06,
管理员登陆  ,51       ,10:49:12,
新的鸡群   ,-1       ,10:49:17,
更改的日龄  ,-1       ,10:49:20,
更改开关   ,-1       ,10:50:02,
系统锁定   ,-1       ,10:55:03,
报警测试   ,-1       ,12:00:00,
报警测试   ,0        ,12:00:00,
