GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,32.4        ,32.4        ,37.4        ,
0        ,32.3        ,34.4        ,36.7        ,
1        ,33.5        ,33.5        ,37.6        ,
2        ,32.3        ,32.8        ,36.3        ,
3        ,31.2        ,31.2        ,38.6        ,
4        ,30.4        ,30.6        ,36.0        ,
5        ,29.0        ,29.4        ,33.8        ,
6        ,28.6        ,29.1        ,33.4        ,
7        ,28.6        ,28.8        ,33.1        ,
8        ,28.4        ,28.9        ,32.1        ,
9        ,28.2        ,28.8        ,33.2        ,
10       ,28.1        ,28.6        ,33.0        ,
11       ,27.8        ,27.9        ,33.3        ,
12       ,27.6        ,28.2        ,32.9        ,
13       ,27.5        ,27.7        ,32.6        ,
14       ,27.2        ,27.4        ,31.9        ,
15       ,27.3        ,28.4        ,31.2        ,
16       ,27.4        ,27.6        ,32.8        ,
17       ,26.9        ,27.2        ,32.6        ,
18       ,26.8        ,28.5        ,32.1        ,
19       ,27.3        ,28.8        ,32.2        ,
20       ,27.5        ,30.2        ,32.4        ,
21       ,26.0        ,26.8        ,30.8        ,
22       ,26.4        ,27.8        ,32.0        ,
23       ,27.1        ,27.9        ,32.1        ,
24       ,26.9        ,27.7        ,32.1        ,
25       ,27.1        ,28.2        ,31.9        ,
26       ,26.7        ,28.9        ,32.3        ,
27       ,24.9        ,25.1        ,30.1        ,
28       ,24.0        ,24.6        ,31.3        ,
29       ,23.7        ,26.9        ,31.7        ,
30       ,26.4        ,28.6        ,32.1        ,
31       ,26.5        ,26.6        ,30.2        ,
32       ,25.9        ,27.2        ,30.0        ,
33       ,26.7        ,27.4        ,29.4        ,
34       ,26.6        ,28.0        ,29.8        ,
35       ,26.4        ,26.4        ,29.1        ,
36       ,25.8        ,27.1        ,27.6        ,
37       ,26.9        ,27.5        ,30.0        ,
38       ,26.0        ,26.8        ,32.5        ,
39       ,26.1        ,27.3        ,33.2        ,
40       ,24.0        ,24.0        ,28.3        ,
41       ,22.8        ,26.6        ,27.6        ,
42       ,25.5        ,26.5        ,30.3        ,
43       ,25.9        ,26.7        ,30.9        ,
44       ,26.0        ,28.6        ,30.9        ,
