GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
1        ,2320           ,不详              ,2320        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2320      ,0      ,0     ,0       ,
2        ,800            ,-66             ,800         ,-66          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,800       ,0      ,0     ,0       ,
3        ,1180           ,47              ,1180        ,47           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1180      ,0      ,0     ,0       ,
4        ,1520           ,28              ,1520        ,28           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1520      ,0      ,0     ,0       ,
5        ,1680           ,10              ,1680        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1680      ,0      ,0     ,0       ,
6        ,1970           ,17              ,1970        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1970      ,0      ,0     ,0       ,
7        ,2080           ,5               ,2080        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2080      ,0      ,0     ,0       ,
8        ,1780           ,-15             ,1780        ,-15          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1780      ,0      ,0     ,0       ,
9        ,2410           ,35              ,2410        ,35           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2410      ,0      ,0     ,0       ,
10       ,2730           ,13              ,2730        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2730      ,0      ,0     ,0       ,
11       ,2970           ,8               ,2970        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2970      ,0      ,0     ,0       ,
12       ,3440           ,15              ,3440        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3440      ,0      ,0     ,0       ,
13       ,3820           ,11              ,3820        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3820      ,0      ,0     ,0       ,
14       ,4020           ,5               ,4020        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4020      ,0      ,0     ,0       ,
15       ,4750           ,18              ,4750        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4750      ,0      ,0     ,0       ,
16       ,4850           ,2               ,4850        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4850      ,0      ,0     ,0       ,
17       ,5160           ,6               ,5160        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5160      ,0      ,0     ,0       ,
18       ,5370           ,4               ,5370        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5370      ,0      ,0     ,0       ,
19       ,5570           ,3               ,5570        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5570      ,0      ,0     ,0       ,
20       ,6100           ,9               ,6100        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6100      ,0      ,0     ,0       ,
21       ,6330           ,3               ,6330        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6330      ,0      ,0     ,0       ,
22       ,6780           ,7               ,6780        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6780      ,0      ,0     ,0       ,
23       ,6700           ,-2              ,6700        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6700      ,0      ,0     ,0       ,
24       ,6870           ,2               ,6870        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6870      ,0      ,0     ,0       ,
25       ,6730           ,-3              ,6730        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6730      ,0      ,0     ,0       ,
26       ,7340           ,9               ,7340        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7340      ,0      ,0     ,0       ,
27       ,7350           ,0               ,7350        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7350      ,0      ,0     ,0       ,
28       ,7890           ,7               ,7890        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7890      ,0      ,0     ,0       ,
29       ,8520           ,7               ,8520        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8520      ,0      ,0     ,0       ,
30       ,9010           ,5               ,9010        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9010      ,0      ,0     ,0       ,
31       ,8520           ,-6              ,8520        ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8520      ,0      ,0     ,0       ,
32       ,8740           ,2               ,8740        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8740      ,0      ,0     ,0       ,
33       ,9090           ,4               ,9090        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9090      ,0      ,0     ,0       ,
34       ,9250           ,1               ,9250        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9250      ,0      ,0     ,0       ,
35       ,10000          ,8               ,10000       ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10000     ,0      ,0     ,0       ,
36       ,10290          ,2               ,10290       ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10290     ,0      ,0     ,0       ,
37       ,9590           ,-7              ,9590        ,-7           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9590      ,0      ,0     ,0       ,
38       ,540            ,-95             ,540         ,-95          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,540       ,0      ,0     ,0       ,
39       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
40       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
41       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
42       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
43       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
44       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
