GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,ATTIC_MIN,ATTIC_AVG,ATTIC_MAX,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
10        ,11:30       ,28.7       ,32.3          ,32.6          ,32.6          ,32.8      ,32.7      ,32.5      ,32.3      ,32.6      ,33.6      ,---      ,---      ,---      ,33.0       ,33.6       ,33.7       ,76               ,76               ,77               ,26       ,42      ,19   ,
10        ,11:40       ,28.7       ,32.6          ,32.7          ,32.7          ,32.8      ,32.8      ,32.7      ,32.4      ,32.7      ,34.3      ,---      ,---      ,---      ,33.1       ,34.3       ,34.3       ,75               ,75               ,76               ,27       ,143     ,19   ,
10        ,11:50       ,28.7       ,32.7          ,32.7          ,32.8          ,32.7      ,32.7      ,32.6      ,32.5      ,32.8      ,33.6      ,---      ,---      ,---      ,33.2       ,33.6       ,34.6       ,74               ,74.9             ,75               ,30       ,0       ,20   ,
10        ,12:00       ,28.7       ,32.5          ,32.7          ,32.7          ,32.8      ,32.7      ,32.5      ,32.5      ,32.8      ,34.2      ,---      ,---      ,---      ,32.9       ,34.3       ,34.3       ,74               ,74               ,75               ,27       ,0       ,20   ,
10        ,12:10       ,28.7       ,32.7          ,32.7          ,32.8          ,32.7      ,32.7      ,32.7      ,32.6      ,33.0      ,33.6      ,---      ,---      ,---      ,33.4       ,33.6       ,34.3       ,74               ,74               ,75               ,31       ,0       ,20   ,
10        ,12:20       ,28.7       ,32.6          ,32.6          ,32.8          ,32.7      ,32.6      ,32.5      ,32.5      ,32.9      ,33.3      ,---      ,---      ,---      ,33.2       ,33.3       ,33.7       ,74               ,74               ,74               ,32       ,0       ,20   ,
10        ,12:30       ,28.7       ,32.6          ,32.8          ,32.8          ,32.8      ,32.7      ,32.7      ,32.6      ,33.0      ,34.1      ,---      ,---      ,---      ,33.1       ,34.1       ,34.2       ,74               ,74               ,75               ,28       ,0       ,20   ,
10        ,12:40       ,28.7       ,32.5          ,32.5          ,32.8          ,32.4      ,32.5      ,32.4      ,32.4      ,32.8      ,33.6      ,---      ,---      ,---      ,32.6       ,33.6       ,34.1       ,73               ,74.9             ,75               ,29       ,0       ,20   ,
10        ,12:50       ,28.7       ,32.5          ,32.6          ,32.7          ,32.6      ,32.6      ,32.5      ,32.5      ,32.9      ,32.6      ,---      ,---      ,---      ,32.6       ,32.6       ,34.2       ,74               ,74               ,75               ,29       ,0       ,20   ,
10        ,13:00       ,28.7       ,32.2          ,32.2          ,32.6          ,32.3      ,32.2      ,32.2      ,32.0      ,32.3      ,31.7      ,---      ,---      ,---      ,31.6       ,31.7       ,32.6       ,74               ,75.9             ,76               ,27       ,0       ,19   ,
10        ,13:10       ,28.7       ,32.2          ,32.3          ,32.3          ,32.5      ,32.2      ,32.3      ,32.1      ,32.4      ,33.2      ,---      ,---      ,---      ,31.7       ,33.2       ,33.3       ,76               ,76               ,77               ,28       ,0       ,19   ,
10        ,13:20       ,28.7       ,32.3          ,32.7          ,32.7          ,32.8      ,32.6      ,32.7      ,32.5      ,32.8      ,33.9      ,---      ,---      ,---      ,33.2       ,33.9       ,34.8       ,76               ,76               ,77               ,31       ,0       ,19   ,
10        ,13:30       ,28.7       ,32.4          ,32.4          ,32.7          ,32.5      ,32.3      ,32.4      ,32.2      ,32.5      ,31.9      ,---      ,---      ,---      ,31.8       ,31.9       ,33.9       ,75               ,75.9             ,76               ,29       ,0       ,19   ,
10        ,13:40       ,28.7       ,32.1          ,32.1          ,32.4          ,32.2      ,32.1      ,32.1      ,32.0      ,32.2      ,32.0      ,---      ,---      ,---      ,31.9       ,32.0       ,32.2       ,76               ,76.9             ,77               ,26       ,0       ,19   ,
10        ,13:50       ,28.7       ,32.1          ,32.1          ,32.2          ,32.3      ,32.1      ,32.1      ,32.0      ,32.3      ,31.8      ,---      ,---      ,---      ,31.7       ,31.8       ,32.2       ,77               ,77.9             ,78               ,24       ,0       ,19   ,
10        ,14:00       ,28.7       ,31.9          ,31.9          ,32.1          ,32.0      ,31.9      ,31.9      ,31.8      ,32.0      ,31.7      ,---      ,---      ,---      ,31.4       ,31.7       ,31.7       ,77               ,77               ,78               ,23       ,0       ,19   ,
10        ,14:10       ,28.7       ,31.9          ,32.1          ,32.1          ,32.1      ,32.1      ,32.1      ,31.9      ,32.2      ,32.9      ,---      ,---      ,---      ,31.7       ,32.9       ,33.1       ,77               ,77.9             ,78               ,24       ,0       ,19   ,
10        ,14:20       ,28.7       ,32.1          ,32.4          ,32.4          ,32.5      ,32.4      ,32.4      ,32.3      ,32.6      ,33.5      ,---      ,---      ,---      ,32.8       ,33.5       ,33.5       ,76               ,76               ,78               ,33       ,0       ,19   ,
10        ,14:30       ,28.7       ,32.4          ,32.7          ,32.8          ,32.8      ,32.8      ,32.8      ,32.5      ,32.8      ,34.1      ,---      ,---      ,---      ,33.3       ,34.1       ,34.2       ,75               ,75               ,76               ,32       ,0       ,20   ,
10        ,14:40       ,28.7       ,32.8          ,32.9          ,32.9          ,33.0      ,33.0      ,32.8      ,32.7      ,33.0      ,33.5      ,---      ,---      ,---      ,33.5       ,33.5       ,34.4       ,73               ,73               ,75               ,27       ,0       ,20   ,
10        ,14:50       ,28.7       ,32.8          ,33.0          ,33.0          ,33.0      ,33.0      ,32.8      ,32.8      ,33.1      ,33.7      ,---      ,---      ,---      ,33.2       ,33.7       ,33.9       ,73               ,73.9             ,74               ,28       ,0       ,20   ,
10        ,15:00       ,28.7       ,33.0          ,33.0          ,33.1          ,33.1      ,33.0      ,32.9      ,32.8      ,33.2      ,34.0      ,---      ,---      ,---      ,33.6       ,34.0       ,34.3       ,73               ,73               ,74               ,28       ,0       ,20   ,
10        ,15:10       ,28.7       ,32.6          ,32.6          ,33.0          ,32.5      ,32.6      ,32.5      ,32.4      ,32.8      ,32.5      ,---      ,---      ,---      ,32.5       ,32.5       ,34.0       ,72               ,72.9             ,73               ,24       ,0       ,20   ,
10        ,15:20       ,28.7       ,32.3          ,32.3          ,32.6          ,32.3      ,32.3      ,32.3      ,32.2      ,32.6      ,32.8      ,---      ,---      ,---      ,32.0       ,32.8       ,32.8       ,73               ,76.9             ,77               ,25       ,0       ,19   ,
10        ,15:30       ,28.6       ,32.3          ,32.6          ,32.6          ,32.8      ,32.5      ,32.5      ,32.4      ,32.7      ,32.2      ,---      ,---      ,---      ,32.2       ,32.2       ,33.2       ,77               ,77.9             ,78               ,32       ,0       ,19   ,
10        ,15:40       ,28.6       ,32.2          ,32.2          ,32.6          ,32.1      ,32.1      ,32.2      ,32.1      ,32.4      ,31.0      ,---      ,---      ,---      ,31.0       ,31.0       ,32.2       ,78               ,78               ,78               ,29       ,0       ,19   ,
10        ,15:50       ,28.6       ,32.1          ,32.3          ,32.3          ,32.1      ,32.2      ,32.3      ,32.2      ,32.5      ,32.9      ,---      ,---      ,---      ,30.9       ,32.9       ,32.9       ,78               ,78.9             ,79               ,28       ,0       ,19   ,
10        ,16:00       ,28.6       ,32.3          ,32.6          ,32.6          ,32.5      ,32.5      ,32.7      ,32.5      ,32.8      ,33.5      ,---      ,---      ,---      ,32.7       ,33.5       ,33.5       ,78               ,78               ,79               ,29       ,0       ,19   ,
10        ,16:10       ,28.6       ,32.6          ,32.6          ,32.7          ,32.4      ,32.5      ,32.7      ,32.5      ,32.9      ,32.3      ,---      ,---      ,---      ,32.3       ,32.3       ,33.8       ,77               ,77               ,78               ,31       ,0       ,19   ,
10        ,16:20       ,28.6       ,32.5          ,32.5          ,32.6          ,32.3      ,32.4      ,32.6      ,32.4      ,32.7      ,32.6      ,---      ,---      ,---      ,32.0       ,32.6       ,32.8       ,77               ,77.9             ,78               ,26       ,0       ,19   ,
10        ,16:30       ,28.6       ,32.4          ,32.4          ,32.5          ,32.2      ,32.3      ,32.5      ,32.4      ,32.7      ,32.6      ,---      ,---      ,---      ,32.3       ,32.6       ,32.9       ,77               ,77               ,78               ,27       ,0       ,19   ,
10        ,16:40       ,28.6       ,32.4          ,32.4          ,32.5          ,32.3      ,32.4      ,32.5      ,32.3      ,32.6      ,32.7      ,---      ,---      ,---      ,32.3       ,32.7       ,32.7       ,77               ,77               ,77               ,14       ,256     ,19   ,
10        ,16:50       ,28.6       ,32.4          ,32.4          ,32.5          ,32.3      ,32.4      ,32.5      ,32.4      ,32.6      ,32.5      ,---      ,---      ,---      ,32.4       ,32.5       ,32.8       ,76               ,76.1             ,77               ,24       ,104     ,19   ,
10        ,17:00       ,28.6       ,32.3          ,32.3          ,32.5          ,32.1      ,32.3      ,32.4      ,32.3      ,32.6      ,32.1      ,---      ,---      ,---      ,32.1       ,32.1       ,32.6       ,76               ,76.9             ,77               ,32       ,0       ,19   ,
10        ,17:10       ,28.6       ,32.3          ,32.3          ,32.3          ,32.2      ,32.2      ,32.3      ,32.2      ,32.6      ,32.4      ,---      ,---      ,---      ,32.1       ,32.4       ,32.5       ,77               ,77               ,77               ,29       ,0       ,19   ,
10        ,17:20       ,28.6       ,32.3          ,32.3          ,32.3          ,32.2      ,32.2      ,32.3      ,32.2      ,32.5      ,32.2      ,---      ,---      ,---      ,32.1       ,32.2       ,32.6       ,77               ,77.9             ,78               ,27       ,0       ,19   ,
10        ,17:30       ,28.6       ,32.2          ,32.2          ,32.3          ,32.1      ,32.2      ,32.3      ,32.2      ,32.4      ,32.0      ,---      ,---      ,---      ,32.0       ,32.0       ,32.2       ,78               ,78               ,78               ,27       ,0       ,19   ,
10        ,17:40       ,28.6       ,32.1          ,32.1          ,32.2          ,32.0      ,32.1      ,32.2      ,32.0      ,32.3      ,32.4      ,---      ,---      ,---      ,31.8       ,32.4       ,32.4       ,78               ,78.9             ,79               ,26       ,0       ,19   ,
10        ,17:50       ,28.6       ,32.0          ,32.0          ,32.1          ,32.0      ,31.9      ,32.0      ,31.9      ,32.2      ,32.6      ,---      ,---      ,---      ,32.2       ,32.6       ,32.6       ,79               ,79               ,79               ,26       ,0       ,19   ,
10        ,18:00       ,28.6       ,31.8          ,31.8          ,32.0          ,31.5      ,31.7      ,31.9      ,31.7      ,32.0      ,31.5      ,---      ,---      ,---      ,31.5       ,31.5       ,32.6       ,79               ,79               ,79               ,26       ,0       ,19   ,
10        ,18:10       ,28.6       ,31.2          ,31.2          ,31.8          ,31.2      ,31.2      ,31.2      ,31.0      ,31.3      ,29.1      ,---      ,---      ,---      ,29.1       ,29.1       ,31.5       ,78               ,78.9             ,79               ,21       ,0       ,18   ,
10        ,18:20       ,28.6       ,31.1          ,31.1          ,31.2          ,31.4      ,31.2      ,31.1      ,30.8      ,31.1      ,28.3      ,---      ,---      ,---      ,28.3       ,28.3       ,29.1       ,79               ,79.9             ,80               ,25       ,0       ,18   ,
10        ,18:30       ,28.6       ,30.9          ,30.9          ,31.1          ,31.2      ,31.0      ,31.0      ,30.6      ,30.9      ,27.8      ,---      ,---      ,---      ,27.8       ,27.8       ,28.3       ,80               ,80               ,80               ,24       ,0       ,18   ,
10        ,18:40       ,28.6       ,30.8          ,30.8          ,30.9          ,31.1      ,31.0      ,30.7      ,30.4      ,30.6      ,27.5      ,---      ,---      ,---      ,27.5       ,27.5       ,27.8       ,80               ,80               ,80               ,22       ,0       ,18   ,
10        ,18:50       ,28.6       ,30.6          ,30.6          ,30.8          ,31.1      ,30.9      ,30.5      ,30.2      ,30.5      ,27.2      ,---      ,---      ,---      ,27.2       ,27.2       ,27.5       ,80               ,80.9             ,81               ,21       ,0       ,18   ,
10        ,19:00       ,28.6       ,30.5          ,30.5          ,30.6          ,30.9      ,30.7      ,30.4      ,30.1      ,30.3      ,27.1      ,---      ,---      ,---      ,27.1       ,27.1       ,27.2       ,81               ,81               ,81               ,19       ,0       ,18   ,
10        ,19:10       ,28.6       ,30.4          ,30.4          ,30.5          ,30.9      ,30.6      ,30.4      ,30.0      ,30.3      ,27.2      ,---      ,---      ,---      ,27.0       ,27.2       ,27.2       ,81               ,81               ,81               ,22       ,0       ,18   ,
10        ,19:20       ,28.6       ,30.4          ,30.5          ,30.6          ,31.2      ,30.6      ,30.4      ,30.2      ,30.4      ,27.3      ,---      ,---      ,---      ,27.1       ,27.3       ,27.3       ,81               ,81               ,81               ,27       ,0       ,18   ,
10        ,19:30       ,28.6       ,30.4          ,30.4          ,30.6          ,30.8      ,30.5      ,30.3      ,30.0      ,30.2      ,27.2      ,---      ,---      ,---      ,27.2       ,27.2       ,27.4       ,81               ,81               ,81               ,21       ,0       ,18   ,
10        ,19:40       ,28.6       ,30.3          ,30.3          ,30.4          ,30.7      ,30.4      ,30.3      ,29.9      ,30.2      ,27.1      ,---      ,---      ,---      ,27.1       ,27.1       ,27.2       ,81               ,81               ,81               ,24       ,0       ,17   ,
