GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,69          ,79          ,82          ,
1        ,75          ,82          ,83          ,
2        ,77          ,85          ,86          ,
3        ,79          ,85          ,86          ,
4        ,66          ,84          ,87          ,
5        ,66          ,83          ,86          ,
6        ,56          ,77          ,83          ,
7        ,54          ,77          ,82          ,
8        ,60          ,82          ,83          ,
9        ,76          ,85          ,86          ,
10       ,72          ,85          ,87          ,
11       ,71          ,86          ,88          ,
12       ,70          ,86          ,88          ,
13       ,70          ,85          ,89          ,
14       ,79          ,88          ,89          ,
15       ,79          ,90          ,90          ,
16       ,81          ,90          ,91          ,
17       ,79          ,91          ,92          ,
18       ,82          ,91          ,93          ,
19       ,83          ,90          ,93          ,
20       ,79          ,91          ,93          ,
21       ,83          ,89          ,93          ,
22       ,83          ,88          ,92          ,
23       ,80          ,91          ,92          ,
24       ,80          ,91          ,92          ,
25       ,79          ,89          ,93          ,
26       ,84          ,90          ,93          ,
27       ,81          ,93          ,95          ,
28       ,85          ,87          ,94          ,
29       ,62          ,86          ,88          ,
30       ,80          ,90          ,91          ,
31       ,87          ,92          ,94          ,
32       ,86          ,91          ,92          ,
33       ,88          ,94          ,95          ,
34       ,89          ,94          ,95          ,
35       ,91          ,95          ,95          ,
36       ,90          ,94          ,96          ,
37       ,94          ,97          ,98          ,
38       ,97          ,97          ,99          ,
