Message,GrowthDay,Time,
管理员登陆  ,35       ,15:17:00,
空鸡舍模式  ,35       ,15:18:19,
更改开关   ,35       ,15:19:08,
更改开关   ,35       ,15:23:09,
更改开关   ,35       ,15:23:27,
更改开关   ,35       ,15:23:28,
更改开关   ,35       ,15:24:01,
更改开关   ,35       ,15:24:04,
更改开关   ,35       ,15:25:16,
更改开关   ,35       ,15:25:19,
系统锁定   ,35       ,15:34:18,
报警测试   ,36       ,12:00:00,
报警测试   ,37       ,12:00:00,
报警测试   ,38       ,12:00:00,
报警测试   ,39       ,12:00:00,
报警测试   ,40       ,12:00:00,
报警测试   ,41       ,12:00:00,
报警测试   ,42       ,12:00:00,
管理员登陆  ,42       ,17:05:17,
更改开关   ,42       ,17:09:17,
系统锁定   ,42       ,17:14:17,
报警测试   ,43       ,12:00:00,
系统锁定   ,43       ,18:04:18,
报警测试   ,44       ,12:00:00,
报警测试   ,45       ,12:00:00,
报警测试   ,46       ,12:00:00,
报警测试   ,47       ,12:00:00,
管理员登陆  ,48       ,10:35:02,
更改开关   ,48       ,10:35:24,
系统锁定   ,48       ,10:40:25,
管理员登陆  ,48       ,10:42:19,
系统锁定   ,48       ,10:48:11,
报警测试   ,48       ,12:00:00,
报警测试   ,49       ,12:00:00,
报警测试   ,50       ,12:00:00,
管理员登陆  ,50       ,15:13:19,
更改开关   ,50       ,15:20:07,
更改开关   ,50       ,15:20:20,
系统锁定   ,50       ,15:33:07,
报警测试   ,51       ,12:00:00,
电源关闭   ,52       ,09:37:13,
电源开启   ,52       ,09:37:29,
电源关闭   ,52       ,09:41:11,
电源开启   ,52       ,09:41:12,
报警测试   ,52       ,12:00:00,
新的鸡群   ,0        ,13:52:25,
普通鸡舍模式 ,0        ,17:46:25,
备用设置提醒 ,0        ,17:46:25,
管理员登陆  ,0        ,22:04:02,
系统锁定   ,0        ,22:09:23,
报警测试   ,1        ,12:00:00,
报警测试   ,2        ,12:00:00,
管理员登陆  ,3        ,02:23:26,
系统锁定   ,3        ,02:28:29,
报警测试   ,3        ,12:00:00,
管理员登陆  ,3        ,14:55:26,
系统锁定   ,3        ,15:01:01,
管理员登陆  ,4        ,09:33:22,
系统锁定   ,4        ,09:39:02,
报警测试   ,4        ,12:00:00,
管理员登陆  ,4        ,18:07:09,
系统锁定   ,4        ,18:12:16,
备用设置提醒 ,4        ,18:43:06,
重置报警   ,5        ,07:22:09,
管理员登陆  ,5        ,10:30:04,
系统锁定   ,5        ,10:35:15,
报警测试   ,5        ,12:00:00,
管理员登陆  ,6        ,10:09:17,
系统锁定   ,6        ,10:14:20,
