GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
0        ,91             ,不详              ,91          ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,91        ,0      ,0     ,0       ,
1        ,234            ,157             ,234         ,157          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,234       ,0      ,0     ,0       ,
2        ,595            ,154             ,595         ,154          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,595       ,0      ,0     ,0       ,
3        ,1468           ,146             ,1468        ,146          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1468      ,0      ,0     ,0       ,
4        ,1340           ,-9              ,1340        ,-9           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1340      ,0      ,0     ,0       ,
5        ,1677           ,25              ,1677        ,25           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1677      ,0      ,0     ,0       ,
6        ,2465           ,46              ,2465        ,46           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2465      ,0      ,0     ,0       ,
7        ,1681           ,-32             ,1681        ,-32          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1681      ,0      ,0     ,0       ,
8        ,2055           ,22              ,2055        ,22           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2055      ,0      ,0     ,0       ,
9        ,2535           ,23              ,2535        ,23           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2535      ,0      ,0     ,0       ,
10       ,3348           ,32              ,3348        ,32           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3348      ,0      ,0     ,0       ,
11       ,3937           ,17              ,3937        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3937      ,0      ,0     ,0       ,
12       ,4357           ,10              ,4357        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4357      ,0      ,0     ,0       ,
13       ,4759           ,9               ,4759        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4759      ,0      ,0     ,0       ,
14       ,5096           ,7               ,5096        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5096      ,0      ,0     ,0       ,
15       ,5309           ,4               ,5309        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5309      ,0      ,0     ,0       ,
16       ,5602           ,5               ,5602        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5602      ,0      ,0     ,0       ,
17       ,6312           ,12              ,6312        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6312      ,0      ,0     ,0       ,
18       ,6934           ,9               ,6934        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6934      ,0      ,0     ,0       ,
19       ,7149           ,3               ,7149        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7149      ,0      ,0     ,0       ,
20       ,7850           ,9               ,7850        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7850      ,0      ,0     ,0       ,
21       ,7673           ,-3              ,7673        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7673      ,0      ,0     ,0       ,
22       ,8227           ,7               ,8227        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8227      ,0      ,0     ,0       ,
23       ,8254           ,0               ,8254        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8254      ,0      ,0     ,0       ,
24       ,8410           ,1               ,8410        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8410      ,0      ,0     ,0       ,
25       ,8753           ,4               ,8753        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8753      ,0      ,0     ,0       ,
26       ,8637           ,-2              ,8637        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8637      ,0      ,0     ,0       ,
27       ,8956           ,3               ,8956        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8956      ,0      ,0     ,0       ,
28       ,9390           ,4               ,9390        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9390      ,0      ,0     ,0       ,
29       ,10275          ,9               ,10275       ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10275     ,0      ,0     ,0       ,
30       ,10230          ,不详              ,10230       ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10230     ,0      ,0     ,0       ,
31       ,10286          ,0               ,10286       ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10286     ,0      ,0     ,0       ,
32       ,10523          ,2               ,10523       ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10523     ,0      ,0     ,0       ,
33       ,10759          ,2               ,10759       ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10759     ,0      ,0     ,0       ,
34       ,11111          ,3               ,11111       ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11111     ,0      ,0     ,0       ,
35       ,12069          ,8               ,12069       ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,12069     ,0      ,0     ,0       ,
36       ,11976          ,不详              ,11976       ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11976     ,0      ,0     ,0       ,
37       ,9390           ,-22             ,9390        ,-22          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9390      ,0      ,0     ,0       ,
38       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
