GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,ATTIC_MIN,ATTIC_AVG,ATTIC_MAX,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
14        ,01:00       ,27.2       ,29.4          ,29.7          ,29.7          ,29.4      ,29.4      ,29.8      ,29.9      ,30.1      ,26.9      ,---      ,---      ,---      ,26.9       ,26.9       ,27.2       ,80               ,80               ,80               ,0        ,0       ,18   ,
14        ,01:10       ,27.2       ,29.7          ,29.7          ,29.8          ,29.0      ,29.1      ,30.0      ,30.0      ,30.4      ,26.9      ,---      ,---      ,---      ,26.9       ,27.0       ,27.0       ,80               ,80               ,80               ,54       ,0       ,19   ,
14        ,01:20       ,27.2       ,29.6          ,29.6          ,29.7          ,28.8      ,28.9      ,29.8      ,30.0      ,30.4      ,27.1      ,---      ,---      ,---      ,27.0       ,27.1       ,27.2       ,80               ,80               ,80               ,33       ,0       ,19   ,
14        ,01:30       ,27.2       ,29.5          ,29.5          ,29.6          ,28.8      ,28.8      ,29.7      ,29.8      ,30.2      ,26.9      ,---      ,---      ,---      ,26.9       ,26.9       ,27.1       ,80               ,80               ,80               ,35       ,0       ,19   ,
14        ,01:40       ,27.2       ,29.4          ,29.4          ,29.5          ,28.8      ,28.8      ,29.7      ,29.8      ,30.1      ,27.0      ,---      ,---      ,---      ,26.8       ,27.0       ,27.0       ,80               ,80               ,80               ,36       ,0       ,19   ,
14        ,01:50       ,27.2       ,29.4          ,29.4          ,29.5          ,28.8      ,28.8      ,29.6      ,29.7      ,30.0      ,26.7      ,---      ,---      ,---      ,26.7       ,26.7       ,27.0       ,80               ,80               ,81               ,41       ,0       ,19   ,
14        ,02:00       ,27.2       ,29.4          ,29.7          ,29.7          ,29.3      ,29.2      ,29.9      ,29.9      ,30.1      ,26.8      ,---      ,---      ,---      ,26.6       ,26.8       ,26.9       ,80               ,80.9             ,81               ,44       ,0       ,18   ,
14        ,02:10       ,27.2       ,29.4          ,29.4          ,29.8          ,28.7      ,28.7      ,29.6      ,29.7      ,30.0      ,26.9      ,---      ,---      ,---      ,26.9       ,26.9       ,27.0       ,80               ,80               ,81               ,32       ,0       ,18   ,
14        ,02:20       ,27.2       ,29.4          ,29.7          ,29.7          ,29.2      ,29.4      ,30.0      ,29.9      ,30.2      ,26.9      ,---      ,---      ,---      ,26.8       ,26.9       ,26.9       ,80               ,80               ,81               ,39       ,0       ,19   ,
14        ,02:30       ,27.2       ,29.3          ,29.4          ,29.7          ,28.8      ,28.9      ,29.5      ,29.6      ,30.0      ,26.7      ,---      ,---      ,---      ,26.6       ,26.7       ,26.9       ,80               ,80               ,80               ,28       ,0       ,18   ,
14        ,02:40       ,27.2       ,29.4          ,29.6          ,29.6          ,29.0      ,29.2      ,29.8      ,29.9      ,30.1      ,26.4      ,---      ,---      ,---      ,26.4       ,26.4       ,26.6       ,80               ,80               ,81               ,38       ,0       ,18   ,
14        ,02:50       ,27.1       ,29.6          ,29.7          ,29.7          ,29.1      ,29.3      ,29.9      ,29.9      ,30.1      ,26.6      ,---      ,---      ,---      ,26.4       ,26.6       ,26.6       ,80               ,80               ,80               ,36       ,0       ,18   ,
14        ,03:00       ,27.1       ,29.7          ,29.7          ,29.7          ,29.1      ,29.3      ,29.9      ,29.9      ,30.2      ,26.7      ,---      ,---      ,---      ,26.5       ,26.7       ,26.7       ,80               ,80               ,80               ,37       ,0       ,18   ,
14        ,03:10       ,27.1       ,29.6          ,29.6          ,29.7          ,29.0      ,29.3      ,29.9      ,29.9      ,30.2      ,26.7      ,---      ,---      ,---      ,26.7       ,26.7       ,26.8       ,80               ,80               ,80               ,26       ,0       ,18   ,
14        ,03:20       ,27.1       ,29.6          ,29.6          ,29.7          ,29.0      ,29.3      ,29.9      ,29.9      ,30.2      ,26.8      ,---      ,---      ,---      ,26.7       ,26.8       ,26.8       ,80               ,80               ,80               ,35       ,0       ,18   ,
