Message,GrowthDay,Time,
管理员登陆  ,24       ,15:31:09,
系统锁定   ,24       ,15:37:06,
管理员登陆  ,24       ,18:42:14,
系统锁定   ,24       ,18:48:19,
管理员登陆  ,25       ,10:37:02,
系统锁定   ,25       ,10:42:16,
报警测试   ,25       ,12:00:00,
管理员登陆  ,25       ,15:57:23,
系统锁定   ,25       ,16:03:18,
管理员登陆  ,25       ,19:43:00,
系统锁定   ,25       ,19:48:06,
管理员登陆  ,26       ,07:45:16,
系统锁定   ,26       ,07:51:08,
报警测试   ,26       ,12:00:00,
管理员登陆  ,26       ,12:48:25,
系统锁定   ,26       ,12:54:16,
管理员登陆  ,26       ,18:57:07,
系统锁定   ,26       ,19:02:15,
管理员登陆  ,26       ,19:26:08,
更改开关   ,26       ,19:28:15,
更改开关   ,26       ,19:28:17,
系统锁定   ,26       ,19:35:20,
管理员登陆  ,27       ,10:01:25,
系统锁定   ,27       ,10:07:06,
报警测试   ,27       ,12:00:00,
管理员登陆  ,27       ,12:48:14,
系统锁定   ,27       ,12:54:17,
系统锁定   ,27       ,14:09:29,
管理员登陆  ,27       ,14:31:03,
系统锁定   ,27       ,14:38:11,
管理员登陆  ,27       ,16:39:02,
系统锁定   ,27       ,16:44:15,
管理员登陆  ,28       ,09:14:00,
系统锁定   ,28       ,09:20:00,
报警测试   ,28       ,12:00:00,
备用设置提醒 ,28       ,15:07:06,
管理员登陆  ,29       ,08:07:29,
系统锁定   ,29       ,08:13:14,
管理员登陆  ,29       ,09:01:27,
系统锁定   ,29       ,09:07:05,
报警测试   ,29       ,12:00:00,
管理员登陆  ,29       ,18:27:28,
系统锁定   ,29       ,18:33:02,
管理员登陆  ,29       ,18:47:21,
系统锁定   ,29       ,18:52:25,
管理员登陆  ,29       ,18:53:25,
系统锁定   ,29       ,18:59:00,
管理员登陆  ,30       ,07:49:21,
系统锁定   ,30       ,07:55:04,
管理员登陆  ,30       ,09:52:17,
系统锁定   ,30       ,09:58:00,
报警测试   ,30       ,12:00:00,
系统锁定   ,30       ,16:19:23,
更改开关   ,30       ,19:56:09,
系统锁定   ,30       ,20:01:11,
管理员登陆  ,30       ,20:02:13,
更改开关   ,30       ,20:02:24,
系统锁定   ,30       ,20:07:27,
管理员登陆  ,31       ,01:03:14,
系统锁定   ,31       ,01:08:19,
管理员登陆  ,31       ,01:14:08,
系统锁定   ,31       ,01:20:16,
管理员登陆  ,31       ,08:02:26,
系统锁定   ,31       ,08:08:11,
管理员登陆  ,31       ,10:31:22,
系统锁定   ,31       ,10:37:01,
管理员登陆  ,31       ,11:50:14,
系统锁定   ,31       ,11:55:29,
报警测试   ,31       ,12:00:00,
管理员登陆  ,32       ,07:37:07,
系统锁定   ,32       ,07:42:25,
管理员登陆  ,32       ,10:23:26,
系统锁定   ,32       ,10:29:10,
报警测试   ,32       ,12:00:00,
管理员登陆  ,32       ,12:05:27,
更改开关   ,32       ,12:05:29,
系统锁定   ,32       ,12:10:29,
管理员登陆  ,32       ,12:41:16,
更改开关   ,32       ,12:41:20,
更改开关   ,32       ,12:41:22,
更改开关   ,32       ,12:41:24,
更改开关   ,32       ,12:41:25,
系统锁定   ,32       ,12:46:27,
管理员登陆  ,32       ,15:06:23,
系统锁定   ,32       ,15:11:27,
管理员登陆  ,32       ,15:30:10,
系统锁定   ,32       ,15:35:24,
管理员登陆  ,32       ,18:17:24,
更改开关   ,32       ,18:18:05,
系统锁定   ,32       ,18:23:17,
管理员登陆  ,33       ,08:10:20,
系统锁定   ,33       ,08:16:09,
管理员登陆  ,33       ,11:50:00,
更改开关   ,33       ,11:50:12,
系统锁定   ,33       ,11:55:19,
报警测试   ,33       ,12:00:00,
更改开关   ,33       ,17:48:06,
系统锁定   ,33       ,17:54:20,
管理员登陆  ,33       ,19:07:07,
系统锁定   ,33       ,19:12:22,
更改开关   ,33       ,19:58:03,
系统锁定   ,33       ,20:04:09,
管理员登陆  ,33       ,20:24:24,
重置报警   ,33       ,20:24:26,
更改开关   ,33       ,20:29:14,
系统锁定   ,33       ,20:36:12,
备用设置提醒 ,34       ,00:28:24,
管理员登陆  ,34       ,02:16:15,
系统锁定   ,34       ,02:22:13,
管理员登陆  ,34       ,08:57:11,
系统锁定   ,34       ,09:03:06,
管理员登陆  ,34       ,10:31:10,
更改开关   ,34       ,10:31:12,
系统锁定   ,34       ,10:36:22,
报警测试   ,34       ,12:00:00,
管理员登陆  ,34       ,13:32:09,
系统锁定   ,34       ,13:37:19,
管理员登陆  ,34       ,15:40:27,
系统锁定   ,34       ,15:46:29,
更改开关   ,34       ,17:52:22,
系统锁定   ,34       ,17:58:04,
管理员登陆  ,34       ,18:01:22,
系统锁定   ,34       ,18:07:05,
管理员登陆  ,35       ,09:35:29,
更改开关   ,35       ,09:36:01,
更改开关   ,35       ,09:36:06,
更改开关   ,35       ,09:36:09,
更改开关   ,35       ,09:36:20,
系统锁定   ,35       ,09:41:20,
报警测试   ,35       ,12:00:00,
管理员登陆  ,35       ,14:11:16,
系统锁定   ,35       ,14:17:17,
管理员登陆  ,35       ,19:28:26,
更改开关   ,35       ,19:28:29,
系统锁定   ,35       ,19:34:03,
备用设置提醒 ,36       ,04:27:15,
管理员登陆  ,36       ,04:29:01,
更改开关   ,36       ,04:29:13,
更改开关   ,36       ,04:29:21,
更改开关   ,36       ,04:29:29,
系统锁定   ,36       ,04:34:29,
空鸡舍模式  ,36       ,05:04:19,
管理员登陆  ,36       ,05:10:17,
更改开关   ,36       ,05:10:20,
更改开关   ,36       ,05:11:19,
更改开关   ,36       ,05:12:17,
更改开关   ,36       ,05:12:19,
更改开关   ,36       ,05:12:21,
更改开关   ,36       ,05:12:27,
更改开关   ,36       ,05:13:02,
系统锁定   ,36       ,05:18:02,
报警测试   ,36       ,12:00:00,
报警测试   ,37       ,12:00:00,
报警测试   ,38       ,12:00:00,
报警测试   ,39       ,12:00:00,
报警测试   ,40       ,12:00:00,
报警测试   ,41       ,12:00:00,
报警测试   ,42       ,12:00:00,
报警测试   ,43       ,12:00:00,
管理员登陆  ,43       ,18:00:11,
更改开关   ,43       ,18:00:26,
系统锁定   ,43       ,18:05:26,
报警测试   ,44       ,12:00:00,
报警测试   ,45       ,12:00:00,
报警测试   ,46       ,12:00:00,
管理员登陆  ,46       ,15:16:10,
系统锁定   ,46       ,15:21:13,
报警测试   ,47       ,12:00:00,
报警测试   ,48       ,12:00:00,
管理员登陆  ,48       ,17:06:25,
更改开关   ,48       ,17:09:22,
系统锁定   ,48       ,17:16:12,
系统锁定   ,48       ,17:21:24,
管理员登陆  ,49       ,09:32:16,
系统锁定   ,49       ,09:37:21,
报警测试   ,49       ,12:00:00,
管理员登陆  ,50       ,09:25:22,
系统锁定   ,50       ,09:30:29,
管理员登陆  ,50       ,10:05:15,
系统锁定   ,50       ,10:10:20,
报警测试   ,50       ,12:00:00,
管理员登陆  ,51       ,09:19:18,
系统锁定   ,51       ,09:25:01,
报警测试   ,51       ,12:00:00,
报警测试   ,52       ,12:00:00,
电源关闭   ,53       ,09:37:19,
电源开启   ,53       ,09:38:05,
电源关闭   ,53       ,09:41:16,
电源开启   ,53       ,09:41:18,
报警测试   ,53       ,12:00:00,
管理员登陆  ,53       ,13:22:13,
普通鸡舍模式 ,53       ,13:23:03,
备用设置提醒 ,53       ,13:23:03,
重置报警   ,53       ,13:24:23,
重置报警   ,53       ,13:25:00,
系统锁定   ,53       ,13:32:09,
新的鸡群   ,0        ,13:50:21,
备用设置提醒 ,0        ,13:50:22,
空鸡舍模式  ,0        ,13:51:02,
普通鸡舍模式 ,0        ,16:45:28,
备用设置提醒 ,0        ,23:15:09,
报警测试   ,1        ,12:00:00,
管理员登陆  ,1        ,21:30:06,
系统锁定   ,1        ,21:42:18,
管理员登陆  ,1        ,22:01:03,
系统锁定   ,1        ,22:10:15,
管理员登陆  ,2        ,04:44:01,
更改开关   ,2        ,04:45:14,
更改开关   ,2        ,04:45:20,
系统锁定   ,2        ,04:54:02,
管理员登陆  ,2        ,05:03:11,
更改开关   ,2        ,05:03:18,
更改开关   ,2        ,05:03:24,
更改开关   ,2        ,05:03:27,
系统锁定   ,2        ,05:08:27,
报警测试   ,2        ,12:00:00,
管理员登陆  ,2        ,15:52:22,
系统锁定   ,2        ,15:59:20,
管理员登陆  ,2        ,22:05:23,
更改开关   ,2        ,22:05:28,
系统锁定   ,2        ,22:11:04,
报警测试   ,3        ,12:00:00,
管理员登陆  ,3        ,14:24:00,
系统锁定   ,3        ,14:30:16,
备用设置提醒 ,4        ,00:01:00,
报警测试   ,4        ,12:00:00,
报警测试   ,5        ,12:00:00,
管理员登陆  ,5        ,13:38:08,
系统锁定   ,5        ,13:45:20,
管理员登陆  ,6        ,09:07:03,
系统锁定   ,6        ,09:12:15,
报警测试   ,6        ,12:00:00,
备用设置提醒 ,7        ,05:22:17,
报警测试   ,7        ,12:00:00,
报警测试   ,8        ,12:00:00,
管理员登陆  ,8        ,14:18:09,
系统锁定   ,8        ,14:27:06,
报警测试   ,9        ,12:00:00,
管理员登陆  ,9        ,14:30:18,
更改开关   ,9        ,14:38:29,
更改开关   ,9        ,14:39:19,
更改开关   ,9        ,14:40:12,
系统锁定   ,9        ,14:50:27,
报警测试   ,10       ,12:00:00,
管理员登陆  ,10       ,15:07:25,
系统锁定   ,10       ,15:12:28,
管理员登陆  ,10       ,15:17:11,
系统锁定   ,10       ,15:22:14,
报警测试   ,11       ,12:00:00,
管理员登陆  ,11       ,14:33:02,
系统锁定   ,11       ,14:38:06,
备用设置提醒 ,11       ,19:35:01,
报警测试   ,12       ,12:00:00,
报警测试   ,13       ,12:00:00,
管理员登陆  ,13       ,14:35:16,
系统锁定   ,13       ,14:42:27,
报警测试   ,14       ,12:00:00,
管理员登陆  ,14       ,18:56:03,
备用设置提醒 ,14       ,18:56:08,
系统锁定   ,14       ,19:03:17,
报警测试   ,15       ,12:00:00,
管理员登陆  ,15       ,15:26:03,
更改开关   ,15       ,15:30:12,
更改开关   ,15       ,15:32:06,
更改开关   ,15       ,15:32:26,
更改开关   ,15       ,15:33:12,
更改开关   ,15       ,15:33:20,
更改开关   ,15       ,15:33:29,
更改开关   ,15       ,15:34:01,
更改开关   ,15       ,15:35:13,
更改开关   ,15       ,15:36:11,
更改开关   ,15       ,15:37:11,
系统锁定   ,15       ,15:42:11,
管理员登陆  ,15       ,20:34:28,
系统锁定   ,15       ,20:40:16,
报警测试   ,16       ,12:00:00,
系统锁定   ,16       ,18:31:20,
报警测试   ,17       ,12:00:00,
管理员登陆  ,17       ,13:51:20,
系统锁定   ,17       ,13:56:29,
系统锁定   ,17       ,19:17:28,
报警测试   ,18       ,12:00:00,
管理员登陆  ,18       ,15:35:10,
系统锁定   ,18       ,15:40:15,
系统锁定   ,18       ,20:04:27,
报警测试   ,19       ,12:00:00,
备用设置提醒 ,19       ,14:12:10,
管理员登陆  ,19       ,15:13:04,
系统锁定   ,19       ,15:19:27,
管理员登陆  ,19       ,19:21:25,
系统锁定   ,19       ,19:27:06,
管理员登陆  ,20       ,02:44:23,
系统锁定   ,20       ,02:50:14,
报警测试   ,20       ,12:00:00,
管理员登陆  ,20       ,14:53:11,
系统锁定   ,20       ,15:00:22,
管理员登陆  ,20       ,19:11:14,
系统锁定   ,20       ,19:17:17,
管理员登陆  ,20       ,19:25:01,
系统锁定   ,20       ,19:30:06,
管理员登陆  ,20       ,19:30:12,
系统锁定   ,20       ,19:35:27,
管理员登陆  ,21       ,03:01:27,
系统锁定   ,21       ,03:07:02,
报警测试   ,21       ,12:00:00,
管理员登陆  ,21       ,20:56:09,
系统锁定   ,21       ,21:01:18,
报警测试   ,22       ,12:00:00,
管理员登陆  ,22       ,14:39:26,
系统锁定   ,22       ,14:47:00,
管理员登陆  ,22       ,15:12:25,
系统锁定   ,22       ,15:18:01,
管理员登陆  ,23       ,10:40:22,
系统锁定   ,23       ,10:45:29,
报警测试   ,23       ,12:00:00,
报警测试   ,24       ,12:00:00,
管理员登陆  ,24       ,14:33:22,
系统锁定   ,24       ,14:39:00,
报警测试   ,25       ,12:00:00,
备用设置提醒 ,25       ,12:31:06,
管理员登陆  ,25       ,15:19:08,
系统锁定   ,25       ,15:26:03,
管理员登陆  ,25       ,15:29:11,
系统锁定   ,25       ,15:34:20,
更改开关   ,25       ,20:09:10,
更改开关   ,25       ,20:09:23,
更改开关   ,25       ,20:10:11,
更改开关   ,25       ,20:11:05,
更改开关   ,25       ,20:11:08,
更改开关   ,25       ,20:12:28,
更改开关   ,25       ,20:13:01,
更改开关   ,25       ,20:13:04,
更改开关   ,25       ,20:13:16,
系统锁定   ,25       ,20:21:08,
报警测试   ,26       ,12:00:00,
报警测试   ,27       ,12:00:00,
管理员登陆  ,27       ,15:02:26,
系统锁定   ,27       ,15:10:13,
报警测试   ,28       ,12:00:00,
管理员登陆  ,28       ,14:33:00,
更改开关   ,28       ,14:34:23,
更改开关   ,28       ,14:35:12,
系统锁定   ,28       ,14:40:13,
报警测试   ,29       ,12:00:00,
管理员登陆  ,30       ,03:09:18,
系统锁定   ,30       ,03:15:03,
报警测试   ,30       ,12:00:00,
管理员登陆  ,30       ,13:26:28,
系统锁定   ,30       ,13:33:19,
管理员登陆  ,30       ,14:56:15,
系统锁定   ,30       ,15:07:18,
管理员登陆  ,30       ,15:29:17,
系统锁定   ,30       ,15:34:24,
备用设置提醒 ,31       ,02:23:29,
报警测试   ,31       ,12:00:00,
管理员登陆  ,31       ,15:05:21,
系统锁定   ,31       ,15:11:05,
报警测试   ,32       ,12:00:00,
系统锁定   ,32       ,13:58:01,
管理员登陆  ,32       ,18:46:06,
更改开关   ,32       ,18:46:26,
更改开关   ,32       ,18:47:14,
更改开关   ,32       ,18:48:01,
更改开关   ,32       ,18:48:05,
更改开关   ,32       ,18:48:09,
系统锁定   ,32       ,18:53:18,
管理员登陆  ,32       ,21:10:24,
系统锁定   ,32       ,21:18:23,
报警测试   ,33       ,12:00:00,
备用设置提醒 ,33       ,22:42:26,
报警测试   ,34       ,12:00:00,
管理员登陆  ,34       ,21:33:00,
更改开关   ,34       ,21:33:03,
更改开关   ,34       ,21:33:11,
系统锁定   ,34       ,21:38:11,
报警测试   ,35       ,12:00:00,
备用设置提醒 ,35       ,17:48:08,
更改开关   ,35       ,18:49:27,
更改开关   ,35       ,18:50:13,
系统锁定   ,35       ,18:55:15,
报警测试   ,36       ,12:00:00,
报警测试   ,37       ,12:00:00,
管理员登陆  ,37       ,14:09:08,
