GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
0        ,1607           ,不详              ,1607        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1607      ,0      ,0     ,0       ,
1        ,174            ,-90             ,174         ,-90          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,174       ,0      ,0     ,0       ,
2        ,677            ,289             ,677         ,289          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,677       ,0      ,0     ,0       ,
3        ,728            ,7               ,728         ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,728       ,0      ,0     ,0       ,
4        ,1210           ,66              ,1210        ,66           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1210      ,0      ,0     ,0       ,
5        ,1456           ,20              ,1456        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1456      ,0      ,0     ,0       ,
6        ,1822           ,25              ,1822        ,25           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1822      ,0      ,0     ,0       ,
7        ,2039           ,11              ,2039        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2039      ,0      ,0     ,0       ,
8        ,1759           ,-14             ,1759        ,-14          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1759      ,0      ,0     ,0       ,
9        ,1950           ,10              ,1950        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1950      ,0      ,0     ,0       ,
10       ,2687           ,37              ,2687        ,37           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2687      ,0      ,0     ,0       ,
11       ,3220           ,19              ,3220        ,19           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3220      ,0      ,0     ,0       ,
12       ,4123           ,28              ,4123        ,28           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4123      ,0      ,0     ,0       ,
13       ,4684           ,13              ,4684        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4684      ,0      ,0     ,0       ,
14       ,5179           ,10              ,5179        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5179      ,0      ,0     ,0       ,
15       ,5762           ,11              ,5762        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5762      ,0      ,0     ,0       ,
16       ,5819           ,0               ,5819        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5819      ,0      ,0     ,0       ,
17       ,5803           ,不详              ,5803        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5803      ,0      ,0     ,0       ,
18       ,6327           ,9               ,6327        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6327      ,0      ,0     ,0       ,
19       ,6693           ,5               ,6693        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6693      ,0      ,0     ,0       ,
20       ,7291           ,8               ,7291        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7291      ,0      ,0     ,0       ,
21       ,7802           ,7               ,7802        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7802      ,0      ,0     ,0       ,
22       ,7884           ,1               ,7884        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7884      ,0      ,0     ,0       ,
23       ,7995           ,1               ,7995        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7995      ,0      ,0     ,0       ,
24       ,8173           ,2               ,8173        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8173      ,0      ,0     ,0       ,
25       ,8193           ,0               ,8193        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8193      ,0      ,0     ,0       ,
26       ,8605           ,5               ,8605        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8605      ,0      ,0     ,0       ,
27       ,8900           ,3               ,8900        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8900      ,0      ,0     ,0       ,
28       ,9336           ,4               ,9336        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9336      ,0      ,0     ,0       ,
29       ,9606           ,2               ,9606        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9606      ,0      ,0     ,0       ,
30       ,10535          ,9               ,10535       ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10535     ,0      ,0     ,0       ,
31       ,10726          ,1               ,10726       ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10726     ,0      ,0     ,0       ,
32       ,10496          ,-3              ,10496       ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10496     ,0      ,0     ,0       ,
33       ,10928          ,4               ,10928       ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10928     ,0      ,0     ,0       ,
34       ,11117          ,1               ,11117       ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11117     ,0      ,0     ,0       ,
35       ,11700          ,5               ,11700       ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11700     ,0      ,0     ,0       ,
36       ,11484          ,-2              ,11484       ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11484     ,0      ,0     ,0       ,
37       ,5868           ,-49             ,5868        ,-49          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5868      ,0      ,0     ,0       ,
38       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
39       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
