GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,31          ,79          ,84          ,
1        ,71          ,84          ,84          ,
2        ,70          ,85          ,85          ,
3        ,70          ,84          ,86          ,
4        ,68          ,85          ,86          ,
5        ,67          ,81          ,85          ,
6        ,73          ,84          ,85          ,
7        ,78          ,83          ,85          ,
8        ,81          ,86          ,86          ,
9        ,72          ,85          ,87          ,
10       ,72          ,85          ,86          ,
11       ,65          ,85          ,86          ,
12       ,62          ,83          ,87          ,
13       ,65          ,87          ,87          ,
14       ,74          ,87          ,87          ,
15       ,73          ,87          ,88          ,
16       ,71          ,87          ,88          ,
17       ,73          ,87          ,88          ,
18       ,71          ,87          ,88          ,
19       ,81          ,86          ,87          ,
20       ,80          ,83          ,88          ,
21       ,80          ,83          ,87          ,
22       ,67          ,70          ,88          ,
23       ,65          ,77          ,87          ,
24       ,71          ,81          ,88          ,
25       ,57          ,76          ,87          ,
26       ,72          ,77          ,87          ,
27       ,77          ,86          ,88          ,
28       ,74          ,74          ,88          ,
29       ,68          ,74          ,88          ,
30       ,72          ,81          ,88          ,
31       ,48          ,73          ,87          ,
32       ,1           ,9           ,9           ,
33       ,7           ,88          ,88          ,
34       ,73          ,87          ,89          ,
35       ,38          ,46          ,88          ,
36       ,10          ,10          ,70          ,
37       ,10          ,31          ,66          ,
