GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,2999           ,不详              ,2999        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2999      ,0      ,0     ,0       ,
1        ,1127           ,-63             ,1127        ,-63          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1127      ,0      ,0     ,0       ,
2        ,1062           ,-6              ,1062        ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1062      ,0      ,0     ,0       ,
3        ,1194           ,12              ,1194        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1194      ,0      ,0     ,0       ,
4        ,1578           ,32              ,1578        ,32           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1578      ,0      ,0     ,0       ,
5        ,1895           ,20              ,1895        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1895      ,0      ,0     ,0       ,
6        ,2139           ,12              ,2139        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2139      ,0      ,0     ,0       ,
7        ,2467           ,15              ,2467        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2467      ,0      ,0     ,0       ,
8        ,2491           ,0               ,2491        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2491      ,0      ,0     ,0       ,
9        ,2736           ,9               ,2736        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2736      ,0      ,0     ,0       ,
10       ,3349           ,22              ,3349        ,22           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3349      ,0      ,0     ,0       ,
11       ,3714           ,10              ,3714        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3714      ,0      ,0     ,0       ,
12       ,3958           ,6               ,3958        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3958      ,0      ,0     ,0       ,
13       ,4379           ,10              ,4379        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4379      ,0      ,0     ,0       ,
14       ,4776           ,9               ,4776        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4776      ,0      ,0     ,0       ,
15       ,5274           ,10              ,5274        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5274      ,0      ,0     ,0       ,
16       ,5012           ,-5              ,5012        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5012      ,0      ,0     ,0       ,
17       ,5867           ,17              ,5867        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5867      ,0      ,0     ,0       ,
18       ,6260           ,6               ,6260        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6260      ,0      ,0     ,0       ,
19       ,6550           ,4               ,6550        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6550      ,0      ,0     ,0       ,
20       ,6775           ,3               ,6775        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6775      ,0      ,0     ,0       ,
21       ,7184           ,6               ,7184        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7184      ,0      ,0     ,0       ,
22       ,7704           ,7               ,7704        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7704      ,0      ,0     ,0       ,
23       ,7576           ,-2              ,7576        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7576      ,0      ,0     ,0       ,
24       ,7807           ,3               ,7807        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7807      ,0      ,0     ,0       ,
25       ,8107           ,3               ,8107        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8107      ,0      ,0     ,0       ,
26       ,8050           ,不详              ,8050        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8050      ,0      ,0     ,0       ,
27       ,8581           ,6               ,8581        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8581      ,0      ,0     ,0       ,
28       ,9096           ,6               ,9096        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9096      ,0      ,0     ,0       ,
29       ,8980           ,-2              ,8980        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8980      ,0      ,0     ,0       ,
30       ,9885           ,10              ,9885        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9885      ,0      ,0     ,0       ,
31       ,9789           ,不详              ,9789        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9789      ,0      ,0     ,0       ,
32       ,10876          ,11              ,10876       ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10876     ,0      ,0     ,0       ,
33       ,10346          ,-5              ,10346       ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10346     ,0      ,0     ,0       ,
34       ,9960           ,-4              ,9960        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9960      ,0      ,0     ,0       ,
35       ,11957          ,20              ,11957       ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11957     ,0      ,0     ,0       ,
36       ,11635          ,-3              ,11635       ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11635     ,0      ,0     ,0       ,
37       ,5759           ,-51             ,5759        ,-51          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5759      ,0      ,0     ,0       ,
38       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
39       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
40       ,18             ,不详              ,18          ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,18        ,0      ,0     ,0       ,
41       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
42       ,127            ,不详              ,127         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,127       ,0      ,0     ,0       ,
43       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
44       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
