GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,30.6        ,33.9        ,37.0        ,
1        ,32.6        ,32.9        ,36.4        ,
2        ,31.4        ,31.8        ,36.7        ,
3        ,31.0        ,31.0        ,37.5        ,
4        ,30.5        ,30.5        ,37.2        ,
5        ,29.4        ,29.5        ,36.2        ,
6        ,29.0        ,29.3        ,35.6        ,
7        ,28.9        ,29.9        ,35.1        ,
8        ,28.9        ,29.5        ,33.8        ,
9        ,28.9        ,30.1        ,35.3        ,
10       ,29.6        ,30.6        ,35.1        ,
11       ,29.7        ,29.9        ,35.0        ,
12       ,28.9        ,29.9        ,35.0        ,
13       ,28.8        ,29.2        ,35.0        ,
14       ,28.7        ,29.1        ,33.2        ,
15       ,28.5        ,29.1        ,34.1        ,
16       ,28.6        ,29.2        ,33.6        ,
17       ,28.4        ,29.0        ,33.8        ,
18       ,28.1        ,29.1        ,33.7        ,
19       ,28.1        ,28.2        ,32.5        ,
20       ,27.6        ,28.8        ,32.5        ,
21       ,27.9        ,28.1        ,31.0        ,
22       ,27.4        ,28.6        ,32.8        ,
23       ,27.7        ,28.2        ,32.9        ,
24       ,27.5        ,29.5        ,32.5        ,
25       ,28.1        ,28.7        ,32.1        ,
26       ,28.0        ,29.5        ,31.9        ,
27       ,26.0        ,26.4        ,30.0        ,
28       ,26.0        ,27.4        ,31.0        ,
29       ,26.4        ,27.7        ,30.9        ,
30       ,26.9        ,28.6        ,30.8        ,
31       ,27.6        ,29.0        ,30.5        ,
32       ,27.0        ,29.1        ,30.8        ,
33       ,24.8        ,24.8        ,29.6        ,
34       ,23.9        ,25.4        ,29.2        ,
35       ,23.8        ,27.3        ,29.1        ,
36       ,26.5        ,27.1        ,28.8        ,
37       ,25.8        ,27.3        ,28.2        ,
38       ,24.9        ,30.0        ,30.0        ,
