GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,30.5        ,30.5        ,34.8        ,
-1       ,27.5        ,30.4        ,36.4        ,
0        ,29.0        ,34.2        ,38.1        ,
1        ,33.4        ,33.5        ,37.7        ,
2        ,31.9        ,32.3        ,36.1        ,
3        ,31.3        ,31.4        ,36.7        ,
4        ,30.9        ,30.9        ,37.0        ,
5        ,30.5        ,30.9        ,36.8        ,
6        ,29.5        ,29.5        ,36.1        ,
7        ,29.3        ,29.7        ,35.7        ,
8        ,29.2        ,30.2        ,35.4        ,
9        ,29.2        ,29.6        ,34.1        ,
10       ,29.1        ,30.3        ,35.1        ,
11       ,29.9        ,30.7        ,35.2        ,
12       ,29.8        ,29.9        ,35.4        ,
13       ,28.9        ,29.8        ,35.4        ,
14       ,28.9        ,29.4        ,35.2        ,
15       ,28.8        ,29.1        ,33.4        ,
16       ,28.5        ,29.0        ,34.1        ,
17       ,28.5        ,29.3        ,33.8        ,
18       ,28.4        ,29.0        ,33.8        ,
19       ,28.3        ,29.3        ,33.7        ,
20       ,28.2        ,28.4        ,32.7        ,
21       ,27.6        ,28.7        ,32.5        ,
22       ,27.9        ,28.0        ,31.0        ,
23       ,27.5        ,28.6        ,32.4        ,
24       ,27.9        ,28.4        ,32.7        ,
25       ,27.4        ,29.7        ,32.4        ,
26       ,28.0        ,29.0        ,32.0        ,
27       ,28.0        ,29.7        ,31.7        ,
28       ,26.1        ,26.5        ,30.1        ,
29       ,26.1        ,27.4        ,30.8        ,
30       ,26.4        ,27.5        ,30.6        ,
31       ,27.1        ,28.6        ,30.7        ,
32       ,27.5        ,28.9        ,30.5        ,
33       ,27.1        ,29.0        ,30.6        ,
34       ,24.8        ,24.8        ,29.4        ,
35       ,24.0        ,25.1        ,29.0        ,
36       ,23.6        ,26.9        ,29.0        ,
37       ,26.3        ,27.7        ,28.8        ,
38       ,25.7        ,28.7        ,31.8        ,
39       ,25.4        ,27.3        ,34.3        ,
40       ,26.5        ,30.0        ,34.3        ,
41       ,29.0        ,30.3        ,34.0        ,
42       ,28.8        ,31.9        ,33.8        ,
43       ,28.5        ,29.3        ,29.3        ,
