GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,79          ,87          ,88          ,
0        ,70          ,84          ,87          ,
1        ,67          ,87          ,87          ,
2        ,71          ,83          ,88          ,
3        ,75          ,85          ,86          ,
4        ,72          ,87          ,89          ,
5        ,75          ,89          ,90          ,
6        ,74          ,87          ,90          ,
7        ,73          ,82          ,90          ,
8        ,74          ,84          ,87          ,
9        ,78          ,87          ,89          ,
10       ,83          ,87          ,90          ,
11       ,77          ,88          ,91          ,
12       ,75          ,87          ,91          ,
13       ,69          ,84          ,89          ,
14       ,67          ,83          ,87          ,
15       ,71          ,87          ,89          ,
16       ,77          ,89          ,91          ,
17       ,76          ,89          ,92          ,
18       ,73          ,90          ,93          ,
19       ,76          ,88          ,92          ,
20       ,77          ,89          ,92          ,
21       ,84          ,91          ,93          ,
22       ,82          ,92          ,94          ,
23       ,84          ,92          ,94          ,
24       ,82          ,94          ,95          ,
25       ,88          ,93          ,95          ,
26       ,89          ,93          ,94          ,
27       ,83          ,93          ,95          ,
28       ,91          ,94          ,96          ,
29       ,85          ,92          ,94          ,
30       ,87          ,94          ,95          ,
31       ,89          ,93          ,95          ,
32       ,90          ,93          ,97          ,
33       ,91          ,94          ,97          ,
34       ,93          ,97          ,100         ,
35       ,87          ,90          ,98          ,
36       ,79          ,92          ,93          ,
37       ,89          ,96          ,97          ,
38       ,不详          ,不详          ,不详          ,
39       ,不详          ,不详          ,不详          ,
40       ,不详          ,不详          ,不详          ,
41       ,不详          ,不详          ,不详          ,
42       ,不详          ,不详          ,不详          ,
43       ,不详          ,不详          ,不详          ,
44       ,不详          ,不详          ,不详          ,
45       ,不详          ,不详          ,不详          ,
