GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,32.3        ,32.4        ,33.9        ,
0        ,32.2        ,34.3        ,35.9        ,
1        ,33.6        ,33.6        ,38.3        ,
2        ,32.6        ,32.6        ,36.7        ,
3        ,31.5        ,31.8        ,35.4        ,
4        ,31.0        ,31.4        ,36.2        ,
5        ,30.8        ,30.8        ,36.7        ,
6        ,30.0        ,30.5        ,36.2        ,
7        ,29.5        ,29.5        ,35.9        ,
8        ,29.3        ,29.4        ,35.5        ,
9        ,28.9        ,30.1        ,35.1        ,
10       ,29.0        ,29.5        ,33.8        ,
11       ,28.9        ,30.1        ,35.0        ,
12       ,29.6        ,30.6        ,35.0        ,
13       ,29.3        ,29.7        ,35.0        ,
14       ,28.8        ,29.7        ,35.0        ,
15       ,28.6        ,29.3        ,34.6        ,
16       ,28.6        ,28.8        ,33.0        ,
17       ,28.5        ,29.2        ,33.7        ,
18       ,28.4        ,28.9        ,33.7        ,
19       ,28.2        ,29.3        ,33.5        ,
20       ,28.1        ,29.1        ,33.4        ,
21       ,27.7        ,27.8        ,32.7        ,
22       ,27.5        ,28.5        ,32.4        ,
23       ,27.6        ,28.0        ,31.0        ,
24       ,27.3        ,28.7        ,32.3        ,
25       ,27.5        ,28.1        ,32.3        ,
26       ,27.3        ,29.5        ,32.0        ,
27       ,28.2        ,28.8        ,31.8        ,
28       ,28.0        ,29.4        ,31.5        ,
29       ,26.0        ,26.3        ,30.1        ,
30       ,25.8        ,27.5        ,30.8        ,
31       ,26.4        ,27.9        ,30.5        ,
32       ,26.9        ,28.9        ,30.1        ,
33       ,27.7        ,28.8        ,30.5        ,
34       ,27.0        ,29.3        ,31.0        ,
35       ,24.8        ,24.9        ,29.3        ,
36       ,23.6        ,25.1        ,28.6        ,
37       ,23.8        ,27.0        ,29.1        ,
38       ,26.1        ,29.5        ,33.0        ,
39       ,27.2        ,27.3        ,32.5        ,
40       ,24.8        ,27.0        ,33.8        ,
41       ,26.2        ,28.7        ,33.8        ,
42       ,28.3        ,29.8        ,33.9        ,
43       ,28.6        ,32.6        ,33.1        ,
44       ,27.8        ,27.8        ,34.4        ,
45       ,26.8        ,30.1        ,30.8        ,
