GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,7233           ,不详              ,7233        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7233      ,0      ,0     ,0       ,
1        ,2548           ,-65             ,2548        ,-65          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2548      ,0      ,0     ,0       ,
2        ,978            ,-62             ,978         ,-62          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,978       ,0      ,0     ,0       ,
3        ,1329           ,35              ,1329        ,35           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1329      ,0      ,0     ,0       ,
4        ,1607           ,20              ,1607        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1607      ,0      ,0     ,0       ,
5        ,1876           ,16              ,1876        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1876      ,0      ,0     ,0       ,
6        ,2667           ,42              ,2667        ,42           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2667      ,0      ,0     ,0       ,
7        ,2458           ,-8              ,2458        ,-8           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2458      ,0      ,0     ,0       ,
8        ,2447           ,不详              ,2447        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2447      ,0      ,0     ,0       ,
9        ,2711           ,10              ,2711        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2711      ,0      ,0     ,0       ,
10       ,3460           ,27              ,3460        ,27           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3460      ,0      ,0     ,0       ,
11       ,3870           ,11              ,3870        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3870      ,0      ,0     ,0       ,
12       ,3913           ,1               ,3913        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3913      ,0      ,0     ,0       ,
13       ,4301           ,9               ,4301        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4301      ,0      ,0     ,0       ,
14       ,4624           ,7               ,4624        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4624      ,0      ,0     ,0       ,
15       ,5176           ,11              ,5176        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5176      ,0      ,0     ,0       ,
16       ,5242           ,1               ,5242        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5242      ,0      ,0     ,0       ,
17       ,5983           ,14              ,5983        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5983      ,0      ,0     ,0       ,
18       ,6156           ,2               ,6156        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6156      ,0      ,0     ,0       ,
19       ,6475           ,5               ,6475        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6475      ,0      ,0     ,0       ,
20       ,6802           ,5               ,6802        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6802      ,0      ,0     ,0       ,
21       ,6928           ,1               ,6928        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6928      ,0      ,0     ,0       ,
22       ,7334           ,5               ,7334        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7334      ,0      ,0     ,0       ,
23       ,7181           ,-3              ,7181        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7181      ,0      ,0     ,0       ,
24       ,7817           ,8               ,7817        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7817      ,0      ,0     ,0       ,
25       ,8094           ,3               ,8094        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8094      ,0      ,0     ,0       ,
26       ,8053           ,不详              ,8053        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8053      ,0      ,0     ,0       ,
27       ,8285           ,2               ,8285        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8285      ,0      ,0     ,0       ,
28       ,8899           ,7               ,8899        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8899      ,0      ,0     ,0       ,
29       ,8304           ,-7              ,8304        ,-7           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8304      ,0      ,0     ,0       ,
30       ,8984           ,8               ,8984        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8984      ,0      ,0     ,0       ,
31       ,8908           ,不详              ,8908        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8908      ,0      ,0     ,0       ,
32       ,9464           ,6               ,9464        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9464      ,0      ,0     ,0       ,
33       ,9500           ,0               ,9500        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9500      ,0      ,0     ,0       ,
34       ,9003           ,-6              ,9003        ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9003      ,0      ,0     ,0       ,
35       ,10139          ,12              ,10139       ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10139     ,0      ,0     ,0       ,
36       ,11253          ,10              ,11253       ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11253     ,0      ,0     ,0       ,
37       ,10380          ,-8              ,10380       ,-8           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10380     ,0      ,0     ,0       ,
38       ,566            ,-95             ,566         ,-95          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,566       ,0      ,0     ,0       ,
39       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
40       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
41       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
42       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
43       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
