Message,GrowthDay,Time,
报警测试   ,16       ,11:00:00,
管理员登陆  ,16       ,18:13:17,
系统锁定   ,16       ,18:18:23,
报警测试   ,17       ,11:00:00,
管理员登陆  ,17       ,17:08:06,
系统锁定   ,17       ,17:13:07,
管理员登陆  ,17       ,17:16:15,
系统锁定   ,17       ,17:21:27,
管理员登陆  ,17       ,23:19:06,
系统锁定   ,17       ,23:24:21,
报警测试   ,18       ,11:00:00,
管理员登陆  ,18       ,14:31:25,
系统锁定   ,18       ,14:37:02,
管理员登陆  ,19       ,01:27:22,
系统锁定   ,19       ,01:33:01,
报警测试   ,19       ,11:00:00,
管理员登陆  ,19       ,15:12:28,
系统锁定   ,19       ,15:18:08,
管理员登陆  ,19       ,18:01:08,
系统锁定   ,19       ,18:06:13,
管理员登陆  ,20       ,01:08:08,
系统锁定   ,20       ,01:13:12,
管理员登陆  ,20       ,10:44:05,
系统锁定   ,20       ,10:49:26,
报警测试   ,20       ,11:00:00,
管理员登陆  ,20       ,19:12:20,
系统锁定   ,20       ,19:17:26,
报警测试   ,21       ,11:00:00,
报警测试   ,22       ,11:00:00,
管理员登陆  ,22       ,18:17:23,
系统锁定   ,22       ,18:22:29,
报警测试   ,23       ,11:00:00,
报警测试   ,24       ,11:00:00,
备用设置提醒 ,24       ,13:11:21,
管理员登陆  ,24       ,19:22:29,
系统锁定   ,24       ,19:28:19,
报警测试   ,25       ,11:00:00,
管理员登陆  ,25       ,17:18:22,
系统锁定   ,25       ,17:24:03,
报警测试   ,26       ,11:00:00,
管理员登陆  ,26       ,16:55:12,
系统锁定   ,26       ,17:01:04,
报警测试   ,27       ,11:00:00,
管理员登陆  ,27       ,18:34:19,
系统锁定   ,27       ,18:40:03,
报警测试   ,28       ,11:00:00,
报警测试   ,29       ,11:00:00,
管理员登陆  ,29       ,12:38:09,
系统锁定   ,29       ,12:43:25,
管理员登陆  ,29       ,19:47:10,
系统锁定   ,29       ,19:52:26,
备用设置提醒 ,30       ,00:43:06,
管理员登陆  ,30       ,10:38:05,
系统锁定   ,30       ,10:43:08,
报警测试   ,30       ,11:00:00,
报警测试   ,31       ,11:00:00,
管理员登陆  ,32       ,07:39:06,
系统锁定   ,32       ,07:44:11,
报警测试   ,32       ,11:00:00,
报警测试   ,33       ,11:00:00,
报警测试   ,34       ,11:00:00,
备用设置提醒 ,35       ,10:04:24,
报警测试   ,35       ,11:00:00,
管理员登陆  ,35       ,18:16:29,
系统锁定   ,35       ,18:22:08,
管理员登陆  ,35       ,19:38:18,
系统锁定   ,35       ,19:43:25,
报警测试   ,36       ,11:00:00,
管理员登陆  ,36       ,16:03:10,
系统锁定   ,36       ,16:08:18,
报警测试   ,37       ,11:00:00,
管理员登陆  ,37       ,18:28:07,
系统锁定   ,37       ,18:34:06,
管理员登陆  ,38       ,09:34:22,
空鸡舍模式  ,38       ,09:35:00,
更改开关   ,38       ,09:35:15,
更改开关   ,38       ,09:35:21,
更改开关   ,38       ,09:35:29,
系统锁定   ,38       ,09:41:10,
报警测试   ,38       ,11:00:00,
报警测试   ,39       ,11:00:00,
电源关闭   ,40       ,06:28:13,
电源开启   ,40       ,09:24:01,
报警测试   ,41       ,11:00:00,
报警测试   ,42       ,11:00:00,
系统锁定   ,43       ,10:21:20,
系统锁定   ,43       ,10:33:16,
报警测试   ,43       ,11:00:00,
报警测试   ,44       ,11:00:00,
系统锁定   ,44       ,15:45:21,
报警测试   ,45       ,11:00:00,
管理员登陆  ,45       ,12:09:28,
系统锁定   ,45       ,12:15:04,
报警测试   ,46       ,11:00:00,
报警测试   ,47       ,11:00:00,
报警测试   ,48       ,11:00:00,
报警测试   ,49       ,11:00:00,
报警测试   ,50       ,11:00:00,
报警测试   ,51       ,11:00:00,
报警测试   ,52       ,11:00:00,
报警测试   ,53       ,11:00:00,
报警测试   ,54       ,11:00:00,
新的鸡群   ,-2       ,09:45:20,
报警测试   ,-2       ,11:00:00,
管理员登陆  ,-2       ,16:47:12,
更改开关   ,-2       ,16:48:00,
系统锁定   ,-2       ,16:53:01,
电源关闭   ,-1       ,10:31:23,
电源开启   ,-1       ,10:32:05,
报警测试   ,-1       ,11:00:00,
管理员登陆  ,-1       ,12:55:10,
更改开关   ,-1       ,12:56:14,
更改开关   ,-1       ,12:56:21,
更改开关   ,-1       ,12:57:05,
更改开关   ,-1       ,12:57:25,
系统锁定   ,-1       ,13:02:25,
管理员登陆  ,-1       ,20:19:04,
系统锁定   ,-1       ,20:24:13,
报警测试   ,0        ,11:00:00,
普通鸡舍模式 ,0        ,18:57:07,
备用设置提醒 ,0        ,18:57:07,
重置报警   ,1        ,05:27:20,
重置报警   ,1        ,05:29:21,
重置报警   ,1        ,08:11:13,
重置报警   ,1        ,08:46:27,
重置报警   ,1        ,08:56:02,
报警测试   ,1        ,11:00:00,
管理员登陆  ,1        ,15:38:26,
系统锁定   ,1        ,15:44:15,
报警测试   ,2        ,11:00:00,
备用设置提醒 ,2        ,16:43:26,
管理员登陆  ,3        ,02:17:27,
重置报警   ,3        ,02:18:03,
系统锁定   ,3        ,02:23:20,
重置报警   ,3        ,06:49:00,
重置报警   ,3        ,06:52:08,
重置报警   ,3        ,06:55:28,
重置报警   ,3        ,06:57:16,
报警测试   ,3        ,11:00:00,
重置报警   ,4        ,06:15:11,
重置报警   ,4        ,06:16:18,
重置报警   ,4        ,06:17:01,
报警测试   ,4        ,11:00:00,
备用设置提醒 ,4        ,13:34:18,
重置报警   ,4        ,18:41:24,
重置报警   ,5        ,02:36:25,
重置报警   ,5        ,03:06:15,
重置报警   ,5        ,03:11:04,
管理员登陆  ,5        ,03:17:23,
系统锁定   ,5        ,03:22:29,
管理员登陆  ,5        ,03:39:22,
系统锁定   ,5        ,03:45:04,
报警测试   ,5        ,11:00:00,
报警测试   ,6        ,11:00:00,
备用设置提醒 ,6        ,20:42:15,
报警测试   ,7        ,11:00:00,
报警测试   ,8        ,11:00:00,
报警测试   ,9        ,11:00:00,
备用设置提醒 ,9        ,14:33:05,
报警测试   ,10       ,11:00:00,
管理员登陆  ,10       ,14:39:21,
系统锁定   ,10       ,14:45:03,
报警测试   ,11       ,11:00:00,
报警测试   ,12       ,11:00:00,
重置报警   ,12       ,12:47:19,
管理员登陆  ,12       ,12:52:29,
更改开关   ,12       ,12:53:04,
更改开关   ,12       ,12:53:10,
系统锁定   ,12       ,12:58:11,
管理员登陆  ,12       ,19:01:14,
系统锁定   ,12       ,19:06:17,
管理员登陆  ,12       ,22:21:07,
系统锁定   ,12       ,22:26:11,
报警测试   ,13       ,11:00:00,
备用设置提醒 ,13       ,13:04:24,
重置报警   ,14       ,04:09:20,
报警测试   ,14       ,11:00:00,
报警测试   ,15       ,11:00:00,
报警测试   ,16       ,11:00:00,
管理员登陆  ,16       ,23:45:09,
系统锁定   ,16       ,23:54:27,
备用设置提醒 ,17       ,04:26:12,
报警测试   ,17       ,11:00:00,
报警测试   ,18       ,11:00:00,
报警测试   ,19       ,11:00:00,
管理员登陆  ,19       ,19:23:25,
系统锁定   ,19       ,19:29:10,
报警测试   ,20       ,11:00:00,
管理员登陆  ,20       ,15:18:18,
重置报警   ,20       ,15:18:21,
系统锁定   ,20       ,15:23:21,
管理员登陆  ,20       ,20:45:20,
更改开关   ,20       ,20:45:22,
更改开关   ,20       ,20:47:00,
系统锁定   ,20       ,20:52:00,
报警测试   ,21       ,11:00:00,
报警测试   ,22       ,11:00:00,
备用设置提醒 ,23       ,04:38:12,
报警测试   ,23       ,11:00:00,
报警测试   ,24       ,11:00:00,
报警测试   ,25       ,11:00:00,
管理员登陆  ,26       ,02:09:06,
系统锁定   ,26       ,02:14:14,
报警测试   ,26       ,11:00:00,
重置报警   ,26       ,23:03:20,
管理员登陆  ,26       ,23:43:06,
重置报警   ,26       ,23:43:08,
系统锁定   ,26       ,23:48:25,
报警测试   ,27       ,11:00:00,
报警测试   ,28       ,11:00:00,
备用设置提醒 ,28       ,20:12:21,
管理员登陆  ,29       ,03:09:29,
更改开关   ,29       ,03:10:02,
更改开关   ,29       ,03:10:04,
系统锁定   ,29       ,03:15:04,
报警测试   ,29       ,11:00:00,
管理员登陆  ,29       ,14:25:10,
系统锁定   ,29       ,14:30:16,
报警测试   ,30       ,11:00:00,
管理员登陆  ,30       ,18:24:27,
系统锁定   ,30       ,18:30:09,
管理员登陆  ,30       ,19:14:08,
系统锁定   ,30       ,19:19:15,
报警测试   ,31       ,11:00:00,
报警测试   ,32       ,11:00:00,
备用设置提醒 ,32       ,11:09:28,
管理员登陆  ,32       ,15:00:13,
系统锁定   ,32       ,15:05:18,
管理员登陆  ,32       ,15:20:10,
系统锁定   ,32       ,15:27:10,
管理员登陆  ,33       ,02:11:18,
系统锁定   ,33       ,02:16:23,
报警测试   ,33       ,11:00:00,
管理员登陆  ,33       ,12:30:12,
更改开关   ,33       ,12:30:17,
系统锁定   ,33       ,12:35:17,
管理员登陆  ,33       ,18:56:10,
更改开关   ,33       ,18:56:12,
系统锁定   ,33       ,19:01:28,
管理员登陆  ,34       ,02:59:05,
系统锁定   ,34       ,03:04:09,
管理员登陆  ,34       ,10:22:01,
更改开关   ,34       ,10:22:12,
系统锁定   ,34       ,10:27:13,
报警测试   ,34       ,11:00:00,
报警测试   ,35       ,11:00:00,
备用设置提醒 ,36       ,10:43:06,
报警测试   ,36       ,11:00:00,
报警测试   ,37       ,11:00:00,
报警测试   ,38       ,11:00:00,
管理员登陆  ,38       ,12:45:15,
空鸡舍模式  ,38       ,12:45:19,
更改开关   ,38       ,12:45:28,
系统锁定   ,38       ,12:50:28,
更改开关   ,38       ,13:04:00,
系统锁定   ,38       ,13:09:00,
报警测试   ,39       ,11:00:00,
报警测试   ,40       ,11:00:00,
电源关闭   ,41       ,06:43:07,
电源开启   ,41       ,13:03:02,
电源关闭   ,42       ,13:17:22,
电源开启   ,42       ,09:19:06,
报警测试   ,43       ,11:00:00,
报警测试   ,44       ,11:00:00,
报警测试   ,45       ,11:00:00,
报警测试   ,46       ,11:00:00,
报警测试   ,47       ,11:00:00,
电源关闭   ,47       ,13:55:25,
电源开启   ,47       ,13:55:26,
系统锁定   ,47       ,14:02:01,
系统锁定   ,47       ,14:11:22,
系统锁定   ,47       ,16:52:18,
系统锁定   ,48       ,10:42:26,
报警测试   ,48       ,11:00:00,
报警测试   ,49       ,11:00:00,
报警测试   ,50       ,11:00:00,
报警测试   ,51       ,11:00:00,
报警测试   ,52       ,11:00:00,
管理员登陆  ,52       ,14:11:01,
系统锁定   ,52       ,14:16:21,
电源关闭   ,53       ,07:30:05,
电源开启   ,53       ,07:57:10,
电源关闭   ,53       ,07:57:10,
电源开启   ,53       ,07:57:29,
电源关闭   ,53       ,07:57:29,
电源开启   ,53       ,08:02:11,
电源关闭   ,53       ,08:23:18,
电源开启   ,53       ,08:35:15,
电源关闭   ,53       ,08:56:21,
电源开启   ,53       ,10:06:09,
报警测试   ,53       ,11:00:00,
电源关闭   ,53       ,12:30:19,
电源开启   ,53       ,12:34:00,
报警测试   ,54       ,11:00:00,
报警测试   ,55       ,11:00:00,
管理员登陆  ,55       ,15:01:17,
更改开关   ,55       ,15:01:22,
新的鸡群   ,-1       ,15:01:27,
更改的日龄  ,-1       ,15:01:27,
系统锁定   ,-1       ,15:06:28,
电源关闭   ,0        ,09:36:00,
电源开启   ,0        ,09:36:11,
管理员登陆  ,0        ,10:26:05,
系统锁定   ,0        ,10:34:08,
报警测试   ,0        ,11:00:00,
普通鸡舍模式 ,0        ,19:22:08,
备用设置提醒 ,0        ,19:22:08,
更改开关   ,0        ,22:51:03,
更改开关   ,0        ,22:51:16,
更改开关   ,0        ,22:51:17,
更改开关   ,0        ,22:51:26,
系统锁定   ,0        ,22:56:26,
重置报警   ,1        ,02:08:06,
管理员登陆  ,1        ,07:40:09,
更改开关   ,1        ,07:40:12,
更改开关   ,1        ,07:41:10,
更改开关   ,1        ,07:41:13,
更改开关   ,1        ,07:41:27,
系统锁定   ,1        ,07:46:28,
报警测试   ,1        ,11:00:00,
报警测试   ,2        ,11:00:00,
备用设置提醒 ,3        ,05:04:13,
报警测试   ,3        ,11:00:00,
报警测试   ,4        ,11:00:00,
管理员登陆  ,4        ,15:49:14,
系统锁定   ,4        ,15:54:24,
备用设置提醒 ,5        ,02:19:26,
报警测试   ,5        ,11:00:00,
报警测试   ,6        ,11:00:00,
报警测试   ,7        ,11:00:00,
管理员登陆  ,7        ,16:09:06,
重置报警   ,7        ,16:09:10,
系统锁定   ,7        ,16:14:11,
重置报警   ,7        ,16:28:04,
管理员登陆  ,8        ,01:21:02,
系统锁定   ,8        ,01:27:11,
报警测试   ,8        ,11:00:00,
备用设置提醒 ,9        ,00:43:06,
报警测试   ,9        ,11:00:00,
管理员登陆  ,9        ,18:42:23,
系统锁定   ,9        ,18:48:05,
报警测试   ,10       ,11:00:00,
管理员登陆  ,10       ,19:50:03,
系统锁定   ,10       ,19:55:10,
管理员登陆  ,11       ,03:12:26,
系统锁定   ,11       ,03:18:02,
重置报警   ,11       ,10:22:00,
报警测试   ,11       ,11:00:00,
报警测试   ,12       ,11:00:00,
管理员登陆  ,12       ,21:05:08,
系统锁定   ,12       ,21:10:23,
管理员登陆  ,13       ,03:34:07,
系统锁定   ,13       ,03:39:10,
报警测试   ,13       ,11:00:00,
管理员登陆  ,13       ,11:59:08,
更改开关   ,13       ,11:59:11,
更改开关   ,13       ,11:59:15,
系统锁定   ,13       ,12:04:26,
备用设置提醒 ,13       ,13:04:24,
管理员登陆  ,13       ,15:04:26,
系统锁定   ,13       ,15:10:01,
报警测试   ,14       ,11:00:00,
报警测试   ,15       ,11:00:00,
报警测试   ,16       ,11:00:00,
备用设置提醒 ,16       ,11:48:14,
报警测试   ,17       ,11:00:00,
管理员登陆  ,17       ,11:31:23,
系统锁定   ,17       ,11:38:07,
管理员登陆  ,17       ,14:50:24,
更改开关   ,17       ,14:53:26,
系统锁定   ,17       ,14:58:29,
管理员登陆  ,17       ,15:02:15,
更改开关   ,17       ,15:02:18,
更改开关   ,17       ,15:02:20,
更改开关   ,17       ,15:02:23,
更改开关   ,17       ,15:02:26,
系统锁定   ,17       ,15:08:22,
管理员登陆  ,17       ,20:45:21,
系统锁定   ,17       ,20:50:26,
管理员登陆  ,17       ,20:57:24,
系统锁定   ,17       ,21:05:20,
报警测试   ,18       ,11:00:00,
管理员登陆  ,18       ,13:08:05,
系统锁定   ,18       ,13:13:10,
管理员登陆  ,18       ,13:19:16,
更改开关   ,18       ,13:20:04,
系统锁定   ,18       ,13:25:04,
管理员登陆  ,18       ,15:26:11,
更改开关   ,18       ,15:26:14,
系统锁定   ,18       ,15:31:20,
备用设置提醒 ,19       ,08:21:04,
报警测试   ,19       ,11:00:00,
管理员登陆  ,19       ,12:30:23,
更改开关   ,19       ,12:30:25,
系统锁定   ,19       ,12:35:25,
管理员登陆  ,19       ,18:26:22,
更改开关   ,19       ,18:26:23,
更改开关   ,19       ,18:26:26,
系统锁定   ,19       ,18:31:27,
报警测试   ,20       ,11:00:00,
管理员登陆  ,20       ,13:01:01,
更改开关   ,20       ,13:01:04,
系统锁定   ,20       ,13:06:04,
管理员登陆  ,20       ,13:15:25,
更改开关   ,20       ,13:15:28,
系统锁定   ,20       ,13:20:28,
管理员登陆  ,20       ,19:54:03,
系统锁定   ,20       ,20:00:19,
报警测试   ,21       ,11:00:00,
管理员登陆  ,21       ,13:45:19,
系统锁定   ,21       ,13:51:03,
管理员登陆  ,21       ,14:10:19,
系统锁定   ,21       ,14:16:20,
管理员登陆  ,21       ,14:56:04,
更改开关   ,21       ,14:56:06,
更改开关   ,21       ,14:56:10,
系统锁定   ,21       ,15:01:19,
管理员登陆  ,21       ,15:59:14,
系统锁定   ,21       ,16:04:23,
管理员登陆  ,21       ,17:09:12,
系统锁定   ,21       ,17:15:00,
管理员登陆  ,21       ,20:31:12,
系统锁定   ,21       ,20:36:23,
管理员登陆  ,21       ,21:43:09,
系统锁定   ,21       ,21:52:06,
管理员登陆  ,22       ,09:54:18,
更改开关   ,22       ,09:54:26,
系统锁定   ,22       ,09:59:27,
报警测试   ,22       ,11:00:00,
管理员登陆  ,22       ,12:43:25,
更改开关   ,22       ,12:43:28,
系统锁定   ,22       ,12:49:00,
管理员登陆  ,22       ,23:34:26,
系统锁定   ,22       ,23:40:19,
备用设置提醒 ,23       ,08:16:24,
报警测试   ,23       ,11:00:00,
管理员登陆  ,23       ,14:27:03,
系统锁定   ,23       ,14:32:11,
管理员登陆  ,23       ,18:53:20,
系统锁定   ,23       ,18:58:26,
管理员登陆  ,24       ,00:39:01,
系统锁定   ,24       ,00:45:01,
报警测试   ,24       ,11:00:00,
管理员登陆  ,25       ,00:11:27,
更改开关   ,25       ,00:11:28,
系统锁定   ,25       ,00:16:29,
管理员登陆  ,25       ,08:54:24,
更改开关   ,25       ,08:54:26,
系统锁定   ,25       ,08:59:27,
报警测试   ,25       ,11:00:00,
管理员登陆  ,25       ,14:37:09,
系统锁定   ,25       ,14:44:04,
报警测试   ,26       ,11:00:00,
管理员登陆  ,26       ,23:55:15,
系统锁定   ,27       ,00:01:01,
报警测试   ,27       ,11:00:00,
报警测试   ,28       ,11:00:00,
管理员登陆  ,28       ,12:57:21,
系统锁定   ,28       ,13:02:26,
管理员登陆  ,28       ,19:11:03,
系统锁定   ,28       ,19:17:03,
备用设置提醒 ,28       ,22:50:26,
报警测试   ,29       ,11:00:00,
报警测试   ,30       ,11:00:00,
报警测试   ,31       ,11:00:00,
报警测试   ,32       ,11:00:00,
隧道通风   ,32       ,15:50:21,
最小通风   ,32       ,16:57:13,
备用设置提醒 ,33       ,00:57:14,
报警测试   ,33       ,11:00:00,
隧道通风   ,33       ,11:17:26,
最小通风   ,33       ,19:39:01,
隧道通风   ,34       ,08:47:22,
报警测试   ,34       ,11:00:00,
管理员登陆  ,34       ,15:44:23,
系统锁定   ,34       ,15:49:26,
管理员登陆  ,34       ,19:07:29,
备用设置提醒 ,34       ,19:08:10,
系统锁定   ,34       ,19:13:12,
最小通风   ,34       ,22:50:06,
隧道通风   ,35       ,09:22:18,
报警测试   ,35       ,11:00:00,
最小通风   ,35       ,23:33:08,
隧道通风   ,36       ,08:39:17,
报警测试   ,36       ,11:00:00,
备用设置提醒 ,36       ,17:30:25,
报警测试   ,37       ,11:00:00,
备用设置提醒 ,37       ,18:43:06,
管理员登陆  ,37       ,20:05:26,
空鸡舍模式  ,37       ,20:05:29,
更改开关   ,37       ,20:06:07,
更改开关   ,37       ,20:06:20,
更改开关   ,37       ,20:10:21,
系统锁定   ,37       ,20:15:21,
报警测试   ,38       ,11:00:00,
报警测试   ,39       ,11:00:00,
报警测试   ,40       ,11:00:00,
管理员登陆  ,40       ,14:43:29,
系统锁定   ,40       ,14:49:00,
电源关闭   ,41       ,06:09:13,
电源开启   ,41       ,07:19:04,
报警测试   ,42       ,11:00:00,
报警测试   ,43       ,11:00:00,
最小通风   ,44       ,05:17:10,
隧道通风   ,44       ,08:42:27,
报警测试   ,44       ,11:00:00,
报警测试   ,45       ,11:00:00,
报警测试   ,46       ,11:00:00,
系统锁定   ,46       ,12:36:24,
最小通风   ,46       ,15:29:14,
报警测试   ,47       ,11:00:00,
报警测试   ,48       ,11:00:00,
管理员登陆  ,48       ,16:51:15,
系统锁定   ,48       ,16:56:24,
管理员登陆  ,48       ,17:00:02,
系统锁定   ,48       ,17:05:03,
管理员登陆  ,48       ,17:06:16,
系统锁定   ,48       ,17:11:25,
管理员登陆  ,49       ,08:52:11,
系统锁定   ,49       ,08:58:16,
报警测试   ,49       ,11:00:00,
管理员登陆  ,49       ,12:04:23,
系统锁定   ,49       ,12:10:20,
管理员登陆  ,50       ,08:30:08,
系统锁定   ,50       ,08:37:04,
管理员登陆  ,50       ,08:56:07,
系统锁定   ,50       ,09:01:20,
管理员登陆  ,50       ,10:23:07,
系统锁定   ,50       ,10:28:11,
报警测试   ,50       ,11:00:00,
管理员登陆  ,50       ,12:15:29,
系统锁定   ,50       ,12:21:01,
管理员登陆  ,50       ,12:22:06,
系统锁定   ,50       ,12:27:23,
管理员登陆  ,50       ,12:29:08,
系统锁定   ,50       ,12:35:06,
管理员登陆  ,50       ,12:41:17,
系统锁定   ,50       ,13:02:18,
电源关闭   ,50       ,13:09:04,
电源开启   ,50       ,13:09:17,
管理员登陆  ,50       ,19:01:13,
新的鸡群   ,-1       ,19:02:07,
更改的日龄  ,-1       ,19:02:08,
更改开关   ,-1       ,19:02:16,
系统锁定   ,-1       ,19:07:16,
管理员登陆  ,0        ,08:21:00,
更改开关   ,0        ,08:21:18,
更改开关   ,0        ,08:22:03,
更改开关   ,0        ,08:22:20,
系统锁定   ,0        ,08:27:20,
报警测试   ,0        ,11:00:00,
电源关闭   ,0        ,14:26:22,
电源开启   ,0        ,14:28:10,
电源关闭   ,0        ,14:28:10,
电源开启   ,0        ,14:28:18,
更改开关   ,0        ,15:01:27,
更改开关   ,0        ,15:02:01,
系统锁定   ,0        ,15:07:08,
普通鸡舍模式 ,0        ,15:35:02,
备用设置提醒 ,0        ,15:35:02,
管理员登陆  ,0        ,18:24:13,
系统锁定   ,0        ,18:29:18,
报警测试   ,1        ,11:00:00,
报警测试   ,2        ,11:00:00,
备用设置提醒 ,2        ,12:37:01,
管理员登陆  ,2        ,15:23:12,
系统锁定   ,2        ,15:28:14,
报警测试   ,3        ,11:00:00,
管理员登陆  ,3        ,13:06:27,
重置报警   ,3        ,13:07:05,
系统锁定   ,3        ,13:12:07,
管理员登陆  ,3        ,13:17:02,
重置报警   ,3        ,13:21:25,
系统锁定   ,3        ,13:27:10,
管理员登陆  ,4        ,09:55:16,
系统锁定   ,4        ,10:00:19,
备用设置提醒 ,4        ,10:22:04,
报警测试   ,4        ,11:00:00,
报警测试   ,5        ,11:00:00,
管理员登陆  ,5        ,11:52:25,
重置报警   ,5        ,11:53:01,
更改开关   ,5        ,11:53:03,
系统锁定   ,5        ,11:58:03,
管理员登陆  ,5        ,19:33:17,
更改开关   ,5        ,19:33:18,
更改开关   ,5        ,19:33:21,
系统锁定   ,5        ,19:39:08,
管理员登陆  ,6        ,10:40:10,
更改开关   ,6        ,10:40:12,
系统锁定   ,6        ,10:45:16,
报警测试   ,6        ,11:00:00,
备用设置提醒 ,6        ,12:04:03,
管理员登陆  ,6        ,19:11:04,
更改开关   ,6        ,19:11:06,
系统锁定   ,6        ,19:16:06,
管理员登陆  ,7        ,09:27:25,
更改开关   ,7        ,09:27:27,
重置报警   ,7        ,09:28:00,
系统锁定   ,7        ,09:33:15,
报警测试   ,7        ,11:00:00,
管理员登陆  ,7        ,21:00:07,
更改开关   ,7        ,21:00:08,
系统锁定   ,7        ,21:05:08,
报警测试   ,8        ,11:00:00,
管理员登陆  ,8        ,12:27:26,
更改开关   ,8        ,12:27:28,
系统锁定   ,8        ,12:32:29,
最小通风低压报警开启,8        ,19:34:10,
隧道低压报警开启,8        ,19:34:10,
最小通风低压报警关闭,8        ,19:34:15,
隧道低压报警关闭,8        ,19:34:19,
管理员登陆  ,8        ,20:07:20,
更改开关   ,8        ,20:08:18,
系统锁定   ,8        ,20:13:18,
管理员登陆  ,8        ,21:43:24,
系统锁定   ,8        ,21:49:14,
管理员登陆  ,9        ,09:07:19,
更改开关   ,9        ,09:07:21,
系统锁定   ,9        ,09:12:22,
报警测试   ,9        ,11:00:00,
