GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,51          ,59          ,99          ,
1        ,57          ,63          ,65          ,
2        ,59          ,68          ,68          ,
3        ,65          ,67          ,71          ,
4        ,62          ,72          ,73          ,
5        ,64          ,74          ,75          ,
6        ,71          ,79          ,79          ,
7        ,76          ,84          ,85          ,
8        ,79          ,80          ,88          ,
9        ,74          ,77          ,87          ,
10       ,75          ,75          ,85          ,
11       ,72          ,73          ,84          ,
12       ,71          ,73          ,85          ,
13       ,69          ,73          ,84          ,
14       ,69          ,70          ,84          ,
15       ,67          ,73          ,80          ,
16       ,66          ,69          ,82          ,
17       ,67          ,70          ,83          ,
18       ,66          ,73          ,82          ,
19       ,70          ,78          ,89          ,
20       ,66          ,68          ,86          ,
21       ,61          ,73          ,83          ,
22       ,71          ,80          ,86          ,
23       ,58          ,72          ,87          ,
24       ,52          ,75          ,85          ,
25       ,63          ,69          ,85          ,
26       ,57          ,66          ,83          ,
27       ,63          ,72          ,83          ,
28       ,67          ,70          ,86          ,
29       ,68          ,78          ,86          ,
30       ,70          ,73          ,87          ,
31       ,69          ,75          ,86          ,
32       ,63          ,66          ,79          ,
33       ,61          ,66          ,77          ,
34       ,59          ,66          ,73          ,
35       ,56          ,70          ,75          ,
36       ,64          ,78          ,80          ,
37       ,66          ,88          ,88          ,
38       ,不详          ,不详          ,不详          ,
39       ,不详          ,不详          ,不详          ,
