GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,56          ,65          ,99          ,
1        ,64          ,71          ,71          ,
2        ,66          ,70          ,73          ,
3        ,69          ,71          ,76          ,
4        ,66          ,76          ,78          ,
5        ,70          ,81          ,81          ,
6        ,77          ,83          ,85          ,
7        ,82          ,91          ,92          ,
8        ,85          ,85          ,95          ,
9        ,79          ,81          ,91          ,
10       ,79          ,82          ,89          ,
11       ,76          ,78          ,89          ,
12       ,74          ,78          ,91          ,
13       ,70          ,72          ,87          ,
14       ,71          ,77          ,88          ,
15       ,72          ,74          ,86          ,
16       ,73          ,76          ,87          ,
17       ,73          ,76          ,89          ,
18       ,71          ,79          ,89          ,
19       ,77          ,80          ,95          ,
20       ,70          ,74          ,89          ,
21       ,62          ,76          ,84          ,
22       ,75          ,82          ,87          ,
23       ,60          ,75          ,88          ,
24       ,56          ,76          ,87          ,
25       ,68          ,74          ,86          ,
26       ,60          ,70          ,85          ,
27       ,67          ,75          ,85          ,
28       ,70          ,74          ,87          ,
29       ,73          ,83          ,88          ,
30       ,74          ,78          ,89          ,
31       ,70          ,72          ,88          ,
32       ,65          ,69          ,80          ,
33       ,64          ,65          ,78          ,
34       ,63          ,70          ,77          ,
35       ,59          ,73          ,78          ,
36       ,68          ,84          ,84          ,
37       ,68          ,89          ,89          ,
38       ,不详          ,不详          ,不详          ,
39       ,不详          ,不详          ,不详          ,
