GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,11.8        ,34.1        ,36.3        ,
-1       ,33.6        ,35.2        ,36.2        ,
0        ,32.6        ,34.7        ,36.2        ,
1        ,33.0        ,34.6        ,35.4        ,
2        ,32.3        ,33.6        ,34.8        ,
3        ,31.7        ,33.0        ,34.1        ,
4        ,31.0        ,31.4        ,33.2        ,
5        ,30.0        ,31.5        ,32.7        ,
6        ,29.4        ,30.1        ,31.9        ,
7        ,28.7        ,30.5        ,31.1        ,
8        ,28.1        ,30.1        ,30.5        ,
9        ,27.5        ,28.5        ,30.5        ,
10       ,27.3        ,28.0        ,30.1        ,
11       ,27.0        ,28.5        ,29.4        ,
12       ,26.6        ,27.6        ,29.0        ,
13       ,26.2        ,27.9        ,28.8        ,
14       ,25.6        ,27.5        ,28.6        ,
15       ,25.7        ,26.9        ,28.2        ,
16       ,25.4        ,26.6        ,28.3        ,
17       ,25.1        ,26.0        ,27.5        ,
18       ,24.5        ,25.6        ,26.9        ,
19       ,23.8        ,25.8        ,26.9        ,
20       ,23.9        ,25.0        ,26.3        ,
21       ,24.0        ,24.7        ,26.1        ,
22       ,23.7        ,24.6        ,26.5        ,
23       ,23.2        ,23.6        ,25.7        ,
24       ,22.9        ,24.4        ,26.6        ,
25       ,22.5        ,23.8        ,25.2        ,
26       ,22.6        ,23.4        ,25.0        ,
27       ,22.5        ,23.2        ,25.4        ,
28       ,22.5        ,23.1        ,25.6        ,
29       ,22.0        ,24.5        ,25.3        ,
30       ,22.0        ,23.2        ,25.1        ,
31       ,22.4        ,23.4        ,25.1        ,
32       ,22.5        ,24.0        ,27.4        ,
33       ,22.8        ,23.3        ,28.2        ,
34       ,22.6        ,24.1        ,26.8        ,
35       ,15.4        ,18.9        ,25.2        ,
36       ,7.3         ,7.3         ,24.8        ,
37       ,4.6         ,5.5         ,7.3         ,
