Message,GrowthDay,Time,
系统锁定   ,28       ,13:35:10,
更改开关   ,28       ,17:17:01,
更改开关   ,28       ,17:17:04,
系统锁定   ,28       ,17:22:04,
管理员登陆  ,29       ,10:14:00,
更改开关   ,29       ,10:14:09,
系统锁定   ,29       ,10:19:08,
报警测试   ,29       ,11:30:00,
更改开关   ,29       ,19:04:19,
更改开关   ,29       ,19:04:22,
更改开关   ,29       ,19:04:26,
系统锁定   ,29       ,19:11:04,
管理员登陆  ,30       ,09:08:11,
更改开关   ,30       ,09:08:14,
系统锁定   ,30       ,09:13:14,
报警测试   ,30       ,11:30:00,
管理员登陆  ,30       ,19:13:14,
系统锁定   ,30       ,19:18:24,
报警测试   ,31       ,11:30:00,
更改开关   ,31       ,15:01:24,
更改开关   ,31       ,15:01:25,
更改开关   ,31       ,15:02:01,
系统锁定   ,31       ,15:07:02,
管理员登陆  ,31       ,18:07:25,
系统锁定   ,31       ,18:12:29,
报警测试   ,32       ,11:30:00,
报警测试   ,33       ,11:30:00,
管理员登陆  ,33       ,11:40:15,
更改开关   ,33       ,11:40:17,
系统锁定   ,33       ,11:45:17,
备用设置提醒 ,33       ,15:14:12,
更改开关   ,33       ,19:42:16,
更改开关   ,33       ,19:42:25,
系统锁定   ,33       ,19:47:25,
报警测试   ,34       ,11:30:00,
管理员登陆  ,34       ,11:47:09,
更改开关   ,34       ,11:47:13,
系统锁定   ,34       ,11:52:12,
更改开关   ,34       ,21:35:21,
系统锁定   ,34       ,21:40:24,
管理员登陆  ,35       ,10:37:03,
更改开关   ,35       ,10:37:08,
系统锁定   ,35       ,10:42:08,
报警测试   ,35       ,11:30:00,
报警测试   ,36       ,11:30:00,
报警测试   ,37       ,11:30:00,
报警测试   ,38       ,11:30:00,
备用设置提醒 ,39       ,02:06:21,
报警测试   ,39       ,11:30:00,
更改开关   ,39       ,18:50:08,
空鸡舍模式  ,39       ,18:50:13,
重置报警   ,39       ,18:50:13,
系统锁定   ,39       ,18:55:14,
报警测试   ,40       ,11:30:00,
报警测试   ,41       ,11:30:00,
电源关闭   ,42       ,07:46:13,
电源开启   ,42       ,14:43:04,
报警测试   ,44       ,11:30:00,
报警测试   ,45       ,11:30:00,
报警测试   ,46       ,11:30:00,
报警测试   ,47       ,11:30:00,
报警测试   ,48       ,11:30:00,
报警测试   ,49       ,11:30:00,
报警测试   ,50       ,11:30:00,
报警测试   ,51       ,11:30:00,
报警测试   ,52       ,11:30:00,
系统锁定   ,52       ,13:25:17,
新的鸡群   ,-2       ,19:06:29,
管理员登陆  ,-2       ,19:13:20,
更改开关   ,-2       ,19:13:28,
更改开关   ,-2       ,19:14:00,
更改开关   ,-2       ,19:15:07,
更改开关   ,-2       ,19:15:10,
更改开关   ,-2       ,19:15:14,
系统锁定   ,-2       ,19:20:16,
报警测试   ,-1       ,11:30:00,
报警测试   ,0        ,11:30:00,
管理员登陆  ,0        ,21:50:09,
系统锁定   ,0        ,21:55:14,
普通鸡舍模式 ,1        ,01:12:03,
备用设置提醒 ,1        ,01:12:04,
重置报警   ,1        ,01:45:09,
重置报警   ,1        ,02:03:26,
重置报警   ,1        ,02:34:08,
重置报警   ,1        ,02:59:18,
重置报警   ,1        ,03:24:12,
重置报警   ,1        ,03:44:18,
管理员登陆  ,1        ,09:19:12,
系统锁定   ,1        ,09:24:25,
报警测试   ,1        ,11:30:00,
更改开关   ,1        ,15:07:15,
系统锁定   ,1        ,15:12:29,
管理员登陆  ,1        ,16:11:09,
系统锁定   ,1        ,16:16:11,
管理员登陆  ,1        ,17:25:20,
系统锁定   ,1        ,17:30:23,
管理员登陆  ,1        ,17:32:22,
系统锁定   ,1        ,17:43:04,
报警测试   ,2        ,11:30:00,
重置报警   ,3        ,03:31:23,
重置报警   ,3        ,04:02:07,
重置报警   ,3        ,04:22:06,
报警测试   ,3        ,11:30:00,
备用设置提醒 ,4        ,02:52:24,
报警测试   ,4        ,11:30:00,
报警测试   ,5        ,11:30:00,
重置报警   ,6        ,11:03:17,
报警测试   ,6        ,11:30:00,
重置报警   ,6        ,11:44:26,
备用设置提醒 ,6        ,11:51:28,
报警测试   ,7        ,11:30:00,
报警测试   ,8        ,11:30:00,
备用设置提醒 ,9        ,09:49:22,
报警测试   ,9        ,11:30:00,
报警测试   ,10       ,11:30:00,
报警测试   ,11       ,11:30:00,
报警测试   ,12       ,11:30:00,
重置报警   ,12       ,23:43:25,
报警测试   ,13       ,11:30:00,
报警测试   ,14       ,11:30:00,
报警测试   ,15       ,11:30:00,
备用设置提醒 ,15       ,12:41:25,
报警测试   ,16       ,11:30:00,
报警测试   ,17       ,11:30:00,
管理员登陆  ,17       ,19:10:17,
系统锁定   ,17       ,19:18:24,
报警测试   ,18       ,11:30:00,
报警测试   ,19       ,11:30:00,
