GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,27.5        ,27.5        ,33.1        ,
-1       ,26.4        ,32.7        ,33.5        ,
0        ,32.3        ,34.5        ,35.0        ,
1        ,33.1        ,33.3        ,34.9        ,
2        ,32.1        ,32.5        ,33.8        ,
3        ,31.4        ,31.6        ,33.0        ,
4        ,30.6        ,30.9        ,32.5        ,
5        ,29.9        ,30.3        ,33.4        ,
6        ,29.3        ,29.6        ,30.9        ,
7        ,28.8        ,29.2        ,32.0        ,
8        ,28.7        ,29.2        ,32.2        ,
9        ,28.4        ,29.3        ,32.3        ,
10       ,28.0        ,28.4        ,30.0        ,
11       ,26.9        ,27.1        ,29.0        ,
12       ,26.3        ,26.9        ,28.8        ,
13       ,26.0        ,26.6        ,28.5        ,
14       ,25.6        ,26.3        ,29.0        ,
15       ,25.9        ,26.9        ,28.5        ,
16       ,25.3        ,25.4        ,27.4        ,
17       ,24.6        ,25.5        ,27.1        ,
18       ,24.1        ,25.0        ,27.4        ,
19       ,23.7        ,24.5        ,27.5        ,
20       ,23.6        ,24.2        ,27.8        ,
21       ,23.4        ,24.1        ,28.9        ,
22       ,23.6        ,24.4        ,28.0        ,
23       ,24.0        ,24.4        ,27.2        ,
24       ,23.2        ,23.6        ,27.3        ,
25       ,23.0        ,23.6        ,27.5        ,
26       ,23.2        ,23.7        ,26.5        ,
27       ,22.7        ,24.1        ,25.6        ,
28       ,22.3        ,23.0        ,29.1        ,
29       ,19.9        ,20.9        ,23.9        ,
30       ,19.9        ,21.6        ,23.2        ,
31       ,19.7        ,20.4        ,22.4        ,
32       ,18.0        ,18.3        ,21.0        ,
33       ,16.6        ,17.7        ,21.1        ,
34       ,16.8        ,18.1        ,21.9        ,
35       ,17.1        ,18.0        ,23.2        ,
36       ,17.6        ,19.2        ,20.7        ,
37       ,17.7        ,17.9        ,21.5        ,
