GrowthDay,MinimumValue,AverageValue,MaximumValue,
2        ,61          ,63          ,64          ,
3        ,57          ,66          ,66          ,
4        ,56          ,67          ,70          ,
5        ,58          ,75          ,77          ,
6        ,70          ,78          ,82          ,
7        ,65          ,77          ,83          ,
8        ,60          ,79          ,83          ,
9        ,64          ,83          ,83          ,
10       ,80          ,81          ,88          ,
11       ,63          ,64          ,83          ,
12       ,53          ,68          ,74          ,
13       ,53          ,66          ,75          ,
14       ,55          ,72          ,78          ,
15       ,66          ,79          ,83          ,
16       ,78          ,80          ,86          ,
17       ,76          ,79          ,86          ,
18       ,60          ,75          ,85          ,
19       ,53          ,76          ,84          ,
20       ,58          ,80          ,84          ,
21       ,55          ,81          ,85          ,
22       ,61          ,77          ,85          ,
23       ,76          ,85          ,91          ,
24       ,68          ,85          ,88          ,
25       ,69          ,87          ,90          ,
26       ,77          ,88          ,91          ,
27       ,84          ,93          ,93          ,
28       ,73          ,84          ,95          ,
29       ,74          ,76          ,87          ,
30       ,67          ,83          ,84          ,
31       ,73          ,88          ,89          ,
32       ,79          ,82          ,91          ,
33       ,57          ,84          ,89          ,
34       ,61          ,85          ,92          ,
35       ,71          ,89          ,89          ,
36       ,87          ,95          ,96          ,
37       ,84          ,89          ,99          ,
