GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,27.2        ,27.2        ,32.7        ,
-1       ,26.5        ,32.8        ,33.7        ,
0        ,32.3        ,34.4        ,35.2        ,
1        ,32.9        ,33.2        ,34.7        ,
2        ,31.8        ,32.2        ,33.5        ,
3        ,31.1        ,31.5        ,33.1        ,
4        ,30.4        ,30.6        ,32.3        ,
5        ,29.7        ,30.0        ,33.8        ,
6        ,29.0        ,29.2        ,31.1        ,
7        ,28.7        ,29.2        ,32.4        ,
8        ,28.2        ,29.2        ,32.6        ,
9        ,28.3        ,29.1        ,32.8        ,
10       ,27.9        ,28.3        ,30.2        ,
11       ,27.0        ,27.2        ,29.1        ,
12       ,26.0        ,26.5        ,28.7        ,
13       ,22.5        ,26.2        ,28.9        ,
14       ,25.5        ,26.0        ,29.3        ,
15       ,25.5        ,26.9        ,28.6        ,
16       ,25.1        ,25.5        ,27.2        ,
17       ,24.6        ,25.4        ,27.1        ,
18       ,23.7        ,24.6        ,27.5        ,
19       ,23.6        ,24.0        ,27.7        ,
20       ,23.5        ,24.4        ,27.9        ,
21       ,23.5        ,24.2        ,29.3        ,
22       ,23.6        ,24.5        ,28.3        ,
23       ,23.9        ,24.2        ,27.0        ,
24       ,23.1        ,23.6        ,27.7        ,
25       ,23.1        ,23.4        ,27.8        ,
26       ,23.2        ,23.5        ,26.9        ,
27       ,22.8        ,24.0        ,25.3        ,
28       ,22.1        ,22.4        ,29.5        ,
29       ,19.8        ,20.9        ,23.5        ,
30       ,19.7        ,20.9        ,23.3        ,
31       ,19.5        ,20.0        ,22.4        ,
32       ,18.0        ,18.2        ,21.0        ,
33       ,16.3        ,17.2        ,21.5        ,
34       ,16.7        ,17.8        ,22.5        ,
35       ,17.3        ,17.9        ,23.7        ,
36       ,17.6        ,19.1        ,20.9        ,
37       ,17.5        ,17.7        ,21.4        ,
