GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
10        ,17:00       ,28.4       ,30.8          ,30.8          ,31.8          ,30.9      ,30.9      ,30.6      ,30.9      ,31.0      ,28.6       ,28.6       ,29.6       ,61               ,64.9             ,65               ,180      ,0       ,21   ,
10        ,18:00       ,28.4       ,29.5          ,29.6          ,30.8          ,28.9      ,29.7      ,29.4      ,29.8      ,29.9      ,26.5       ,26.5       ,28.6       ,65               ,70.9             ,71               ,181      ,0       ,18   ,
10        ,19:00       ,28.4       ,28.9          ,29.1          ,29.6          ,28.5      ,29.1      ,29.0      ,29.2      ,29.7      ,24.6       ,24.6       ,26.5       ,71               ,75               ,76               ,193      ,0       ,16   ,
10        ,20:00       ,28.4       ,28.5          ,28.9          ,29.1          ,28.5      ,29.0      ,28.5      ,29.2      ,29.4      ,23.9       ,24.2       ,24.6       ,75               ,76.9             ,78               ,214      ,783     ,15   ,
10        ,21:00       ,28.4       ,28.5          ,28.6          ,29.0          ,27.7      ,28.8      ,28.5      ,28.9      ,29.1      ,24.2       ,24.2       ,24.3       ,77               ,77.9             ,78               ,179      ,0       ,15   ,
10        ,22:00       ,28.4       ,28.3          ,28.5          ,28.8          ,28.4      ,28.5      ,28.2      ,28.7      ,28.9      ,23.7       ,23.8       ,24.2       ,78               ,78.9             ,79               ,136      ,0       ,15   ,
10        ,23:00       ,28.4       ,28.1          ,28.5          ,28.8          ,28.1      ,28.7      ,28.3      ,28.8      ,28.8      ,23.3       ,23.3       ,23.7       ,78               ,78.8             ,80               ,1        ,0       ,13   ,
10        ,00:00       ,28.4       ,28.2          ,28.5          ,28.8          ,27.8      ,28.7      ,28.4      ,28.9      ,28.9      ,23.0       ,23.0       ,23.3       ,78               ,79               ,80               ,0        ,0       ,12   ,
11        ,01:00       ,28.3       ,28.1          ,28.3          ,28.7          ,27.9      ,28.5      ,28.0      ,28.6      ,28.7      ,22.7       ,22.7       ,23.0       ,79               ,79               ,80               ,0        ,0       ,11   ,
11        ,02:00       ,28.3       ,28.3          ,28.5          ,28.8          ,28.3      ,28.4      ,28.3      ,28.8      ,28.8      ,22.1       ,22.1       ,22.7       ,79               ,79.9             ,80               ,0        ,0       ,11   ,
11        ,03:00       ,28.3       ,28.1          ,28.4          ,28.7          ,27.5      ,28.4      ,28.3      ,28.8      ,28.7      ,22.0       ,22.2       ,22.3       ,79               ,79.9             ,80               ,0        ,0       ,11   ,
11        ,04:00       ,28.3       ,28.1          ,28.5          ,28.8          ,28.3      ,28.6      ,28.3      ,28.7      ,28.7      ,22.2       ,22.8       ,22.8       ,79               ,80               ,81               ,1        ,0       ,10   ,
11        ,05:00       ,28.3       ,28.1          ,28.5          ,29.5          ,27.6      ,28.7      ,28.5      ,28.7      ,28.8      ,22.8       ,22.9       ,22.9       ,80               ,81               ,82               ,354      ,0       ,15   ,
11        ,06:00       ,28.3       ,28.2          ,28.7          ,28.9          ,27.9      ,28.7      ,28.6      ,28.8      ,29.4      ,22.9       ,23.1       ,23.1       ,81               ,81               ,83               ,173      ,0       ,15   ,
11        ,07:00       ,28.3       ,28.4          ,28.9          ,29.0          ,28.2      ,28.9      ,28.7      ,29.1      ,29.7      ,23.1       ,23.5       ,23.5       ,81               ,81               ,82               ,177      ,0       ,16   ,
11        ,08:00       ,28.3       ,28.5          ,28.8          ,29.0          ,27.6      ,28.9      ,28.8      ,29.2      ,29.6      ,23.5       ,24.1       ,24.1       ,81               ,81               ,82               ,317      ,720     ,16   ,
11        ,09:00       ,28.3       ,28.7          ,29.3          ,29.3          ,29.6      ,28.9      ,28.8      ,29.5      ,29.5      ,24.1       ,24.9       ,24.9       ,80               ,81               ,83               ,248      ,40      ,17   ,
11        ,10:00       ,28.2       ,29.2          ,29.8          ,29.8          ,29.2      ,29.9      ,29.6      ,30.0      ,30.1      ,24.9       ,26.3       ,26.4       ,79               ,79               ,82               ,193      ,0       ,19   ,
11        ,11:00       ,28.2       ,29.8          ,29.9          ,30.4          ,29.7      ,29.9      ,29.7      ,30.1      ,30.1      ,26.3       ,27.0       ,27.2       ,77               ,77.9             ,79               ,197      ,0       ,19   ,
11        ,12:00       ,28.2       ,29.3          ,29.4          ,30.1          ,29.1      ,29.4      ,29.3      ,29.6      ,29.8      ,25.8       ,26.0       ,27.0       ,78               ,81.9             ,82               ,175      ,0       ,18   ,
11        ,13:00       ,28.0       ,29.0          ,29.2          ,29.8          ,28.8      ,29.1      ,29.1      ,29.4      ,29.5      ,25.2       ,25.2       ,26.6       ,81               ,82               ,83               ,199      ,0       ,17   ,
11        ,14:00       ,28.0       ,28.8          ,28.9          ,29.3          ,27.4      ,29.1      ,29.0      ,29.4      ,29.5      ,25.2       ,25.3       ,25.6       ,82               ,83               ,84               ,190      ,494     ,17   ,
11        ,15:00       ,28.0       ,28.8          ,29.0          ,29.4          ,28.7      ,28.9      ,29.0      ,29.2      ,29.4      ,25.2       ,25.2       ,25.4       ,83               ,83               ,84               ,207      ,0       ,18   ,
11        ,16:00       ,28.0       ,28.8          ,29.3          ,29.7          ,29.2      ,29.2      ,29.1      ,29.4      ,29.5      ,25.1       ,25.6       ,26.1       ,80               ,80.9             ,83               ,193      ,0       ,19   ,
11        ,17:00       ,28.0       ,28.3          ,28.3          ,29.3          ,28.2      ,28.1      ,28.0      ,28.3      ,28.8      ,23.5       ,23.5       ,25.6       ,80               ,80               ,82               ,169      ,0       ,16   ,
11        ,18:00       ,27.9       ,27.7          ,27.8          ,28.5          ,27.3      ,27.7      ,27.7      ,27.9      ,28.5      ,22.0       ,22.0       ,23.5       ,80               ,80               ,82               ,182      ,0       ,14   ,
11        ,19:00       ,27.9       ,27.6          ,28.1          ,28.4          ,27.4      ,28.1      ,28.0      ,28.3      ,28.8      ,22.0       ,22.0       ,22.1       ,80               ,81               ,83               ,213      ,0       ,13   ,
11        ,20:00       ,27.9       ,27.7          ,27.8          ,28.5          ,27.5      ,27.7      ,27.6      ,27.9      ,28.5      ,21.6       ,21.7       ,22.0       ,80               ,80               ,83               ,255      ,473     ,13   ,
11        ,21:00       ,27.9       ,27.8          ,27.8          ,28.4          ,27.3      ,27.8      ,27.7      ,28.0      ,28.4      ,21.6       ,21.7       ,21.7       ,80               ,81               ,83               ,220      ,0       ,13   ,
11        ,22:00       ,27.9       ,27.5          ,28.0          ,28.3          ,27.3      ,27.8      ,27.9      ,28.3      ,28.6      ,21.7       ,21.9       ,22.0       ,80               ,81               ,83               ,155      ,0       ,7    ,
11        ,23:00       ,27.9       ,27.6          ,27.6          ,28.3          ,27.0      ,27.3      ,27.6      ,27.9      ,28.3      ,20.9       ,20.9       ,22.1       ,80               ,80               ,82               ,0        ,0       ,5    ,
11        ,00:00       ,27.9       ,27.4          ,27.6          ,28.1          ,27.8      ,27.3      ,27.3      ,27.6      ,27.9      ,19.0       ,19.0       ,20.9       ,78               ,78               ,81               ,0        ,0       ,3    ,
12        ,01:00       ,27.9       ,27.2          ,27.2          ,28.0          ,27.1      ,27.0      ,27.0      ,27.2      ,27.4      ,18.4       ,18.4       ,19.0       ,76               ,76               ,80               ,1        ,0       ,3    ,
12        ,02:00       ,27.8       ,27.0          ,27.2          ,28.0          ,27.0      ,27.3      ,27.1      ,27.1      ,27.2      ,17.9       ,17.9       ,18.5       ,74               ,75               ,79               ,0        ,0       ,3    ,
12        ,03:00       ,27.8       ,27.1          ,27.2          ,28.0          ,27.0      ,27.3      ,27.2      ,27.1      ,27.2      ,17.6       ,17.6       ,17.9       ,73               ,74               ,78               ,0        ,0       ,3    ,
12        ,04:00       ,27.8       ,27.0          ,27.5          ,28.0          ,27.1      ,27.6      ,28.0      ,27.6      ,27.2      ,17.4       ,17.6       ,17.6       ,73               ,74               ,78               ,0        ,0       ,3    ,
12        ,05:00       ,27.8       ,27.3          ,27.4          ,28.3          ,27.4      ,27.1      ,27.3      ,27.4      ,28.0      ,17.6       ,17.6       ,17.9       ,74               ,76               ,80               ,318      ,0       ,3    ,
12        ,06:00       ,27.8       ,27.1          ,27.4          ,28.1          ,27.0      ,27.1      ,27.5      ,27.5      ,27.7      ,16.9       ,17.0       ,17.6       ,75               ,75               ,81               ,170      ,0       ,3    ,
12        ,07:00       ,27.8       ,27.2          ,27.6          ,28.0          ,27.2      ,27.3      ,27.4      ,27.5      ,28.6      ,17.0       ,17.1       ,17.2       ,75               ,76               ,80               ,199      ,0       ,3    ,
12        ,08:00       ,27.8       ,27.0          ,27.4          ,27.9          ,27.7      ,27.2      ,27.1      ,27.3      ,27.7      ,17.1       ,17.2       ,17.3       ,73               ,74               ,79               ,232      ,529     ,3    ,
12        ,09:00       ,27.8       ,27.0          ,27.4          ,27.9          ,27.0      ,27.6      ,27.5      ,27.3      ,27.6      ,17.2       ,18.2       ,18.2       ,71               ,72               ,79               ,232      ,0       ,4    ,
12        ,10:00       ,27.8       ,27.2          ,28.0          ,28.3          ,27.5      ,28.0      ,28.1      ,28.1      ,28.3      ,18.2       ,20.5       ,20.5       ,70               ,70               ,76               ,253      ,248     ,6    ,
12        ,11:00       ,27.7       ,27.5          ,27.7          ,28.3          ,27.8      ,27.3      ,27.5      ,27.9      ,28.0      ,20.3       ,21.0       ,21.0       ,69               ,69               ,73               ,216      ,0       ,7    ,
12        ,12:00       ,27.7       ,27.5          ,27.9          ,28.3          ,27.4      ,27.6      ,27.9      ,28.1      ,28.3      ,21.0       ,21.3       ,21.4       ,66               ,67               ,73               ,196      ,0       ,5    ,
12        ,13:00       ,27.7       ,27.5          ,27.7          ,28.5          ,27.1      ,27.6      ,27.7      ,27.9      ,28.1      ,21.3       ,21.8       ,22.8       ,61               ,62.4             ,70               ,189      ,0       ,9    ,
12        ,14:00       ,27.7       ,27.5          ,28.3          ,28.4          ,28.6      ,27.9      ,27.9      ,28.3      ,28.5      ,21.5       ,22.8       ,22.8       ,59               ,60.9             ,66               ,238      ,522     ,15   ,
12        ,15:00       ,27.7       ,27.4          ,27.6          ,28.3          ,28.0      ,27.3      ,27.4      ,27.5      ,27.9      ,22.6       ,22.6       ,23.5       ,59               ,62               ,63               ,204      ,0       ,10   ,
12        ,16:00       ,27.7       ,27.5          ,27.6          ,28.1          ,27.8      ,27.5      ,27.3      ,27.6      ,28.0      ,22.0       ,22.0       ,22.8       ,60               ,63               ,65               ,230      ,0       ,8    ,
12        ,17:00       ,27.7       ,27.3          ,28.0          ,28.2          ,27.8      ,27.7      ,27.9      ,28.1      ,28.4      ,20.9       ,21.1       ,22.0       ,62               ,66               ,68               ,206      ,0       ,4    ,
12        ,18:00       ,27.6       ,27.3          ,27.6          ,28.2          ,27.4      ,27.7      ,27.3      ,27.6      ,28.1      ,19.3       ,19.3       ,21.3       ,64               ,68.1             ,70               ,197      ,0       ,4    ,
12        ,19:00       ,27.6       ,27.1          ,27.6          ,27.9          ,27.7      ,27.7      ,27.1      ,27.5      ,28.0      ,17.8       ,17.8       ,19.3       ,67               ,69.3             ,74               ,211      ,0       ,4    ,
12        ,20:00       ,27.6       ,27.0          ,27.4          ,27.8          ,27.4      ,27.5      ,27.4      ,27.3      ,27.4      ,16.9       ,16.9       ,17.8       ,67               ,69.2             ,74               ,308      ,722     ,4    ,
12        ,21:00       ,27.6       ,26.8          ,27.3          ,27.7          ,27.2      ,27.3      ,27.5      ,27.5      ,27.2      ,16.7       ,16.7       ,16.9       ,66               ,68               ,72               ,269      ,0       ,4    ,
12        ,22:00       ,27.6       ,26.7          ,27.3          ,27.5          ,27.1      ,27.2      ,27.5      ,27.4      ,27.3      ,16.6       ,16.6       ,16.8       ,65               ,66.8             ,70               ,182      ,0       ,4    ,
12        ,23:00       ,27.6       ,26.4          ,27.3          ,27.6          ,27.2      ,27.1      ,27.5      ,27.6      ,27.2      ,15.9       ,15.9       ,16.6       ,62               ,64               ,69               ,0        ,0       ,4    ,
12        ,00:00       ,27.6       ,26.5          ,27.3          ,27.6          ,27.2      ,27.0      ,27.6      ,27.3      ,27.2      ,15.9       ,16.1       ,16.3       ,60               ,62               ,67               ,0        ,0       ,4    ,
13        ,01:00       ,27.6       ,26.4          ,27.3          ,27.7          ,27.1      ,27.1      ,27.6      ,27.7      ,27.1      ,15.9       ,16.1       ,16.2       ,59               ,61.2             ,64               ,0        ,0       ,4    ,
13        ,02:00       ,27.6       ,26.3          ,27.2          ,27.5          ,27.1      ,26.9      ,27.4      ,27.5      ,27.0      ,15.5       ,15.5       ,16.2       ,59               ,61.1             ,64               ,0        ,0       ,4    ,
13        ,03:00       ,27.5       ,26.1          ,27.0          ,27.5          ,26.8      ,26.8      ,27.3      ,27.4      ,27.0      ,14.4       ,14.4       ,15.5       ,58               ,60.5             ,64               ,0        ,0       ,4    ,
13        ,04:00       ,27.5       ,26.2          ,27.0          ,27.5          ,26.9      ,26.7      ,27.3      ,27.3      ,26.9      ,14.1       ,14.1       ,14.4       ,58               ,60.9             ,63               ,0        ,0       ,4    ,
13        ,05:00       ,27.5       ,26.1          ,27.4          ,27.9          ,27.2      ,27.1      ,27.5      ,27.6      ,27.6      ,13.2       ,13.2       ,14.1       ,59               ,67.9             ,69               ,383      ,0       ,4    ,
13        ,06:00       ,27.5       ,26.5          ,27.3          ,27.5          ,26.8      ,27.3      ,27.4      ,27.5      ,27.6      ,13.1       ,13.3       ,13.3       ,60               ,69.9             ,70               ,227      ,0       ,3    ,
13        ,07:00       ,27.5       ,26.3          ,27.4          ,27.6          ,26.8      ,27.3      ,27.5      ,27.9      ,27.7      ,13.3       ,14.2       ,14.2       ,62               ,68.3             ,70               ,228      ,0       ,3    ,
13        ,08:00       ,27.5       ,26.6          ,27.3          ,27.5          ,27.2      ,27.3      ,27.4      ,27.4      ,27.3      ,14.2       ,16.8       ,16.8       ,61               ,68.9             ,70               ,285      ,795     ,4    ,
13        ,09:00       ,27.5       ,26.8          ,27.5          ,27.8          ,27.3      ,27.4      ,27.8      ,27.5      ,27.6      ,16.8       ,19.0       ,19.0       ,61               ,67.8             ,70               ,268      ,0       ,4    ,
13        ,10:00       ,27.5       ,27.3          ,28.0          ,28.1          ,28.1      ,27.5      ,27.9      ,27.9      ,28.4      ,18.7       ,19.9       ,20.3       ,59               ,62.8             ,68               ,232      ,0       ,9    ,
13        ,11:00       ,27.5       ,27.3          ,27.9          ,28.1          ,28.7      ,27.6      ,27.4      ,27.8      ,27.9      ,19.7       ,21.2       ,21.3       ,53               ,54.9             ,63               ,217      ,0       ,15   ,
13        ,12:00       ,27.4       ,27.8          ,28.2          ,28.3          ,28.6      ,27.9      ,27.8      ,28.1      ,28.4      ,20.4       ,20.5       ,21.3       ,47               ,48.9             ,56               ,213      ,0       ,16   ,
