GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,1403           ,不详              ,1403        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1403      ,0      ,0     ,0       ,
1        ,520            ,-63             ,520         ,-63          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,520       ,0      ,0     ,0       ,
2        ,896            ,72              ,896         ,72           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,896       ,0      ,0     ,0       ,
3        ,1040           ,16              ,1040        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1040      ,0      ,0     ,0       ,
4        ,1423           ,36              ,1423        ,36           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1423      ,0      ,0     ,0       ,
5        ,1801           ,26              ,1801        ,26           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1801      ,0      ,0     ,0       ,
6        ,2128           ,18              ,2128        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2128      ,0      ,0     ,0       ,
7        ,2370           ,11              ,2370        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2370      ,0      ,0     ,0       ,
8        ,2516           ,6               ,2516        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2516      ,0      ,0     ,0       ,
9        ,2740           ,8               ,2740        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2740      ,0      ,0     ,0       ,
10       ,3444           ,25              ,3444        ,25           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3444      ,0      ,0     ,0       ,
11       ,3819           ,10              ,3819        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3819      ,0      ,0     ,0       ,
12       ,4053           ,6               ,4053        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4053      ,0      ,0     ,0       ,
13       ,4578           ,12              ,4578        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4578      ,0      ,0     ,0       ,
14       ,5072           ,10              ,5072        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5072      ,0      ,0     ,0       ,
15       ,5567           ,9               ,5567        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5567      ,0      ,0     ,0       ,
16       ,5670           ,1               ,5670        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5670      ,0      ,0     ,0       ,
17       ,6100           ,7               ,6100        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6100      ,0      ,0     ,0       ,
18       ,6534           ,7               ,6534        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6534      ,0      ,0     ,0       ,
19       ,6821           ,4               ,6821        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6821      ,0      ,0     ,0       ,
20       ,7108           ,4               ,7108        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7108      ,0      ,0     ,0       ,
21       ,7247           ,1               ,7247        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7247      ,0      ,0     ,0       ,
22       ,7331           ,1               ,7331        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7331      ,0      ,0     ,0       ,
23       ,7793           ,6               ,7793        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7793      ,0      ,0     ,0       ,
24       ,8067           ,3               ,8067        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8067      ,0      ,0     ,0       ,
25       ,8267           ,2               ,8267        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8267      ,0      ,0     ,0       ,
