GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,150            ,不详              ,150         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,150       ,0      ,0     ,0       ,
1        ,320            ,113             ,320         ,113          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,320       ,0      ,0     ,0       ,
2        ,710            ,121             ,710         ,121          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,710       ,0      ,0     ,0       ,
3        ,800            ,12              ,800         ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,800       ,0      ,0     ,0       ,
4        ,1050           ,31              ,1050        ,31           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1050      ,0      ,0     ,0       ,
5        ,1600           ,52              ,1600        ,52           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1600      ,0      ,0     ,0       ,
6        ,2060           ,28              ,2060        ,28           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2060      ,0      ,0     ,0       ,
7        ,2380           ,15              ,2380        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2380      ,0      ,0     ,0       ,
8        ,2500           ,5               ,2500        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2500      ,0      ,0     ,0       ,
9        ,2710           ,8               ,2710        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2710      ,0      ,0     ,0       ,
10       ,3420           ,26              ,3420        ,26           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3420      ,0      ,0     ,0       ,
11       ,3700           ,8               ,3700        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3700      ,0      ,0     ,0       ,
12       ,4150           ,12              ,4150        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4150      ,0      ,0     ,0       ,
13       ,4700           ,13              ,4700        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4700      ,0      ,0     ,0       ,
14       ,5260           ,11              ,5260        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5260      ,0      ,0     ,0       ,
15       ,5660           ,7               ,5660        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5660      ,0      ,0     ,0       ,
16       ,5930           ,4               ,5930        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5930      ,0      ,0     ,0       ,
17       ,6240           ,5               ,6240        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6240      ,0      ,0     ,0       ,
18       ,6790           ,8               ,6790        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6790      ,0      ,0     ,0       ,
19       ,7140           ,5               ,7140        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7140      ,0      ,0     ,0       ,
20       ,7550           ,5               ,7550        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7550      ,0      ,0     ,0       ,
21       ,8010           ,6               ,8010        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8010      ,0      ,0     ,0       ,
22       ,7990           ,不详              ,7990        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7990      ,0      ,0     ,0       ,
23       ,8380           ,4               ,8380        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8380      ,0      ,0     ,0       ,
24       ,8340           ,不详              ,8340        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8340      ,0      ,0     ,0       ,
25       ,8610           ,3               ,8610        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8610      ,0      ,0     ,0       ,
26       ,9160           ,6               ,9160        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9160      ,0      ,0     ,0       ,
27       ,9590           ,4               ,9590        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9590      ,0      ,0     ,0       ,
28       ,9700           ,1               ,9700        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9700      ,0      ,0     ,0       ,
29       ,9640           ,不详              ,9640        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9640      ,0      ,0     ,0       ,
30       ,10270          ,6               ,10270       ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10270     ,0      ,0     ,0       ,
31       ,10620          ,3               ,10620       ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10620     ,0      ,0     ,0       ,
32       ,10950          ,3               ,10950       ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10950     ,0      ,0     ,0       ,
33       ,11030          ,0               ,11030       ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11030     ,0      ,0     ,0       ,
34       ,10890          ,-2              ,10890       ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10890     ,0      ,0     ,0       ,
35       ,10340          ,-6              ,10340       ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10340     ,0      ,0     ,0       ,
36       ,10560          ,2               ,10560       ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10560     ,0      ,0     ,0       ,
37       ,11140          ,5               ,11140       ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11140     ,0      ,0     ,0       ,
38       ,1350           ,-88             ,1350        ,-88          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1350      ,0      ,0     ,0       ,
