GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,55          ,58          ,75          ,
0        ,53          ,62          ,64          ,
1        ,55          ,65          ,67          ,
2        ,49          ,52          ,66          ,
3        ,50          ,61          ,68          ,
4        ,47          ,64          ,66          ,
5        ,47          ,66          ,69          ,
6        ,53          ,75          ,75          ,
7        ,64          ,76          ,78          ,
8        ,60          ,76          ,79          ,
9        ,55          ,74          ,78          ,
10       ,59          ,78          ,79          ,
11       ,72          ,72          ,84          ,
12       ,55          ,62          ,76          ,
13       ,41          ,64          ,69          ,
14       ,46          ,62          ,70          ,
15       ,48          ,65          ,72          ,
16       ,60          ,73          ,75          ,
17       ,71          ,73          ,78          ,
18       ,71          ,73          ,78          ,
19       ,52          ,68          ,76          ,
20       ,46          ,68          ,75          ,
21       ,50          ,71          ,77          ,
22       ,47          ,75          ,78          ,
23       ,54          ,72          ,79          ,
24       ,71          ,79          ,85          ,
25       ,62          ,80          ,82          ,
26       ,65          ,82          ,84          ,
27       ,72          ,84          ,85          ,
28       ,80          ,89          ,89          ,
29       ,66          ,79          ,90          ,
30       ,66          ,71          ,82          ,
31       ,61          ,77          ,78          ,
32       ,69          ,82          ,83          ,
33       ,72          ,76          ,86          ,
34       ,51          ,77          ,85          ,
35       ,56          ,81          ,84          ,
36       ,67          ,85          ,85          ,
37       ,84          ,90          ,91          ,
38       ,78          ,89          ,92          ,
