GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,80          ,81          ,100         ,
0        ,57          ,62          ,82          ,
1        ,49          ,58          ,66          ,
2        ,53          ,61          ,69          ,
3        ,53          ,60          ,69          ,
4        ,57          ,71          ,77          ,
5        ,68          ,70          ,78          ,
6        ,66          ,72          ,76          ,
7        ,61          ,67          ,77          ,
8        ,62          ,70          ,77          ,
9        ,63          ,75          ,84          ,
10       ,65          ,80          ,87          ,
11       ,69          ,80          ,87          ,
12       ,77          ,85          ,91          ,
13       ,73          ,85          ,95          ,
14       ,70          ,83          ,93          ,
15       ,77          ,85          ,89          ,
16       ,80          ,90          ,94          ,
17       ,74          ,82          ,97          ,
18       ,70          ,76          ,92          ,
19       ,68          ,80          ,88          ,
20       ,75          ,83          ,92          ,
21       ,75          ,79          ,94          ,
22       ,65          ,73          ,94          ,
23       ,67          ,81          ,94          ,
24       ,69          ,79          ,94          ,
25       ,78          ,90          ,96          ,
26       ,80          ,82          ,98          ,
27       ,67          ,77          ,93          ,
28       ,53          ,100         ,100         ,
29       ,62          ,83          ,100         ,
30       ,67          ,82          ,90          ,
31       ,66          ,83          ,91          ,
32       ,59          ,88          ,92          ,
33       ,58          ,89          ,96          ,
34       ,55          ,79          ,97          ,
35       ,53          ,87          ,92          ,
36       ,53          ,87          ,96          ,
37       ,55          ,90          ,96          ,
38       ,60          ,88          ,95          ,
39       ,88          ,100         ,100         ,
40       ,73          ,100         ,100         ,
