GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,24.9        ,33.0        ,34.5        ,
0        ,32.3        ,34.5        ,35.6        ,
1        ,32.4        ,32.6        ,35.6        ,
2        ,31.4        ,32.0        ,34.6        ,
3        ,30.8        ,31.6        ,33.8        ,
4        ,30.4        ,30.9        ,33.1        ,
5        ,29.6        ,30.1        ,32.3        ,
6        ,28.9        ,30.4        ,31.8        ,
7        ,28.2        ,29.1        ,31.1        ,
8        ,27.4        ,28.6        ,30.4        ,
9        ,27.5        ,28.0        ,29.6        ,
10       ,27.1        ,27.7        ,30.6        ,
11       ,27.0        ,27.9        ,29.6        ,
12       ,26.9        ,27.4        ,29.3        ,
13       ,26.0        ,26.8        ,29.4        ,
14       ,26.0        ,26.5        ,29.3        ,
15       ,25.6        ,26.2        ,28.3        ,
16       ,25.3        ,25.8        ,27.1        ,
17       ,24.7        ,25.0        ,30.3        ,
18       ,23.7        ,25.1        ,26.4        ,
19       ,23.4        ,24.5        ,26.3        ,
20       ,23.5        ,23.7        ,26.0        ,
21       ,22.8        ,23.2        ,25.7        ,
22       ,22.0        ,22.3        ,25.8        ,
23       ,21.8        ,22.8        ,25.9        ,
24       ,21.9        ,22.0        ,26.2        ,
25       ,21.8        ,22.6        ,24.1        ,
26       ,20.9        ,21.1        ,24.1        ,
27       ,19.9        ,20.8        ,24.0        ,
28       ,19.6        ,20.8        ,23.9        ,
29       ,19.3        ,20.0        ,25.3        ,
30       ,19.3        ,20.7        ,25.5        ,
31       ,19.1        ,19.7        ,23.8        ,
32       ,17.9        ,19.0        ,25.9        ,
33       ,17.7        ,18.3        ,26.8        ,
34       ,17.8        ,18.9        ,24.3        ,
35       ,16.3        ,17.0        ,23.0        ,
36       ,15.9        ,16.4        ,22.6        ,
37       ,15.2        ,15.6        ,22.1        ,
38       ,7.5         ,11.8        ,22.2        ,
39       ,11.4        ,26.6        ,26.8        ,
40       ,15.4        ,21.5        ,26.6        ,
