GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,68          ,68          ,100         ,
0        ,49          ,57          ,70          ,
1        ,46          ,57          ,61          ,
2        ,48          ,55          ,62          ,
3        ,50          ,58          ,62          ,
4        ,52          ,65          ,70          ,
5        ,62          ,71          ,72          ,
6        ,63          ,65          ,75          ,
7        ,58          ,65          ,73          ,
8        ,54          ,67          ,75          ,
9        ,59          ,70          ,77          ,
10       ,54          ,72          ,80          ,
11       ,59          ,75          ,82          ,
12       ,72          ,81          ,83          ,
13       ,63          ,78          ,82          ,
14       ,62          ,80          ,84          ,
15       ,72          ,81          ,84          ,
16       ,78          ,84          ,84          ,
17       ,67          ,77          ,84          ,
18       ,64          ,68          ,81          ,
19       ,61          ,75          ,79          ,
20       ,70          ,77          ,80          ,
21       ,69          ,72          ,82          ,
22       ,52          ,68          ,81          ,
23       ,57          ,77          ,80          ,
24       ,63          ,77          ,82          ,
25       ,77          ,82          ,83          ,
26       ,76          ,81          ,85          ,
27       ,63          ,78          ,86          ,
28       ,50          ,76          ,84          ,
29       ,57          ,77          ,83          ,
30       ,61          ,78          ,84          ,
31       ,61          ,78          ,82          ,
32       ,52          ,79          ,85          ,
33       ,51          ,81          ,89          ,
34       ,51          ,73          ,87          ,
35       ,48          ,76          ,81          ,
36       ,48          ,78          ,83          ,
37       ,52          ,80          ,86          ,
