GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,50             ,不详              ,50          ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,50        ,0      ,0     ,0       ,
1        ,550            ,1000            ,550         ,1000         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,550       ,0      ,0     ,0       ,
2        ,960            ,74              ,960         ,74           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,960       ,0      ,0     ,0       ,
3        ,780            ,-19             ,780         ,-19          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,780       ,0      ,0     ,0       ,
4        ,1360           ,74              ,1360        ,74           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1360      ,0      ,0     ,0       ,
5        ,1910           ,40              ,1910        ,40           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1910      ,0      ,0     ,0       ,
6        ,2010           ,5               ,2010        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2010      ,0      ,0     ,0       ,
7        ,1390           ,-31             ,1390        ,-31          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1390      ,0      ,0     ,0       ,
8        ,2190           ,57              ,2190        ,57           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2190      ,0      ,0     ,0       ,
9        ,2920           ,33              ,2920        ,33           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2920      ,0      ,0     ,0       ,
10       ,3280           ,12              ,3280        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3280      ,0      ,0     ,0       ,
11       ,3540           ,7               ,3540        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3540      ,0      ,0     ,0       ,
12       ,3750           ,5               ,3750        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3750      ,0      ,0     ,0       ,
13       ,4060           ,8               ,4060        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4060      ,0      ,0     ,0       ,
14       ,4510           ,11              ,4510        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4510      ,0      ,0     ,0       ,
15       ,5370           ,19              ,5370        ,19           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5370      ,0      ,0     ,0       ,
16       ,5180           ,-4              ,5180        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5180      ,0      ,0     ,0       ,
17       ,5760           ,11              ,5760        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5760      ,0      ,0     ,0       ,
18       ,6470           ,12              ,6470        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6470      ,0      ,0     ,0       ,
19       ,7040           ,8               ,7040        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7040      ,0      ,0     ,0       ,
20       ,7000           ,不详              ,7000        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7000      ,0      ,0     ,0       ,
21       ,7110           ,1               ,7110        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7110      ,0      ,0     ,0       ,
22       ,7750           ,9               ,7750        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7750      ,0      ,0     ,0       ,
23       ,8120           ,4               ,8120        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8120      ,0      ,0     ,0       ,
24       ,8010           ,-2              ,8010        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8010      ,0      ,0     ,0       ,
25       ,8490           ,5               ,8490        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8490      ,0      ,0     ,0       ,
26       ,8730           ,2               ,8730        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8730      ,0      ,0     ,0       ,
27       ,8570           ,-2              ,8570        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8570      ,0      ,0     ,0       ,
28       ,9260           ,8               ,9260        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9260      ,0      ,0     ,0       ,
29       ,9430           ,1               ,9430        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9430      ,0      ,0     ,0       ,
30       ,10380          ,10              ,10380       ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10380     ,0      ,0     ,0       ,
31       ,10290          ,不详              ,10290       ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10290     ,0      ,0     ,0       ,
32       ,10570          ,2               ,10570       ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10570     ,0      ,0     ,0       ,
33       ,11170          ,5               ,11170       ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11170     ,0      ,0     ,0       ,
34       ,10580          ,-6              ,10580       ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10580     ,0      ,0     ,0       ,
35       ,9760           ,-8              ,9760        ,-8           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9760      ,0      ,0     ,0       ,
