GrowthDay,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-1       ,0          ,不详         ,0       ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
0        ,520        ,不详         ,520     ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
1        ,425        ,-19        ,425     ,-19           ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
2        ,418        ,-2         ,418     ,-2            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
3        ,635        ,52         ,635     ,52            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
4        ,998        ,57         ,998     ,57            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
5        ,1228       ,23         ,1228    ,23            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
6        ,880        ,-29        ,880     ,-29           ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
7        ,1060       ,20         ,1060    ,20            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
8        ,1268       ,19         ,1268    ,19            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
9        ,1662       ,31         ,1662    ,31            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
10       ,1815       ,9          ,1815    ,9             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
11       ,1874       ,3          ,1874    ,3             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
12       ,2051       ,9          ,2051    ,9             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
13       ,2391       ,16         ,2391    ,16            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
14       ,3581       ,49         ,3581    ,49            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
15       ,3008       ,-17        ,3008    ,-17           ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
16       ,3046       ,1          ,3046    ,1             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
17       ,3542       ,16         ,3542    ,16            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
18       ,3634       ,2          ,3634    ,2             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
19       ,3920       ,7          ,3920    ,7             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
20       ,3736       ,-5         ,3736    ,-5            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
21       ,3834       ,2          ,3834    ,2             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
22       ,4275       ,11         ,4275    ,11            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
23       ,4385       ,2          ,4385    ,2             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
24       ,5876       ,34         ,5876    ,34            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
25       ,4440       ,-25        ,4440    ,-25           ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
26       ,4737       ,6          ,4737    ,6             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
27       ,4537       ,-5         ,4537    ,-5            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
28       ,5816       ,28         ,5816    ,28            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
29       ,5543       ,-5         ,5543    ,-5            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
30       ,4774       ,-14        ,4774    ,-14           ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
31       ,4440       ,-7         ,4440    ,-7            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
32       ,4788       ,7          ,4788    ,7             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
33       ,4716       ,-2         ,4716    ,-2            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
34       ,4605       ,-3         ,4605    ,-3            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
35       ,4697       ,1          ,4697    ,1             ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
36       ,5509       ,17         ,5509    ,17            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
37       ,3651       ,-34        ,3651    ,-34           ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
38       ,19         ,-100       ,19      ,-100          ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
39       ,0          ,-100       ,0       ,-100          ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
